COUNTERPARTY,Trade Date,Flow Date,Location,Daily QTY,TOTAL QTY,Fixed Price,,VOLUME,Price,Total $
"Calpine Energy Services, L.P.",2001-01-25 08:59:01,2001-02-01 00:00:00,MALIN,-5000,-140000,10.635,,140000,10.635,1488900
PanCanadian Energy Services Inc.,2001-01-25 10:44:32,2001-02-01 00:00:00,MALIN,-5000,-140000,10.38,,140000,10.38,1453200
Coast Energy Group,2001-01-25 11:55:00,2001-02-01 00:00:00,MALIN,3430,96040,10.6,,96040,10.6,1018024
"Calpine Energy Services, L.P.",2001-01-25 13:10:56,2001-02-01 00:00:00,MALIN,-5000,-140000,10.77,,140000,10.77,1507800
"TransCanada Gas Services, a division of TransCanada Energy Ltd.",2001-01-25 14:24:04,2001-02-01 00:00:00,MALIN,778,21784,10.25,,21784,10.25,223286
"Calpine Energy Services, L.P.",2001-01-26 08:51:44,2001-02-01 00:00:00,MALIN,-5000,-140000,10.51,,140000,10.51,1471400
BP Energy Company,2001-01-26 08:53:31,2001-02-01 00:00:00,MALIN,5000,140000,10.365,,140000,10.365,1451100
"Enron Energy Services, Inc.",2001-01-26 12:33:14,2001-02-01 00:00:00,MALIN,-5000,-140000,10.67,,140000,10.67,1493800
"Calpine Energy Services, L.P.",2001-01-29 10:12:12,2001-02-01 00:00:00,MALIN,-5000,-140000,10.13,,140000,10.13,1418200
Aquila Energy Marketing Corporation,2001-01-29 11:55:21,2001-02-01 00:00:00,MALIN,5000,140000,9.815,,140000,9.815,1374100
"Coral Energy Resources, L.P.",2001-01-29 13:36:32,2001-02-01 00:00:00,MALIN,-5000,-140000,10.095,,140000,10.095,1413300
WACOG,10.388199073321411,,,,-582176,,,1377824,,14313110
,,,,,,,,,,
"USGT/Aquila, L.P.",2001-01-25 10:14:38,2001-02-01 00:00:00,PERMIAN,5000,140000,7.19,,140000,7.19,1006600
"USGT/Aquila, L.P.",2001-01-25 10:18:07,2001-02-01 00:00:00,PERMIAN,5000,140000,7.17,,140000,7.17,1003800
Arizona Public Service Company,2001-01-25 10:27:38,2001-02-01 00:00:00,PERMIAN,5000,140000,7.19,,140000,7.19,1006600
Highland Energy Company,2001-01-25 11:30:00,2001-02-01 00:00:00,PERMIAN,2000,56000,7.18,,56000,7.18,402080
"USGT/Aquila, L.P.",2001-01-26 08:48:30,2001-02-01 00:00:00,PERMIAN,5000,140000,7.02,,140000,7.02,982800
"Western Gas Resources, Inc.",2001-01-26 09:15:10,2001-02-01 00:00:00,PERMIAN,5000,140000,7,,140000,7,980000
"Duke Energy Trading and Marketing, L.L.C.",2001-01-26 12:31:34,2001-02-01 00:00:00,PERMIAN,5000,140000,7.08,,140000,7.08,991200
Duke Field Services,2001-01-26 12:33:14,2001-02-01 00:00:00,PERMIAN,4000,112000,7.1,,112000,7.1,795200
"USGT/Aquila, L.P.",2001-01-29 08:08:19,2001-02-01 00:00:00,PERMIAN,5000,140000,6.82,,140000,6.82,954800
"USGT/Aquila, L.P.",2001-01-29 08:08:51,2001-02-01 00:00:00,PERMIAN,5000,140000,6.83,,140000,6.83,956200
"Mirant Americas Energy Marketing, L.P.",2001-01-29 08:33:13,2001-02-01 00:00:00,PERMIAN,5000,140000,6.78,,140000,6.78,949200
