lSeq_ID,TRANS_TYPE,SC_ID,MKT_TYPE,TRANS_DATE,TIE_POINT,ENGY_TYPE,HRLY_MW1,HRLY_MW2,HRLY_MW3,HRLY_MW4,HRLY_MW5,HRLY_MW6,HRLY_MW7,HRLY_MW8,HRLY_MW9,HRLY_MW10,HRLY_MW11,HRLY_MW12,HRLY_MW13,HRLY_MW14,HRLY_MW15,HRLY_MW16,HRLY_MW17,HRLY_MW18,HRLY_MW19,HRLY_MW20,HRLY_MW21,HRLY_MW22,HRLY_MW23,HRLY_MW24,HRLY_MW25,RAMP_RATE21,RAMP_RATE22,RAMP_RATE23,RAMP_RATE24,RAMP_RATE25,dFTR_MW1,dFTR_MW2,dFTR_MW3,dFTR_MW4,dFTR_MW5,dFTR_MW6,dFTR_MW7,dFTR_MW8,dFTR_MW9,dFTR_MW10,dFTR_MW11,dFTR_MW12,dFTR_MW13,dFTR_MW14,dFTR_MW15,dFTR_MW16,dFTR_MW17,dFTR_MW18,dFTR_MW19,dFTR_MW20,dFTR_MW21,dFTR_MW22,dFTR_MW23,dFTR_MW24,dFTR_MW25,TRANS_DATE_LINK
25434,`,LV COGEN,2,2000-05-01 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,51,51,51,6,6,6,6,6,6,6,6,6,6,6,6,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25501,FINAL,LV COGEN,2,2000-05-02 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,,,45,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25611,FINAL,LV COGEN,2,2000-05-04 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,,,50.97,5.97,6,6,6,6,6,6,6,6,,6,6,,,116.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25660,FINAL,LV COGEN,2,2000-05-05 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,,,,,,,,,,,,6,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25801,FINAL,LV COGEN,2,2000-05-10 00:00:00,MEAD_2_WALC,FIRM,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25976,FINAL,LV COGEN,2,2000-05-15 00:00:00,MEAD_2_WALC,FIRM,,,,,,51,25.63,51,31.43,51,6,6,6,6,6,6,6,6,6,6,6,6,51,51,384.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26020,FINAL,LV COGEN,2,2000-05-16 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,51,51,51,6,6,6,6,6,6,6,6,6,6,6,6,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26067,FINAL,LV COGEN,2,2000-05-17 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,51,51,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26111,FINAL,LV COGEN,2,2000-05-18 00:00:00,MEAD_2_WALC,FIRM,51,0,0,26,26,50.97,51,51,51,51,6,6,6,6,6,6,,,,6,6,6,51,51,513.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26158,FINAL,LV COGEN,2,2000-05-19 00:00:00,MEAD_2_WALC,CRPLC,,,,,,,,,,,,,,,,,,6,6,0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26159,FINAL,LV COGEN,2,2000-05-19 00:00:00,MEAD_2_WALC,FIRM,,,,,,,51,51,51,51,6,6,6,6,6,5.91,,6,,6,,6,,,257.90999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26160,FINAL,LV COGEN,2,2000-05-19 00:00:00,MEAD_2_WALC,FIRM,51,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26312,FINAL,LV COGEN,2,2000-05-22 00:00:00,MEAD_2_WALC,CRPLC,,,,,,,,,,,0,5,5,5,5,5,5,5,5,5,5,0,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26313,FINAL,LV COGEN,2,2000-05-22 00:00:00,MEAD_2_WALC,FIRM,0.03,0.06,0.08,0,0,0,,,,,,,,,,,,,,,,,,0,0.16999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26428,FINAL,LV COGEN,2,2000-05-25 00:00:00,PVERDE_5_DEVERS,FIRM,49.97,50,50,50,50,50,,,,,,,,,,,,,,,50,50,50,50,499.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26464,FINAL,LV COGEN,2,2000-05-26 00:00:00,PVERDE_5_DEVERS,FIRM,50,50,50,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26545,FINAL,LV COGEN,2,2000-05-28 00:00:00,MEAD_2_WALC,FIRM,48.97,48.97,49,49,49,49,48.97,48.97,48.97,48.97,3.97,4,4,4,0,0,0,0,0,0,0,0,49,49,603.7900000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26569,FINAL,LV COGEN,2,2000-05-29 00:00:00,MEAD_2_WALC,FIRM,,,,,,,49,49,49,49,4,4,3.97,3.97,0,0,0,0,,,,,,,211.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26640,FINAL,LV COGEN,2,2000-06-01 00:00:00,MEAD_2_WALC,FIRM,50,50,50,0,0,50,50,0,50,50,4,4,4,4,4,4,4,4,4,4,4,4,50,50,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26674,FINAL,LV COGEN,2,2000-06-02 00:00:00,MEAD_2_WALC,FIRM,50,50,0,0,35.03,52,49,,,,,,,,,,,,,,,,,,236.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26706,FINAL,LV COGEN,2,2000-06-03 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,18.94,,,,,,,,,,,,,,,,,18.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26779,FINAL,LV COGEN,2,2000-06-05 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,,,,5,5,5,5,5,4.97,5,,,,,,,,34.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26780,FINAL,LV COGEN,2,2000-06-05 00:00:00,PVERDE_5_DEVERS,FIRM,,,,,,,,,,50,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26822,FINAL,LV COGEN,2,2000-06-06 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,50,50,0,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27053,FINAL,LV COGEN,2,2000-06-13 00:00:00,MEAD_2_WALC,CRPLC,0,0,0,0,0,0,0,0,0,50,5,0,0,0,0,0,0,0,5,2.52,0,0,0,0,62.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27102,FINAL,LV COGEN,2,2000-06-14 00:00:00,MEAD_2_WALC,CRPLC,0,0,0,0,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27875,FINAL,LV COGEN,2,2000-06-26 00:00:00,MEAD_2_WALC,FIRM,49,49,49,49,49,49,0.06,0,0,0,,,,,,,,,,,,,50,50,394.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27876,FINAL,LV COGEN,2,2000-06-26 00:00:00,PVERDE_5_DEVERS,FIRM,,,,,,,,49,49,49,4,4,4,3.97,4,4,,4,3.97,4,4,4,,,190.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28095,FINAL,LV COGEN,2,2000-06-28 00:00:00,MEAD_2_WALC,FIRM,0,49,49,49,49,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28231,FINAL,LV COGEN,2,2000-06-29 00:00:00,MEAD_2_WALC,FIRM,49,49,49,49,49,48.97,48.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.94000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28544,FINAL,LV COGEN,2,2000-07-09 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,,,,,,,,,,,,,,,,49,49,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28580,FINAL,LV COGEN,2,2000-07-10 00:00:00,MEAD_2_WALC,FIRM,49,49,49,,,,,,,,,,,,,,,,3.97,4,4,4,,49,211.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29067,FINAL,LV COGEN,2,2000-07-20 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29309,FINAL,LV COGEN,2,2000-07-23 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,,,,4,4,4,4,3,3,3,3,3,3,3,3,,48.97,88.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29561,FINAL,LV COGEN,2,2000-07-26 00:00:00,MEAD_2_WALC,FIRM,,43.4,16.6,49.97,49.97,49.97,49.97,,,,,,,,,,,,,,,,,,259.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29719,FINAL,LV COGEN,2,2000-07-28 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,,,,,,3,3,3,3,2.97,2.97,2.97,3,3,3,3,2.97,35.879999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30013,FINAL,LV COGEN,2,2000-08-01 00:00:00,MEAD_2_WALC,FIRM,11,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30368,FINAL,LV COGEN,2,2000-08-05 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,,,,,,,1,1,0.97,1,1,1,1,0.96,1,1,1,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30404,FINAL,LV COGEN,2,2000-08-06 00:00:00,MEAD_2_WALC,FIRM,,,,,,,,,44,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30596,FINAL,LV COGEN,2,2000-08-09 00:00:00,MEAD_2_WALC,FIRM,,,,,,,38,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30687,FINAL,LV COGEN,2,2000-08-10 00:00:00,MEAD_2_WALC,FIRM,0,0,0,0,0,0,0.02,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30782,FINAL,LV COGEN,2,2000-08-11 00:00:00,MEAD_2_WALC,FIRM,36,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30842,FINAL,LV COGEN,2,2000-08-12 00:00:00,PVERDE_5_DEVERS,FIRM,,,,,,,,45.97,,,,,,,,,,,,,,,,,45.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
