2001 LEGAL BUDGET WORKSHEET FOR ENA ONLY (INSIDE COSTS ONLY) ,,,,,,,,,,,,
,,,,,,,,,,,,
,HC,Sub-total,,Less:ECM,Less: EIM,Less:EGM,Less:NW,Less:Other,Less:Total Non ENA,,ENA TOTAL,
"Schuler/McC
CC 105653",15,2841954,,479520,142100,99470,,,721090,,2120864,
Tweed          CC 105654,10,1928584,,,,,,,0,,1928584,
"Haedicke
CC 105655",2,807991,,,40400,80800,80800,40400,242400,,565591,
"Corp Legal
CC 105655",,2214000,,92907,181861,326164,59303,29651,689886,,1524114,
"Sanders
CC 105656",4,537941,,,,,,,0,,537941,
"Taylor/StClair
CC 105657",16,2455005,,350700,140280,701400,455910,140280,1788570,,666435,
Gray/Hodge          CC 105659,24,3842535,,,,,,27450,27450,,3815085,
"Cash
CC 105660",1,217995,,,,,,,0,,217995,
Sager           CC 107061,10,1343391,,,,,,,0,,1343391,
"Aronowitz
CC 105658",11,1815313,,,317660,1338710,22690,124795,1803855,,11458,
Murray          CC 107062,5,943260,,,864655,78605,,,943260,,0,
Total,98,18947969,,923127,1686956,2625149,618703,362576,6216511,,12731458,0.6719167632161526
