"TABLE A1
FREQUENCY OF PRICE SPIKES IN CALIFORNIA PX DAY-AHEAD MARKET

","TABLE A1
FREQUENCY OF PRICE SPIKES IN CALIFORNIA PX DAY-AHEAD MARKET

","TABLE A1
FREQUENCY OF PRICE SPIKES IN CALIFORNIA PX DAY-AHEAD MARKET

"
PRICE EQUALS OR EXCEEDS,FY 00/99,FY 99/98
PRICE EQUALS OR EXCEEDS,# of hours,# of hours
PRICE EQUALS OR EXCEEDS,% of available hours,% of available hours
,,
100,413,104
,0.047,0.0118
,,
250,176,0
,0.02003,0
,,
500,45,0
,0.00512,0
,,
750,0,0
,0,0
,,
1000,0,0
,0,0
,,
Source: CAL-PX website (www.calpx.com),,
FY 00/99: 8/1/1999-7/31/2000,,
FY 99/98: 8/1/1998-7/31/1999,,
