SCHEDULE II,SCHEDULE II,SCHEDULE II,SCHEDULE II,SCHEDULE II,SCHEDULE II,SCHEDULE II,SCHEDULE II
,,,,,,,
,,,,,,,
Lyondell / Citgo,,,,,,,
As of 9/27/01,,,,,,,
,,,,,,,
,,Volume,Fixed Price,Index,NYMEX,HSC Basis,Value
,2001-06-01 00:00:00,-150000,4.72,3.78,3.738,0.042,-141000
,2001-07-01 00:00:00,-155000,4.72,3.26,3.182,0.078,-226300
,2001-08-01 00:00:00,-155000,4.72,3.2399999999999998,3.167,0.073,-229400
,2001-09-01 00:00:00,-150000,4.72,2.39,2.295,0.095,-349499.99999999994
,2001-10-01 00:00:00,-155000,4.72,1.86,1.83,0.03,-443299.9999999999
,2001-11-01 00:00:00,-150000,4.72,2.2305,2.253,-0.0225,-373424.99999999994
,,,,,,,
,Total Lyondell / Citgo due Seller,,,,,,-1762925
