 , , ,Natural Gas Straddles,Natural Gas Straddles, , , ,,,,
 , , , , , , , ,,,,
 ,Month,Strke,Bid,Offer,Volatility,Net Change, ,,,,
 ,Z,280,26.5,27,0.8750000000000082,-0.0326999999999964, ,,,,
 ,F,295,64,66,0.8793999999999934,0.008699999999999042, ,,,,
 ,G,300,84.5,85,0.8180999999999925,0.008399999999999075, ,,,,
 ,H,300,87.5,89,0.7303999999999945,0.016499999999998183, ,,,,
 ,J,295,80,83,0.6111999999999916,-0.005099999999999438, ,,,,
 ,K,300,83,87,0.5641499999999907,-0.005099999999999438, ,,Z/H,291.6666666666667,58.833333333333336
 ,M,305,88,94,0.5466999999999905,-0.004499999999999504, ,,J/V,307.14285714285717,97.71428571428571
 ,N,310,94,101,0.5363999999999757,-0.017099999999998117, ,,,,
 ,Q,315,100,108,0.5322499999999767,-0.010499999999998844, ,,,,
 ,U,310,105,112,0.5322499999999767,-0.01379999999999848, ,,,,
 ,V,315,114,119,0.5346499999999764,-0.02069999999999772, ,,,,
 ,X,335,127,131,0.5374999999999761,-0.005999999999999339, ,,,,
 ,Z02,360,139,146,0.5371999999999761,0, ,,,,
 ,H03,350,145,150, , , ,,,,
 , , ,2001-11-21 14:35:05.320000,2001-11-21 14:35:05.320000, , , ,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
 ,,,Crude Oil Straddles,Crude Oil Straddles,,,,,,,
,,,,,,,,,,,
,Month,Strke,Bid,Offer,Volatility,Net Change,,,,,
,F,1900,246,252,0.6579999999999824,-0.04259999999999531,,,,,
,G,1900,340,355,0.5820999999999916,-0.019199999999997885,,,,,
,H,1950,410,425,0.5637999999999918,-0.01079999999999881,,,,,
,J,1950,455,470,0.5399999999999923,-0.007199999999999207,,,,,
,K,1950,510,515,0.5289999999999909,0.01379999999999848,,,,,
,M,1950,520,535,0.4985999999999927,0.00344999999999962,,,,,
,N,2000,530,550,0.4643499999999938,-0.009599999999998943,,,,,
,Q,2000,535,555,0.43839999999999457,-0.011699999999998711,,,,,
,U,2000,540,560,0.41909999999999553,-0.008399999999999075,,,,,
,V,2000,550,575,,,,,,,
,X,2000,555,580,,,,,,,
,Z,2000,560,585,0.31499999999999356,0,,,,,
,F03,2050,,,-0.05500000000000717,0,,,,,
,,,,,,,,,,,
,,,2001-11-21 14:45:00.860000,2001-11-21 14:45:00.860000,,,,,,,
