Counterparty Name,Counterparty ID
AEC Marketing,53368
"AEC Marketing (USA), Inc.",58009
"AEC Storage and Hub Services, a business unit of Alberta Energy Company Ltd",56586
ATCO Midstream Ltd.,56624
BC Gas Utility Ltd.,46749
Cross Alta Gas Storage &  Services Ltd.,29763
ERCOT Imbalance,111776
"IGI Resources, Inc.",1799
Nexen Marketing,57251
Nova Gas Transmission Ltd. (NGTL),11330
Petro-Canada Oil and Gas,52868
"Puget Sound Energy, Inc.",54279
"Sabine Hub Services, a division of Texaco Canada Petroleum Inc.",53342
SaskEnergy Incorporated,5177
TransCanada Energy Financial Products Limited,48528
"TransCanada Energy Marketing USA, Inc.",54480
TransCanada Gas Services Inc.,45829
"TransCanada Gas Services, a division of TransCanada Energy Ltd.",54461
TransCanada PipeLines Limited,6223
Unocal Canada Limited,26342
Westcoast Energy Inc.,11324
