DATE,,CHECK #,DEBIT     #,Reconsile,DEBIT             +,CREDIT            -,BALANCE
2001-01-01 00:00:00,Beginning Balance,,,,,,95137.25
2001-01-01 00:00:00,Thomas Management Group,Deposit,,1,3750,,98887.25
2001-01-16 00:00:00,DIVIDEND,Deposit,,1,242.34,,99129.59
2001-01-26 00:00:00,McCormic & Schmick's,,A,1,,134.15,98995.44
2001-01-31 00:00:00,Arbors Management Inc,Deposit,,2,940.03,,99935.47
2001-02-01 00:00:00,Thomas Management Group,Deposit,,2,3750,,103685.47
2001-02-12 00:00:00,J Leonard Gutowski,147,,2,,71.5,103613.97
2001-02-15 00:00:00,DIVIDEND,Deposit,,2,461.91,,104075.88
2001-02-26 00:00:00,Arbors Management Inc,Deposit,,3,11699.73,,115775.61
2001-03-01 00:00:00,Thomas Management Group,Deposit,,3,3750,,119525.61
2001-03-15 00:00:00,Herman Schmidt,148,,4,,1739.95,117785.66
2001-03-15 00:00:00,Herman Schmidt,149,,4,,1739.95,116045.71
2001-03-15 00:00:00,Herman Schmidt,150,,4,,1739.95,114305.76000000001
2001-03-15 00:00:00,DIVIDEND,Deposit,,3,434.65,,114740.41
2001-03-19 00:00:00,EPS Mail Box,151,,4,,10.16,114730.25
2001-03-20 00:00:00,Brinkerhoff & Revenig PC,152,,3,,210,114520.25
2001-03-28 00:00:00,Arbors Management Inc,Deposit,,4,1043.43,,115563.68
2001-04-01 00:00:00,Thomas Management Group,Deposit,,4,3750,,119313.68
2001-04-01 00:00:00,Herman Schmidt,153,VOID,,,1739.95,117573.73
2001-04-16 00:00:00,DIVIDEND,Deposit,,4,491.35,,118065.08
2001-04-24 00:00:00,Arbors Management Inc,Deposit,,5,964.77,,119029.85
2001-05-01 00:00:00,Thomas Management Group,Deposit,,5,3750,,122779.85
2001-05-01 00:00:00,Herman Schmidt,154,,5,,1739.95,121039.90000000001
2001-05-01 00:00:00,Susan Sciullo Bailey,155,,5,,102.34,120937.56000000001
2001-05-15 00:00:00,Arbors Management Inc,Deposit,,6,7012.5,,127950.06000000001
2001-05-15 00:00:00,DIVIDEND,Deposit,,5,416.64,,128366.70000000001
2001-05-25 00:00:00,240 Union Restaurant,,B,5,,184.42,128182.28000000001
2001-05-26 00:00:00,Adams Mark Restaurant,,C,5,,49.51,128132.77000000002
2001-05-31 00:00:00,Arbors Management Inc,Deposit,,6,906.53,,129039.30000000002
2001-06-01 00:00:00,Thomas Management Group,Deposit,,6,3750,,132789.30000000002
2001-06-01 00:00:00,Herman Schmidt,156,,6,,1739.95,131049.35000000002
2001-06-15 00:00:00,Office Max,,D,6,,322.6,130726.75000000001
2001-06-15 00:00:00,UsAirways,,E,6,,468,130258.75000000001
2001-06-15 00:00:00,UsAirways,,F,6,,468,129790.75000000001
2001-06-15 00:00:00,UsAirways,,G,6,,468,129322.75000000001
2001-06-15 00:00:00,DIVIDEND,Deposit,,6,414.61,,129737.36000000002
2001-06-20 00:00:00,Office Max,,H,6,,26.54,129710.82000000002
2001-06-20 00:00:00,Circuit City,,I,6,,131.15,129579.67000000003
2001-06-22 00:00:00,Arbors Management Inc,Deposit,,7,946.6,,130526.27000000003
