,"Exposures Report of Jan 14, 2002 (December 11, 2001 data) US $",,,,,"Revision 3 Jan 14, 2002",,"One Way / Two Way split as of Dec 13, 2001; outstanding payables and receivables for Nov Physical, Dec Financial, Dec Physical est.; mtm from tagg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Without Prejudice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"This information is prepared in contemplation of litigation and is strictly confidential to Enron Canada Corp.  This information reflects internal calculations made, and other information interpreted, by Enron Canada Corp. which may or may not have been calculated in accordance with, or reflect the provisions of, either: a) any agreements between Enron Canada Corp. or any of its affiliates and the listed counterparties; or b) applicable regulations or tariffs, and such information is subject to change at any time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This information is prepared in contemplation of litigation and is strictly confidential to Enron Canada Corp.  This information reflects internal calculations made, and other information interpreted, by Enron Canada Corp. which may or may not have been calculated in accordance with, or reflect the provisions of, either: a) any agreements between Enron Canada Corp. or any of its affiliates and the listed counterparties; or b) applicable regulations or tariffs, and such information is subject to change at any time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"This information is prepared in contemplation of litigation and is strictly confidential to Enron Canada Corp.  This information reflects internal calculations made, and other information interpreted, by Enron Canada Corp. which may or may not have been calculated in accordance with, or reflect the provisions of, either: a) any agreements between Enron Canada Corp. or any of its affiliates and the listed counterparties; or b) applicable regulations or tariffs, and such information is subject to change at any time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,One Way Contracts,,,,, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts, Two Way Contracts,,,,,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,Unknown Contracts,,,,,,,,,,,,,,,,,,,,
,,,,,Not Terminated,Not Terminated,Not Terminated,Not Terminated,Accepted Termination,Accepted Termination,Accepted Termination,Accepted Termination,ECC Disputes Termination,ECC Disputes Termination,ECC Disputes Termination,ECC Disputes Termination,ECC Disputes Termination and has terminated,ECC Disputes Termination and has terminated,ECC Disputes Termination and has terminated,ECC Disputes Termination and has terminated,ECC Terminates and C/P Disputes Termination,ECC Terminates and C/P Disputes Termination,ECC Terminates and C/P Disputes Termination,ECC Terminates and C/P Disputes Termination,Unknown,Unknown,Unknown,Unknown,,,,,Not Terminated,Not Terminated,Not Terminated,Not Terminated,Accepted Termination,Accepted Termination,Accepted Termination,Accepted Termination,ECC Disputes Termination,ECC Disputes Termination,ECC Disputes Termination,ECC Disputes Termination,ECC Disputes Termination and has terminated,ECC Disputes Termination and has terminated,ECC Disputes Termination and has terminated,ECC Disputes Termination and has terminated,ECC Terminates and C/P Disputes Termination,ECC Terminates and C/P Disputes Termination,ECC Terminates and C/P Disputes Termination,ECC Terminates and C/P Disputes Termination,Unknown,Unknown,Unknown,Unknown,,,,,Not Terminated,Not Terminated,Not Terminated,Not Terminated,Accepted Termination,Accepted Termination,Accepted Termination,Accepted Termination,ECC Disputes Termination,ECC Disputes Termination,ECC Disputes Termination,ECC Disputes Termination,ECC Disputes Termination and has terminated,ECC Disputes Termination and has terminated,ECC Disputes Termination and has terminated,ECC Disputes Termination and has terminated,ECC Terminates and C/P Disputes Termination,ECC Terminates and C/P Disputes Termination,ECC Terminates and C/P Disputes Termination,ECC Terminates and C/P Disputes Termination,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,
,Counterparty,Contract,Legal Comments,,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,,Counterparty,Contract,Additional Comments,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,,Counterparty,Contract,Additional Comments,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,fmtm,pmtm,sales,purchase,,,fmtm,pmtm,sales,purchase,,,Counterparty,Acctg Comments,Counterparty,Acctg Comments,Counterparty,Acctg Comments,,Add Fin rec,Add Fin pay,Counterparty,1way/2way,Legal Status
l,"Mirant Americas Energy Marketing, L.P.",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,l,"Mirant Americas Energy Marketing, L.P.",,,0,0,4587134.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,l,"Mirant Americas Energy Marketing, L.P.",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,137.0,0,0,4587134.61,0,,,,,,,,,,0,0,"Mirant Americas Energy Marketing, L.P.",2 way,Not Terminated
l,"Mirant Canada Energy Marketing, Ltd.",P(G),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,l,"Mirant Canada Energy Marketing, Ltd.",P(G),,0,0,0,0,0,0,0,0,0,0,0,0,0,14486518.13019999,3584703.0274480246,-849779.9345204447,0,0,0,0,0,0,0,0,l,"Mirant Canada Energy Marketing, Ltd.",P(G),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,138.0,0,14486518.13019999,3584703.0274480246,-849779.9345204447,,,,,,,,,,0,0,"Mirant Canada Energy Marketing, Ltd.",2 way,ECC Disputes Termination and has terminated
g,Northwestern Utilities Limited,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g,Northwestern Utilities Limited,,,0,0,0,-188.4303749764462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g,Northwestern Utilities Limited,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,152.0,0,0,0,-188.4303749764462,,,,,,,,,,0,0,Northwestern Utilities Limited,2 way,Not Terminated
