Enron North America,,,,,,,,,,,,,
Third Quarter 2001 Soft Targets,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Market Transactions,,,,EOL Transactions,,,,New EOL Customers,,
,,,Actual ,Target,Fav/(Unfav),,Actual ,Target,Fav/(Unfav),,Actual ,Target,Fav/(Unfav)
Canada,,,,,,,,,,,,,
,Gas,, 170 , 180 , (10),, 788 , 660 , 128 ,, 3 , 5 , (2)
,Eastern Power,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
,Alberta Power,, 9 , 20 , (11),, 45 , 27 , 18 ,, 1 , 8 , (7)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
U.S. Natural Gas,,,,,,,,,,,,,
,Central,, 186 , -   , 186 ,," 2,628 "," 3,873 "," (1,245)",, 3 , 3 , -   
,East,, 543 , 38 , 505 ,," 2,754 "," 1,950 ", 804 ,, 9 , 5 , 4 
,West,, 152 , 38 , 114 ,," 1,484 "," 1,320 ", 164 ,, 2 , 4 , (2)
,Texas,, 1 , 31 , (30),, 365 , 240 , 125 ,, -   , 6 , (6)
,Derivatives,, 986 , 400 , 586 ,, -   , -   , -   ,, -   , -   , -   
,Financial,, -   , -   , -   ,," 2,176 "," 3,408 "," (1,232)",, 4 , -   , 4 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
East Power Trading,,,,,,,,,,,,,
,ERCOT,, 5 , 13 , (8),, -   , 60 , (60),, -   , 6 , (6)
,Southeast,, 7 , 25 , (18),, 396 , 300 , 96 ,, 2 , 3 , (1)
,Midwest,, 23 , 50 , (27),, 548 , 390 , 158 ,, 2 , 6 , (4)
,Northeast,, 15 , 38 , (23),, 979 , 750 , 229 ,, 7 , 10 , (3)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
West Power,,, 26 , 125 , (99),," 1,143 ", 300 , 843 ,, 4 , 5 , (1)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Gas Assets,,, 2 , -   , 2 ,, -   , -   , -   ,, -   , -   , -   
HPL- Transport,,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
Asset Marketing,,, -   ,, -   ,,,,,,,,
Energy Capital Resources,,, 1 , -   , 1 ,, -   , -   , -   ,, -   , -   , -   
Mexico,,, 38 , -   , 38 ,, -   , -   , -   ,, -   , -   , -   
,Total,," 2,164 ", 958 ," 1,206 ",," 13,306 "," 13,278 ", 28 ,, 37 , 61 , (24)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,'file:///barry_tycholiz__856__Q3SoftTargets.xlsx'#$summary,,,,,,,,,,,,
