,,                 HA/DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000-11-03 00:00:00,Mkt,From,To,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,Type
,,2000-11-03 00:00:00,1,AZ2,NP15,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,AZ3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,II2,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,LA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,LA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,LA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,LA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,LC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,LC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,ZP26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,MX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,II1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,NV3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,NV4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,NW1,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,2.15,25,25,22.99,26.99,27.43,31.11,-1,-1,-1,1.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,NW2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,NW3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,SF,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,SP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,SR2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,SR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,LC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,NW3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,LA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,LA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,LC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,LC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,LC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,MX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,NP15,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,NV3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,NV4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,HUMB,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,NW2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,LA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,SF,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,SP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,SR2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,SR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,ZP26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,LA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,AZ3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,II2,0,0,0,0,0,0,-50.0101,-69.9901,-69.9901,-69.9901,-105.8401,-79.9901,-79.9901,-82.0001,-78.0001,-79.6101,-76.9401,-120.0101,-124.6101,-117.6701,-117.8901,-69.9901,-51.8901,-56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,II1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,NW1,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,2.15,25,25,22.99,26.99,27.43,31.11,-1,-1,-1,1.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,HUMB,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,AZ5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ2,AZ5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,NP15,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,HUMB,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,II1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,II2,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,LA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,LA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,LA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,LA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,LC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,LC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,ZP26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,MX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,NV3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,NV4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,NW1,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,2.15,25,25,22.99,26.99,27.43,31.11,-1,-1,-1,1.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,NW2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,NW3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,SF,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,SP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,SR2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,SR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,LC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,LA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,SF,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,SP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,SR2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,SR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,ZP26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,NV3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,NP15,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,MX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,LC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,AZ5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,LC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,NW1,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,2.15,25,25,22.99,26.99,27.43,31.11,-1,-1,-1,1.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,LA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,LA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,LA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,II2,0,0,0,0,0,0,-50.0101,-69.9901,-69.9901,-69.9901,-105.8401,-79.9901,-79.9901,-82.0001,-78.0001,-79.6101,-76.9401,-120.0101,-124.6101,-117.6701,-117.8901,-69.9901,-51.8901,-56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,II1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,HUMB,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,AZ5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,NV4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,NW3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,LC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ3,NW2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,LA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,LA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,LA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,II2,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,HUMB,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,SP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,NP15,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,LC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,NV3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,NV4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
