AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA
Change in Producing Region,,,,,,,,,,,,Change in Consuming Region East,,,,,,,,,,,
Week Ending:,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,"6 Year
Average",Producing Region vs. Average,Week Ending:,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,6 Year Average,Consuming East vs. Average
1993-11-05 00:00:00,0,-3,-1,10,89,11,-8,21,,15.125,-13.125,1993-11-05 00:00:00,0,9,6,22,-2,29,20,17,,13.125,-9.125
1993-11-12 00:00:00,0,7,-18,-12,-1,27,5,1,,2.25,6.75,1993-11-12 00:00:00,0,4,-54,-7,4,-8,9,4,,-5.125,12.125
1993-11-19 00:00:00,0,1,-25,-29,-31,-20,-4,-24,,-14.875,27.875,1993-11-19 00:00:00,0,-9,-62,-58,-29,-17,-19,-39,,-29.125,29.125
1993-11-26 00:00:00,0,-14,-15,-14,-40,-4,5,-42,,-13.875,26.875,1993-11-26 00:00:00,0,-35,-44,-46,-60,-12,3,-91,,-36.125,32.125
1993-12-03 00:00:00,0,-31,-24,-36,-8,7,-11,-11,,-13.875,16.875,1993-12-03 00:00:00,0,-42,-49,-62,-25,-7,-56,-57,,-37.25,37.25
1993-12-10 00:00:00,0,-11,-16,-24,-25,14,-22,-41,,-15.125,19.125,1993-12-10 00:00:00,0,-30,-50,-40,-32,14,-37,-110,,-36.875,26.875
1993-12-17 00:00:00,0,-48,-41,-5,-41,-16,-26,-46,,-28.125,26.125,1993-12-17 00:00:00,0,-89,-128,-44,-76,-19,-75,-100,,-71,34
1993-12-24 00:00:00,0,-25,-57,-52,-40,-21,-49,-51,,-38.875,22.875,1993-12-24 00:00:00,0,-56,-85,-62,-66,-57,-109,-110,,-74.75,21.75
1993-12-31 00:00:00,0,-24,-31,-30,-19,-36,-25,-63,,-32,4,1993-12-31 00:00:00,0,-46,-84,-84,-55,-93,-98,-142,,-85.75,1.75
1994-01-07 00:00:00,0,-53,-42,7,-41,-56,-35,-60,,-42.5,-17.5,1994-01-07 00:00:00,0,-112,-86,-26,-79,-95,-53,-98,,-84,-39
1994-01-14 00:00:00,-40,-30,-59,-35,-10,-64,-15,-27,,-35,,1994-01-14 00:00:00,-135,-85,-127,-75,-17,-152,-86,-63,,-92.5, 
1994-01-21 00:00:00,-76,-27,-29,-83,-42,-56,-49,-11,,-46.625,,1994-01-21 00:00:00,-163,-28,-61,-151,-99,-135,-136,-56,,-103.625, 
1994-01-28 00:00:00,-34,-35,-48,-23,-32,-19,-68,-16,,-34.375,,1994-01-28 00:00:00,-88,-114,-86,-112,-96,-67,-158,-93,,-101.75, 
1994-02-04 00:00:00,-55,-40,-54,-36,-20,-14,-76,-19,,-39.25,,1994-02-04 00:00:00,-124,-98,-127,-116,-76,-46,-126,-66,,-97.375, 
1994-02-11 00:00:00,-40,-43,-62,-10,-18,-18,-47,-10,,-31,,1994-02-11 00:00:00,-114,-145,-157,-54,-81,-63,-96,-65,,-96.875, 
1994-02-18 00:00:00,-23,-48,-21,-36,-10,5,-31,-10,,-21.75,,1994-02-18 00:00:00,-68,-143,-69,-97,-62,-43,-90,-55,,-78.375, 
1994-02-25 00:00:00,-4,-9,-9,-4,-3,-16,-18,-15,,-9.75,,1994-02-25 00:00:00,-44,-39,-50,-58,-64,-72,-43,-81,,-56.375, 
1994-03-04 00:00:00,-31,-25,-12,-11,14,-26,-4,-6,,-12.625,,1994-03-04 00:00:00,-94,-86,-27,-54,-45,-96,-24,-54,,-60, 
1994-03-11 00:00:00,-11,-55,-35,3,1,-8,-2,-11,,-14.75,,1994-03-11 00:00:00,-11,-69,-76,-49,-45,-59,-16,-61,,-48.25, 
1994-03-18 00:00:00,11,15,-20,14,-42,-27,-15,3,,-7.625,,1994-03-18 00:00:00,-65,-32,-52,-57,-93,-90,-38,-31,,-57.25, 
1994-03-25 00:00:00,-1,9,-12,7,-15,-22,-14,-5,,-6.625,,1994-03-25 00:00:00,-15,12,-32,-63,-67,-57,-29,-13,,-33, 
1994-04-01 00:00:00,0,0,-10,24,13,-5,-7,-13,,0.25,,1994-04-01 00:00:00,0,-27,-35,-28,-38,-33,-3,-44,,-26, 
1994-04-08 00:00:00,10,-2,-6,18,28,7,-4,8,,7.375,,1994-04-08 00:00:00,13,-33,-8,1,36,2,1,-1,,1.375, 
1994-04-15 00:00:00,19,7,-5,7,16,11,-8,20,,8.375,,1994-04-15 00:00:00,21,-9,-14,-23,9,34,-25,43,,4.5, 
1994-04-22 00:00:00,30,20,7,-7,27,3,3,14,,12.125,,1994-04-22 00:00:00,43,16,19,-2,33,5,8,20,,17.75, 
1994-04-29 00:00:00,24,6,15,8,19,-4,3,34,,13.125,,1994-04-29 00:00:00,48,21,48,10,33,3,20,57,,30, 
1994-05-06 00:00:00,28,17,15,9,31,5,17,34,,19.5,,1994-05-06 00:00:00,43,28,35,28,34,23,34,60,,35.625, 
1994-05-13 00:00:00,28,15,4,19,30,22,1,31,,18.75,,1994-05-13 00:00:00,54,8,49,40,53,48,40,62,,44.25, 
1994-05-20 00:00:00,36,18,12,16,23,23,7,39,,21.75,,1994-05-20 00:00:00,46,86,38,36,56,45,42,64,,51.625, 
1994-05-27 00:00:00,19,33,13,18,24,11,10,20,,18.5,,1994-05-27 00:00:00,67,53,59,47,54,55,40,66,,55.125, 
1994-06-03 00:00:00,40,40,17,22,27,16,14,29,,25.625,,1994-06-03 00:00:00,68,53,62,62,62,43,52,70,,59, 
1994-06-10 00:00:00,12,6,18,21,17,19,21,27,,17.625,,1994-06-10 00:00:00,62,60,62,59,54,58,53,64,,59, 
1994-06-17 00:00:00,29,28,19,19,26,17,11,30,,22.375,,1994-06-17 00:00:00,58,57,66,63,59,34,48,62,,55.875, 
1994-06-24 00:00:00,11,30,15,22,16,24,12,28,,19.75,,1994-06-24 00:00:00,63,55,66,65,55,50,52,68,,59.25, 
1994-07-01 00:00:00,15,11,11,9,14,25,11,32,,16,,1994-07-01 00:00:00,84,59,72,56,46,55,50,62,,60.5, 
1994-07-08 00:00:00,38,31,15,21,14,12,26,30,,23.375,,1994-07-08 00:00:00,46,65,70,64,50,46,63,71,,59.375, 
1994-07-15 00:00:00,27,14,20,16,27,9,9,22,,18,,1994-07-15 00:00:00,66,48,67,65,55,36,52,62,,56.375, 
