THURS,Desk,Region,Grand Total,2001-11-01 00:00:00,2001-12-01 00:00:00,Total 2001,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00,Total 2002,2003-01-01 00:00:00,2003-02-01 00:00:00,2003-03-01 00:00:00,2003-04-01 00:00:00,2003-05-01 00:00:00,2003-06-01 00:00:00,2003-07-01 00:00:00,2003-08-01 00:00:00,2003-09-01 00:00:00,2003-10-01 00:00:00,2003-11-01 00:00:00,2003-12-01 00:00:00,Total 2003,2004-01-01 00:00:00,2004-02-01 00:00:00,2004-03-01 00:00:00,2004-04-01 00:00:00,2004-05-01 00:00:00,2004-06-01 00:00:00,2004-07-01 00:00:00,2004-08-01 00:00:00,2004-09-01 00:00:00,2004-10-01 00:00:00,2004-11-01 00:00:00,2004-12-01 00:00:00,Total 2004,2005-01-01 00:00:00,2005-02-01 00:00:00,2005-03-01 00:00:00,2005-04-01 00:00:00,2005-05-01 00:00:00,2005-06-01 00:00:00,2005-07-01 00:00:00,2005-08-01 00:00:00,2005-09-01 00:00:00,2005-10-01 00:00:00,2005-11-01 00:00:00,2005-12-01 00:00:00,Total 2005,2006-01-01 00:00:00,2006-02-01 00:00:00,2006-03-01 00:00:00,2006-04-01 00:00:00,2006-05-01 00:00:00,2006-06-01 00:00:00,2006-07-01 00:00:00,2006-08-01 00:00:00,2006-09-01 00:00:00,2006-10-01 00:00:00,2006-11-01 00:00:00,2006-12-01 00:00:00,Total 2006,2007-01-01 00:00:00,2007-02-01 00:00:00,2007-03-01 00:00:00,2007-04-01 00:00:00,2007-05-01 00:00:00,2007-06-01 00:00:00,2007-07-01 00:00:00,2007-08-01 00:00:00,2007-09-01 00:00:00,2007-10-01 00:00:00,2007-11-01 00:00:00,2007-12-01 00:00:00,Total 2007,2008-01-01 00:00:00,2008-02-01 00:00:00,2008-03-01 00:00:00,2008-04-01 00:00:00,2008-05-01 00:00:00,2008-06-01 00:00:00,2008-07-01 00:00:00,2008-08-01 00:00:00,2008-09-01 00:00:00,2008-10-01 00:00:00,2008-11-01 00:00:00,2008-12-01 00:00:00,Total 2008,2009-01-01 00:00:00,2009-02-01 00:00:00,2009-03-01 00:00:00,2009-04-01 00:00:00,2009-05-01 00:00:00,2009-06-01 00:00:00,2009-07-01 00:00:00,2009-08-01 00:00:00,2009-09-01 00:00:00,2009-10-01 00:00:00,2009-11-01 00:00:00,2009-12-01 00:00:00,Total 2009,2010-01-01 00:00:00,2010-02-01 00:00:00,2010-03-01 00:00:00,2010-04-01 00:00:00,2010-05-01 00:00:00,2010-06-01 00:00:00,2010-07-01 00:00:00,2010-08-01 00:00:00,2010-09-01 00:00:00,2010-10-01 00:00:00,2010-11-01 00:00:00,2010-12-01 00:00:00,Total 2010,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01 00:00:00,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,Total 2011,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,Total 2012,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,Total 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak Pos,,Total,-3353418.75,1559.36,89295.54,90854.89,-173484.76,42064.48,25637,-157331.35,-164327.55,-126716.42,-454160.99,-339156.68,-9689.47,-99568.41,-121908.19,-114731.82,-1693374.14,-112655.45,-104730.79,-113871.72,-74355.23,-81164.76,-97910.31,-111370.93,-108420.56,-95692.63,-29951.1,-26446.39,-28559.97,-985129.86,-54046.74,-47849.18,-51729.72,-28723.42,-36557.89,-51402.76,-120091.12,-119152.81,-92654.66,-48003.76,-45868.97,-52984.63,-749065.67,17229.61,18203.21,24003.4,49898.54,37464.91,30231.98,25492.2,25576.36,30992.03,43892.18,42067.83,38343.57,383395.79,18070.6,20485.14,24591.1,23016.06,15414.46,9622.13,-4260.75,2303.52,8811.75,45204.66,41752.05,36830.66,241841.44,-65502.33,-60134.02,-67414.51,-54733.21,-62978.43,-64594.95,-102578.14,-110217.7,-92865.82,-57378.05,-52801.45,-52555.08,-843753.75,-793.23,-700.59,-815.35,-5577.11,-11510.26,-11038.19,-7022.49,-6984.13,-3845.97,-5638.37,-4933.73,-6037.48,-64896.9,26131.02,24063.38,25851.4,25752.31,19244.2,19887.08,16982.04,16894.66,18831.33,25908.09,22963.98,27048.55,269558.03,25354.78,24225.25,27110.07,25972.71,19771.92,20457.19,18783.06,18682.82,20353.27,29526.63,28243.04,29214.14,287694.86,-6073.56,-5802.01,-6491.71,-5969.51,-10465.53,-10826.32,-12705.43,-13646.07,-15127.55,-10832.38,-10363.25,-10722.8,-119026.14,-10257.71,-10208.61,-10968.8,-10105.86,-15103.22,-15027.99,-16587.12,-17821.61,-13660.54,-10584.37,-9751.16,-9700.52,-149777.5,-4460.47,-4097.99,-4416.33,-4394,-4371.02,0,0,0,0,0,0,0,-21739.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPMI-LT-SW,MID-COLUMBIA,-63893.56,0,0,0,0,0,0,0,0,0,10219.31,10586.55,9386.44,0,0,0,30192.3,16077.12,14795.42,15972.85,15917.48,15858.69,15192.86,15739.05,15676.23,15014.08,16147.87,14294.77,15419.3,186105.72,-383.79,-352.79,-395.13,-378.83,-362.6,-375.43,-373.69,-371.94,-356,-368.48,-352.67,-365,-4436.35,2095.44,2002.72,2242.08,2148.8,2055.98,2128.03,2036.03,2187.94,2016.1,2086.25,1996.35,2066.17,25061.87,1977.22,1889.88,2115.81,649.94,672.61,669.39,640.43,688.18,634.08,656.12,627.87,624.8,11846.35,-7435.9,-6833.24,-7649.17,-7048.29,-7293.37,-7257.69,-6943.07,-7460.19,-6598.3,-7384.73,-6803.34,-6767.81,-85475.12,-7001.57,-6699.04,-6930.04,-6894.28,-6857.32,-6559.2,-6784.62,-6747.69,-6453.81,-6932.66,-6131.81,-6609.4,-80601.43,-6576.07,-6042.48,-6512.81,-6480.74,-6199.67,-6415.71,-6382.76,-6349.89,-6075.13,-6527.14,-5772.71,-6221.17,-75556.27,-5950.61,-5685.52,-6362.57,-6095.64,-5830.18,-6032.25,-6000.15,-5968.12,-5708.85,-5905.32,-5648.61,-5842.83,-71030.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NP15,-1048656.46,2986.29,-2124.93,861.36,268.77,247.68,267.79,4175.77,4167.29,3998.55,-7501.11,-7770.66,-6889.8,-3517.37,-3247.67,-3237.66,-19038.41,-3155.33,-2903.78,-3134.88,-3124.02,-3112.5,-2981.79,-3089.01,-3076.67,-2946.74,-23354.1,-20674.07,-22300.39,-93853.29,-16829.34,-15470.22,-17326.5,-16612.03,-15900.26,-16462.9,-16255.43,-16179.24,-15486.19,-16029.08,-15340.95,-15877.38,-193769.53,-34923.98,-33378.65,-37367.97,-35813.32,-34266.29,-35467.13,-33933.89,-36465.61,-33601.63,-34770.76,-33272.42,-34436.24,-417697.88,-21749.42,-20788.7,-23273.95,-21448.11,-22196.28,-22089.8,-21134.13,-22710.02,-20924.66,-21651.9,-20719.87,-20618.54,-259305.36,-4849.5,-4456.46,-4988.59,-4596.71,-4756.55,-4733.27,-4528.09,-4865.34,-4303.24,-4816.13,-4436.96,-4413.79,-55744.64,1522.08,1456.31,1506.53,-899.25,-894.43,-855.55,-884.95,-880.13,-841.8,-904.26,-799.8,-862.1,-3337.35,-857.75,-788.15,-849.5,-845.31,-808.65,-836.83,-832.53,-828.25,-792.41,-851.37,-752.96,0,-9043.71,-517.44,-494.39,-553.27,-530.06,-506.97,-524.54,-521.75,-518.97,-496.42,1027.01,982.37,1016.14,-1638.29,485.89,464.16,519.34,497.46,475.71,492.1,470.57,505.41,0,0,0,0,3910.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ROCKIES,-250445.23,0,-6618.37,-6618.37,-7626.71,-6587.29,-7101.03,-7322.13,-9380.28,-13849.05,-15455.63,-16170.75,-10945.5,-11700.79,-9962.45,-10660.07,-126761.69,-10922.18,-9733.42,-10494.59,-10095.96,-11343.07,-15688.26,-17622.52,-17972.39,-13192.77,0,0,0,-117065.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SP15,-2629970.27,-802.78,-15755.86,-16558.64,-11708.17,-19557.52,-31452.48,8514.54,29026.32,57397.88,15204.22,15750.8,13964.78,21985.13,20298.95,20236.64,139661.07,45495.31,41868.26,45200.06,-24595.71,-24505.22,-23475.95,24864.25,24765.21,23718.85,-95599.15,-84628.92,-91285.67,-138178.67,-27943.79,-25687.33,-28769.04,-8641.2,-8270.97,-8563.38,-6539.54,-6508.89,-6230.08,-6448.48,-6171.64,-6387.45,-146161.79,-48544.34,-46396.32,-51941.48,-24711.19,-23643.74,-24472.32,-23414.38,-25161.27,-23185.12,-23991.82,-22957.97,-23761.01,-362180.97,-45311.29,-43309.79,-48487.39,-44683.55,-46242.26,-43008.17,-41147.5,-35613.44,-32813.67,-33954.11,-32492.52,-32333.61,-479397.3,-69509.52,-63875.96,-71503.14,-65886.23,-68177.17,-67843.6,-64902.63,-69736.56,-61679.75,-69031.2,-63596.44,-63264.34,-799006.53,-21309.13,-20388.37,-21091.43,-23380.59,-23255.27,-22244.24,-23008.73,-22883.48,-21886.83,-23510.75,-20794.82,-22414.48,-266168.11,-22301.45,-20491.88,-22086.92,-21978.15,-21024.97,-21757.63,-21645.89,-21534.39,-20602.61,-22135.5,-19577.02,-20286.41,-255422.84,-26389.66,-25214.04,-28216.6,-27032.82,-25855.58,-26751.71,-26609.34,-26467.31,-25317.49,-24648.31,-23576.79,-24387.46,-310467.13,485.89,464.16,519.34,497.46,475.71,492.1,470.57,505.41,0,0,0,0,3910.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WSCC-N,-370846.48,-1294.63,3289.07,1994.45,10339.88,9528.73,10302.95,-4115.87,-4107.61,-13790.24,-14309.03,-14823.04,-13143.13,-4214.7,-3891.82,-3879.6,-46103.47,-13266.38,-12208.86,-13180.54,-13134.95,-13086.75,-22032.47,-12987.96,-12935.94,-12389.83,-13325.55,-11796.87,-12724.16,-163070.26,-14203.98,-13057.12,-14623.33,-14020.39,-13419.69,-13894.31,-13830.41,-13765.04,-13175.68,-13638.2,-13052.18,-13508.62,-164188.95,6631.95,6338.52,7096.09,6800.54,6507.05,6735.37,6443.34,6924.93,6380.8,6602.77,6318.3,6539.98,79319.61,-6264.51,-5987.82,-6703.68,-6178.32,-6393.33,-6361.88,-4483,-4817.28,-4438.56,-4592.83,-4395.12,-4373.63,-64989.95,-2909.7,-2673.88,-2993.15,-2758.03,-2853.93,-2839.96,-2716.85,-2919.2,-2581.94,-2889.68,-2662.18,-2648.27,-33446.79,-913.25,-873.79,-903.92,-899.25,-894.43,-855.55,-884.95,-880.13,-841.8,-904.26,-799.8,-862.1,-10513.23,0,0,0,0,0,0,0,0,0,0,0,0,0,-258.72,-247.2,-276.63,-265.03,-253.49,-262.27,-260.88,-259.48,-248.21,-256.75,-245.59,-254.04,-3088.29,4130.02,3945.37,4414.37,4228.4,4043.51,4182.89,3999.86,4295.98,0,0,0,0,33240.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WSCC-S,1010393.25,670.48,110505.63,111176.09,-164758.53,58432.88,53619.77,-158583.66,-184033.27,-160473.56,-442318.75,-326729.58,-2062.26,-102120.68,-125105.2,-117191.13,-1671323.94,-146883.99,-136548.41,-148234.62,-39322.07,-44975.91,-48924.7,-118274.74,-114877,-105896.22,86179.83,76358.7,82330.95,-659068.19,5314.16,6718.28,9384.28,10929.03,1395.63,-12106.74,-83092.05,-82327.7,-57406.71,-11519.52,-10951.53,-16846.18,-240509.05,91970.54,89636.94,103974.68,101473.71,86811.91,81308.03,74361.1,78090.37,79381.88,93965.74,89983.57,87934.67,1058893.16,89418.6,88681.57,100940.31,94676.1,89573.72,80412.59,61863.45,64756.08,66354.56,104747.38,98731.69,93531.64,1033687.7,19202.29,17705.52,19719.54,25556.05,20102.59,18079.57,-23487.5,-25236.41,-17702.59,26743.69,24697.47,24539.13,129919.33,26908.64,25804.3,26603.51,26496.26,20391.19,19476.35,24540.76,24407.3,26178.27,26613.56,23592.5,24710.6,295723.22,55866.29,51385.89,55300.63,55056.51,47277.49,48897.25,45843.22,45607.19,46301.48,55422.1,49066.67,53556.13,609580.85,58471.21,55866.4,62519.14,59896.26,52218.14,54027.96,52175.18,51896.7,52124.24,59310,56731.66,58682.33,673919.2,-11175.36,-10675.7,-11944.76,-11192.83,-15460.46,-15993.41,-17646.43,-18952.87,-15127.55,-10832.38,-10363.25,-10722.8,-160087.82,-10257.71,-10208.61,-10968.8,-10105.86,-15103.22,-15027.99,-16587.12,-17821.61,-13660.54,-10584.37,-9751.16,-9700.52,-149777.5,-4460.47,-4097.99,-4416.33,-4394,-4371.02,0,0,0,0,0,0,0,-21739.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PosChange,MID-COLUMBIA,4819.65,0,0,0,0,0,0,0,0,0,-11.46,-14.52,-15.3,0,0,0,-41.28,-45.2,-45.81,-54.58,-59.48,-64.54,-66.55,-74,-78.78,-80.09,-91.33,-85.23,-96.62,-842.2,2.52,2.41,2.82,2.81,2.8,3,3.09,3.18,3.14,3.35,3.3,3.51,35.92,-20.71,-20.28,-23.29,-22.86,-22.41,-23.73,-23.23,-25.52,-24.01,-25.38,-24.76,-26.11,-282.28,-25.43,-24.69,-28.11,-8.78,-9.23,-9.33,-9.06,-9.89,-9.24,-9.72,-9.43,-9.51,-162.42,114.61,106.52,120.71,112.53,117.83,118.57,114.71,124.63,111.39,126,117.26,117.84,1402.61,123.14,118.91,124.2,124.69,125.17,120.79,126.05,126.47,121.96,132.37,118.33,128.93,1490.99,129.65,120.26,130.97,131.62,127.19,132.89,133.52,134.13,129.52,140.48,125.37,136.37,1571.95,131.64,126.81,143.18,138.35,133.49,139.27,139.72,140.15,135.15,140.96,135.91,141.72,1646.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NP15,-74691.73,-34.45,0.38,-34.08,-0.04,-0.06,-0.1,-30873.68,-30817.91,-29576.88,8.4,10.64,11.22,6.72,7.15,8.09,-91216.42,10085.3,9284.74,10027.84,9997.25,9964.65,9550.18,9897.66,9862.32,9449.55,10281.56,9110.75,9837.17,117349,-9547.19,-8774.31,-9824.99,-9417.83,-9012.33,-9329.29,-9285.05,-9239.6,-8842.06,-9150.16,-8755.62,-9059.98,-110238.41,345.22,337.92,388.11,381.04,373.5,395.46,387.1,425.34,400.21,422.94,412.68,435.15,4704.66,279.74,271.59,309.25,289.6,304.59,307.81,299.1,326.32,305.03,320.67,311.19,313.75,3638.65,74.74,69.47,78.73,73.39,76.84,77.33,74.81,81.28,72.65,82.18,76.47,76.85,914.75,-26.77,-25.85,-27,16.26,16.33,15.75,16.44,16.5,15.91,17.27,15.43,16.82,67.09,16.91,15.69,17.08,17.17,16.59,17.33,17.42,17.49,16.89,18.32,16.35,0,187.25,11.45,11.03,12.45,12.03,11.61,12.11,12.15,12.19,11.75,-24.52,-23.64,-24.65,33.96,-11.88,-11.43,-12.89,-12.44,-11.99,-12.49,-12.04,-13.02,0,0,0,0,-98.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
