New Power Buys,
,
Term,Monthly Volume
2001-11-01 00:00:00,-49485
2001-12-01 00:00:00,-82348
2002-01-01 00:00:00,-119033
2002-02-01 00:00:00,-129729
2002-03-01 00:00:00,-109061
2002-04-01 00:00:00,-63994
2002-05-01 00:00:00,-31509
2002-06-01 00:00:00,-15283
2002-07-01 00:00:00,-7053
2002-08-01 00:00:00,-4737
2002-09-01 00:00:00,-6335
2002-10-01 00:00:00,-14714
2002-11-01 00:00:00,-54105
2002-12-01 00:00:00,-90273
2003-01-01 00:00:00,-124245
2003-02-01 00:00:00,-128500
2003-03-01 00:00:00,-107074
2003-04-01 00:00:00,-58608
2003-05-01 00:00:00,-30326
2003-06-01 00:00:00,-15532
2003-07-01 00:00:00,-8779
2003-08-01 00:00:00,-2061
2003-09-01 00:00:00,-1000
2003-10-01 00:00:00,-573
2003-11-01 00:00:00,-15630
2003-12-01 00:00:00,-28155
2004-01-01 00:00:00,-31887
2004-02-01 00:00:00,-24691
2004-03-01 00:00:00,-18072
2004-04-01 00:00:00,-7077
2004-05-01 00:00:00,-3872
2004-06-01 00:00:00,-1532
2004-07-01 00:00:00,-2491
2004-08-01 00:00:00,-1669
Total,-1389433
