Dates,POAAC00 - Mid*,POAAA00 - Mid*,PPAQD00 - Mid*
,Gasoil 0.2 CIF NWE Cargoes (USD/MT),Gasoil 0.2 CIF Med Cargoes (USD/MT),Gasoil EN590 CIF Med Cargo (USD/MT)
2000-11-01 00:00:00,294,299.75,320.25
2000-11-02 00:00:00,292.5,295.75,318.25
2000-11-03 00:00:00,287.5,290.75,314.25
2000-11-06 00:00:00,280.75,284.75,306.875
2000-11-07 00:00:00,287,291,307.5
2000-11-08 00:00:00,291.5,295.5,312
2000-11-09 00:00:00,303.125,305.25,321.75
2000-11-10 00:00:00,312.25,314.25,328.75
2000-11-13 00:00:00,311.75,313.25,326.75
2000-11-14 00:00:00,318,320.25,330.75
2000-11-15 00:00:00,327.875,330.75,340.25
2000-11-16 00:00:00,327.375,330.5,340
2000-11-17 00:00:00,321,327.5,335.5
2000-11-20 00:00:00,339.5,345,352
2000-11-21 00:00:00,334.75,345,349.75
2000-11-22 00:00:00,326.5,338,344
2000-11-23 00:00:00,329,339,347.5
2000-11-24 00:00:00,327,339,348
2000-11-27 00:00:00,321,331.5,342
2000-11-28 00:00:00,310.25,321.25,334.25
2000-11-29 00:00:00,301.5,314,326
2000-11-30 00:00:00,311.5,323.5,336.5
,311.6193181818182,317.97727272727275,331.03977272727275
2000-12-01 00:00:00,309.25,321.25,334.25
2000-12-04 00:00:00,301.5,312,327
2000-12-05 00:00:00,295.25,303.125,322.25
2000-12-06 00:00:00,284.25,294.25,312.25
2000-12-07 00:00:00,284.375,293.375,312.75
2000-12-08 00:00:00,271.5,278.125,298
2000-12-11 00:00:00,274.25,281,301.5
2000-12-12 00:00:00,272.75,277.5,301
2000-12-13 00:00:00,268.25,271.25,297.75
2000-12-14 00:00:00,256.75,258.25,286.25
2000-12-15 00:00:00,251.5,253,282
2000-12-18 00:00:00,262.75,263.25,293.25
2000-12-19 00:00:00,257.25,257.25,287.75
2000-12-20 00:00:00,247.5,247.5,280
2000-12-21 00:00:00,243.25,238.75,275.75
, jj,276.65833333333336,300.78333333333336
