,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,PEPL,,,,,,,,ANR,,,,,,
,,pipe,name,r/d/bi,capacity,mtr#,,,,pipe,name,r/d/bi,capacity,mtr#,
,,,,,,,,,,,,,,,
,,tw,sneed,r,80000,07011,,,,tw,roberts red deer,bi,45000,25935,
,,,,,,,,,,,,,,,
,,cig,lakin,r,185000,06204,,,,cig,beaver,bi,150000,16454,d
,,,baker,r,65000,06235,,,,,,,,16435,r
,,,,,,,,,,,,,,,
,,kn,grant #1,r,50000,09223,,,total receipts,,195000,,,,
,,,aledo,,198000,06132,,,,,,,,,
,,,,,,,,,total deliveries,,195000,,,,
,,pony exp,pony exp,bi,79000,pnyex,,,,,,,,,
,,,,,,,,,,,,,,,
,total receipts,,657000,,,,,,NGPL,,,,,,
,,,,,,,,,,pipe,name,r/d/bi,capacity,mtr#,zone
,total deliveries,,79000,,,,,,,,,,,,
,,,,,,,,,,trailblazer,gage,r,725000,902900,am
,,,,,,,,,,,,,,,
,NNG,,,,,,,,,cig,forgan,r,228000,905207,mc
,,pipe,name,r/d/bi,capacity,mtr#,mid,,,,,,,,
,,,,,,,,,,kn,barton,r,32000,5421,mc
,,el paso,waha,d,180000,57100,3,,,,hemphill,r,96000,903971,mc
,,,keystone,d,80000,169,4,,,,,,,,
,,,plains,d,50000,2618,6,,,tw,eddy,bi,150000,903080,p
,,,dumas,r,250000,186,10,,,,gray,r,75000,,mc
,,,,,,,,,,,hansford,r,75000,,mc
,,tw,gray,bi,40000,60667,8,,,,,,,,
,,,linam ranch,bi,50000,62960,5,,,el paso,moore,r,100000,3251,mc
,,,halley,bi,150000,60749,4,,,,parmer,d,15000,5058,p
,,,ward,bi,50000,1635,4,,,,lusk,r,100000,3324,p
,,,beaver,r,80000,3531,11,,,,jal,d,393000,3083,p
,,,,,,,,,,,washita,r,120000,,mc
,,cig,dumas,r,150000,360,10,,,,,,,,
,,,garden city,r,80000,22966,15,,,,,,,,
,,,,,,,,,total receipts,,1710000,,,,
,,kn,fillmore,d,24000,210,17 abc,,,,,,,,
,,,,,,,,,total deliveries,,558000,,,,
,,pony exp,tescott - pony exp,r,70000,71214,16a,,,,,,,,
,,,,,,,,,,,,,,,
,,trailblazer,beatrice,r,325000,1318,17 abc,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,total receipts,,955000,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,total deliveries,,624000,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,VARIABLE COSTS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,El Paso Permian to M/C,,,.04 - .05,,,,,,,,,,,
,,,,,,,,,,,,,,,
,TW Central & Panhandle Pool to M/C,,,.04 - .05,,,,,,,,,,,
,,,,,,,,,,,,,,,
,CIG to M/C,,,0.095,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Trailblazer to M/C,,,0.005,,,,,,,,,,,
