Ontario Region,,,,,,,,,,,,,,,
Enron Canada Purchase,,,,,,,,,,,,,,,
August 2000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPR,CPR,CPR,,Sitara,Sitara,Sitara,,Tagg,Tagg,Tagg,,Variance,Variance,WACOG,
Number,Volume,Amount,,Number,Volume,Amount,,Number,Volume,Amount,,Volume,Amount,4.5,
371670,155000,607600,,65059,155000,602588.85,,EU0747.A,,511.5,,0,4499.650000000023,-4499.650000000023,
671671,155000,603105,,65068,155000,602588.85,,,,,,0,516.1500000000233,-516.1500000000233,
450407,5704,22188.56,,105810,5704,22673.4,,EY9876.D,,-484.84,,0,0,0,
453383,212040,696296.95,,124929,212040,829076.4,,"N36190.1,2&3",,39775.40000000002,,0,-172554.8500000001,172554.8500000001,
484803,1200258,3941407.22,,145825,1200258,0,,N36076.9,,3941406.98,,0,0.24000000022351742,-0.24000000022351742,
484824,307675,1010343.17,,145837,307675,0,,N63076.B,,1010343.1,,0,0.07000000006519258,-0.07000000006519258,
577263,628221,2450061.9,,290657,627967,2480469.65,,,,,,254,-30407.75,31550.75,
606790,69626,228637.86,,105870,69626,276763.35,,,,,,0,-48125.48999999999,48125.48999999999,
635134,942090,3721255.5,,290657,787090,3105070.05,,,,,,155000,616185.4500000002,81314.54999999981,
635137,47027,0.47,,290660,47027,0,,,,,,0,0.47,-0.47,
702069,323,1259.7,,348764,310,1209,,,,,,13,50.700000000000045,7.7999999999999545,
702077,4026,15902.7,,348762,4030,15918.5,,,,,,-4,-15.799999999999272,-2.2000000000007276,
703759,62775,247961.25,,348767,62775,247961.25,,,,,,0,0,0,
703812,4154,16159.06,,345221,4154,15079.02,,,,,,0,1080.039999999999,-1080.039999999999,
708464,6143,28089.7,,350483,6138,29632.03,,,,,,5,-1542.329999999998,1564.829999999998,
711876,47411,223305.81,,356155,47391,235500,,,,,,20,-12194.190000000002,12284.190000000002,
,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,0,0,0,
Totals,3847473,13813574.85,,,3692185,8464530.35,,,,4991552.14,,155288,357492.3600000004,.,
,,,,,,,,,,,,,,,
Additional  Liquidations ,,,,,,,,EU0747.F,,5006.5,,,-5006.5,,
,,,,,,,,EY9876.F,,-5918.22,,,5918.22,-5918.22,
,,,,,,,,N63076.8,,798611.59,,,-798611.59,798611.59,offset Transcanada Pipelines Limited sale N63076.6
,,,,,,,,N63076.C,,195366.16,,,-195366.16,195366.16,offset Transcanada Pipelines Limited sale N63076.3
,,,,,,,,NK7871.1,,476.78,,,-476.78,476.78,
,,,,,,,,NV2336.2,,-10467.29,,,10467.29,-10467.29,
,,,,,,,,NV2336.3,,-8559,,,8559,-8559,
,,,,,,,,NS4710.1,,1080.043,,,-1080.043,1080.043,
,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,0,
,,,,,,,,,,975596.563,,,-975596.563,,
Total Variance Including Lone Liquidations,,,,,,,,,,5967148.703,,155288,-618104.2029999995,1311898.2029999995,
,,,,,,,,,,-0.0029999995604157448,,,,,
,,,,,,,,(1) matched on amounts only-not proven through Tagg/Sitara link,,,,,,,
