,,,,,,,,,,,,,,,,,,
,,May MID,,May,,May,Cinergy ,Cinergy ,TVA ,TVA ,Entergy ,Entergy ,,,,,,
,,ENTERGY,,Nymex Gas Swap,,Implied HR,May,May,May,May,May,May,,,,,,
,,,,,,Entergy,BID,OFFER,BID,OFFER,BID,OFFER,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,2001-04-27 00:00:00,68.25,,4.85,,14.07216494845361,60,62,60.75,62.25,66.5,68,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Sell  ENT/CINERGY :  ,,4.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Buy ENT/CINERGY:,,6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Sell  ENT/TVA :  ,,4.25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Buy ENT/TVA:,,7.25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,ENTERGY,,,,,,,Cinergy,,,,,
MAY POSITION,,,,,,open position,,,,,,,open position,,,,,
,Last Mark,,,2001-05-01 00:00:00,,-50,,,,Last Mark,2001-05-01 00:00:00,,50,,,,,
,85,,,2001-05-02 00:00:00,,-50,,,,80,2001-05-02 00:00:00,,50,,,,,
Today,,,,2001-05-03 00:00:00,,-50,,,Today,,2001-05-03 00:00:00,,50,,,,,
,,,,2001-05-04 00:00:00,,-50,,,,,2001-05-04 00:00:00,,50,,,,,
Curve Shift:,272000,,,2001-05-05 00:00:00,,0,,,Curve Shift:,16000,2001-05-05 00:00:00,,0,,,,,
,,,,2001-05-06 00:00:00,,0,,,,,2001-05-06 00:00:00,,0,,,,,
,,,,2001-05-07 00:00:00,,0,,,,,2001-05-07 00:00:00,,0,,,,,
,,,,2001-05-08 00:00:00,,0,,,,,2001-05-08 00:00:00,,0,,,,,
,,,,2001-05-09 00:00:00,,0,,,,,2001-05-09 00:00:00,,0,,,,,
,,,,2001-05-10 00:00:00,,0,,,,,2001-05-10 00:00:00,,0,,,,,
,,,,2001-05-11 00:00:00,,0,,,,,2001-05-11 00:00:00,,0,,,,,
,,,,2001-05-12 00:00:00,,0,,,,,2001-05-12 00:00:00,,0,,,,,
,,,,2001-05-13 00:00:00,,0,,,,,2001-05-13 00:00:00,,0,,,,,
,,,,2001-05-14 00:00:00,,0,,,,,2001-05-14 00:00:00,,0,,,,,
,,,,2001-05-15 00:00:00,,0,,,,,2001-05-15 00:00:00,,0,,,,,
,,,,2001-05-16 00:00:00,,0,,,,,2001-05-16 00:00:00,,0,,,,,
,,,,2001-05-17 00:00:00,,0,,,,,2001-05-17 00:00:00,,0,,,,,
,,,,2001-05-18 00:00:00,,0,,,,,2001-05-18 00:00:00,,0,,,,,
,,,,2001-05-19 00:00:00,,0,,,,,2001-05-19 00:00:00,,0,,,,,
,,,,2001-05-20 00:00:00,,0,,,,,2001-05-20 00:00:00,,0,,,,,
,,,,2001-05-21 00:00:00,,0,,,,,2001-05-21 00:00:00,,0,,,,,
,,,,2001-05-22 00:00:00,,0,,,,,2001-05-22 00:00:00,,0,,,,,
,,,,2001-05-23 00:00:00,,0,,,,,2001-05-23 00:00:00,,0,,,,,
,,,,2001-05-24 00:00:00,,0,,,,,2001-05-24 00:00:00,,0,,,,,
,,,,2001-05-25 00:00:00,,0,,,,,2001-05-25 00:00:00,,0,,,,,
,,,,2001-05-26 00:00:00,,0,,,,,2001-05-26 00:00:00,,0,,,,,
,,,,2001-05-27 00:00:00,,0,,,,,2001-05-27 00:00:00,,0,,,,,
,,,,2001-05-28 00:00:00,,0,Memorial Day,,,,2001-05-28 00:00:00,,0,Memorial Day,,,,
,,,,2001-05-29 00:00:00,,0,,,,,2001-05-29 00:00:00,,0,,,,,
,,,,2001-05-30 00:00:00,,0,,,,,2001-05-30 00:00:00,,0,,,,,
,,,,2001-05-31 00:00:00,,0,,,,,2001-05-31 00:00:00,,0,,,,,
,,,,,,-200,,,,,,,200,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Entergy,,TVA,,,Entergy,,TVA,,Entergy,,TVA,,,,,
,,,,,,,,,,,,,,,,Entergy,,TVA
,2000-05-01 00:00:00,32.86,25.37,,,2000-06-01 00:00:00,80.46,68.9,,,,,,,,,,
,2000-05-02 00:00:00,32.13,25.54,,,2000-06-02 00:00:00,68,61.93,,2000-07-03 00:00:00,69.43,70.64,,,2000-08-01 00:00:00,50.03,47.66,
,2000-05-03 00:00:00,31.77,27.24,,,2000-06-05 00:00:00,43.68,29.19,,2000-07-05 00:00:00,55.54,63.4,,,2000-08-02 00:00:00,48.85,47.31,
,2000-05-04 00:00:00,33.79,31.91,,,2000-06-06 00:00:00,39.23,24.85,,2000-07-06 00:00:00,52.58,43.62,,,2000-08-03 00:00:00,48.89,52.99,
,2000-05-05 00:00:00,50.62,53.93,,,2000-06-07 00:00:00,39.39,24.59,,2000-07-07 00:00:00,54.48,45.79,,,2000-08-04 00:00:00,48,46.7,
,2000-05-08 00:00:00,54.24,56.47,,,2000-06-08 00:00:00,47.36,30.47,,2000-07-10 00:00:00,98.92,98.67,,,2000-08-07 00:00:00,64.24,67.03,
,2000-05-09 00:00:00,139.65,104.63,,,2000-06-09 00:00:00,57.01,56.51,,2000-07-11 00:00:00,64.12,60.32,,,2000-08-08 00:00:00,94.41,100.88,
,2000-05-10 00:00:00,96.44,77.72,,,2000-06-12 00:00:00,67.46,70.09,,2000-07-12 00:00:00,68.58,61.72,,,2000-08-09 00:00:00,119.8,120.92,
,2000-05-11 00:00:00,58.39,48.72,,,2000-06-13 00:00:00,53.16,51.06,,2000-07-13 00:00:00,90.93,54.48,,,2000-08-10 00:00:00,84.29,72.95,
,2000-05-12 00:00:00,81.21,72.68,,,2000-06-14 00:00:00,52.67,48.93,,2000-07-14 00:00:00,81.21,52.57,,,2000-08-11 00:00:00,75.01,48.79,
,2000-05-15 00:00:00,44.69,33.4,,,2000-06-15 00:00:00,46.25,44.21,,2000-07-17 00:00:00,107.21,90.86,,,2000-08-14 00:00:00,84.36,64.22,
,2000-05-16 00:00:00,32.65,24.3,,,2000-06-16 00:00:00,44.07,45.11,,2000-07-18 00:00:00,164.61,104.99,,,2000-08-15 00:00:00,84.34,61.26,
,2000-05-17 00:00:00,33.54,27.07,,,2000-06-19 00:00:00,43.28,38.19,,2000-07-19 00:00:00,68.65,54.98,,,2000-08-16 00:00:00,63.27,50.03,
,2000-05-18 00:00:00,54.55,48.15,,,2000-06-20 00:00:00,43.4,37.16,,2000-07-20 00:00:00,54.98,38.71,,,2000-08-17 00:00:00,74.98,54.03,
,2000-05-19 00:00:00,49.35,40.73,,,2000-06-21 00:00:00,43.99,34.7,,2000-07-21 00:00:00,55.26,28.27,,,2000-08-18 00:00:00,88.17,52.96,
,2000-05-22 00:00:00,50.43,44.74,,,2000-06-22 00:00:00,52.55,45.47,,2000-07-24 00:00:00,53.43,28.54,,,2000-08-21 00:00:00,62.4,37.04,
,2000-05-23 00:00:00,51.13,43.28,,,2000-06-23 00:00:00,58.31,52.58,,2000-07-25 00:00:00,45.04,24.53,,,2000-08-22 00:00:00,53.83,32.31,
,2000-05-24 00:00:00,64.21,57.38,,,2000-06-26 00:00:00,52.09,52.55,,2000-07-26 00:00:00,41.92,24.21,,,2000-08-23 00:00:00,64.1,30.29,
,2000-05-25 00:00:00,52.67,40.86,,,2000-06-27 00:00:00,53.13,47.19,,2000-07-27 00:00:00,45.48,31.33,,,2000-08-24 00:00:00,60.24,37.36,
,2000-05-26 00:00:00,65.63,47.08,,,2000-06-28 00:00:00,47.84,33.45,,2000-07-28 00:00:00,49.47,43.63,,,2000-08-25 00:00:00,71.45,49.37,
,2000-05-30 00:00:00,58.65,35.4,,,2000-06-29 00:00:00,43.38,27.19,,2000-07-31 00:00:00,52.67,51.26,,,2000-08-28 00:00:00,78.39,61.66,
,2000-05-31 00:00:00,53.02,43.98,,,2000-06-30 00:00:00,42.73,24.51,,,68.72550000000001,53.62600000000001,15.099499999999999,,2000-08-29 00:00:00,109.07,74.15,
,,55.528181818181835,45.93545454545455,9.592727272727288,,,50.88363636363636,43.12863636363637,7.7549999999999955,,,,,,2000-08-30 00:00:00,77.41,59.2,
,,,,,,,,,,,,,,,2000-08-31 00:00:00,88.33,67.74,
,,,,,,,,,,,,,,,,74.71954545454545,58.599545454545456,16.119999999999997
