,CINERGY PEAK VOLS,,,
,Daily,Monthly,,
2001-10-01,1.05,0.46,,
2001-11-01,0.85,0.48,,
2001-12-01,0.8,0.52,,
2002-01-01,0.75,0.48,,
2002-02-01,0.75,0.48,,
2002-03-01,0.65,0.38,,
2002-04-01,0.65,0.38,,
2002-05-01,0.73,0.4,,
2002-06-01,0.77,0.39,,
2002-07-01,0.85,0.43,,
2002-08-01,0.85,0.43,,
2002-09-01,0.5,0.32,,
2002-10-01,0.5,0.32,,
2002-11-01,0.5,0.32,,
2002-12-01,0.5,0.33,,
2003-01-01,0.45,0.34,,
2003-02-01,0.45,0.34,,
2003-03-01,0.45,0.30000000000000004,,
2003-04-01,0.45,0.30000000000000004,,
2003-05-01,0.5,0.30000000000000004,,
2003-06-01,0.55,0.33,,
2003-07-01,0.61,0.36000000000000004,,
2003-08-01,0.61,0.36000000000000004,,
2003-09-01,0.35,0.28,,
2003-10-01,0.35,0.28,,
2003-11-01,0.35,0.28,,
2003-12-01,0.35,0.30000000000000004,,
2004-01-01,0.35,0.32,,
2004-02-01,0.35,0.32,,
2004-03-01,0.35,0.28,,
2004-04-01,0.35,0.28,,
2004-05-01,0.4,0.28,,
2004-06-01,0.45,0.31,,
2004-07-01,0.52,0.34,,
2004-08-01,0.52,0.34,,
2004-09-01,0.35,0.26,,
2004-10-01,0.35,0.26,,
2004-11-01,0.35,0.26,,
2004-12-01,0.35,0.28,,
2005-01-01,0.35,0.3,,
2005-02-01,0.35,0.3,,
2005-03-01,0.35,0.26,,
2005-04-01,0.35,0.26,,
2005-05-01,0.35,0.26,,
2005-06-01,0.4,0.29,,
2005-07-01,0.47,0.32,,
2005-08-01,0.47,0.32,,
2005-09-01,0.3,0.24,,
2005-10-01,0.3,0.24,,
2005-11-01,0.3,0.24,,
2005-12-01,0.3,0.26,,
2006-01-01,0.35000000000000003,0.28,0.07,Dailies as spread over monthlies
2006-02-01,0.35000000000000003,0.28,0.07,Monthly curves as spreads over FG
2006-03-01,0.27,0.24000000000000002,3.0,"NQ 2 vol over, HJKM 4 under, UXV 6 under, Z 4 under"
2006-04-01,0.27,0.24000000000000002,3.0,
2006-05-01,0.27,0.24000000000000002,3.0,
