,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Valuation date,2001-01-30 00:00:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Avg. Start Date,Avg. End Date,Curve ($/MWhr),Vol %,Years until averaging begins,Years until averaging ends,# of settle prices,Strike price ($/MWhr),Interest rate,Set days,Avg. Price to Date,Time to Expiry,Call/Put (1/0),Option Premium ($/MWhr),Total MWhrs,Total value
,2001-01-01 00:00:00,2001-01-31 00:00:00,39.08016129032258,1.6097283519311119,-0.07945205479452055,0.0027378507871321013,31,58,0.067,30,39.417833333333334,0.0027397260273972603,Call,,49600,
,,,,,,,,,,,,,,,,
,,,,A,B,,,,,,,,,,,
,Delivery date,MW,MWhrs,Market price,AXB,,Value summary,,,,,,,,,
,2001-01-01 00:00:00,200,1600,42.934999999999995,68695.99999999999,,Valuation as of ,,2001-01-30 00:00:00,,,,,,,
,2001-01-02 00:00:00,200,1600,45.65625,73050,,Valuation as of ,,2001-01-29 00:00:00,0,,,,,,
,2001-01-03 00:00:00,200,1600,42.957499999999996,68732,,Change in value,,,,,,,,,
,2001-01-04 00:00:00,200,1600,42.055,67288,,,,,,,,,,,
,2001-01-05 00:00:00,200,1600,42.345,67752,,Curve shift,,,,,,,,,
,2001-01-06 00:00:00,200,1600,40.91374999999999,65461.999999999985,,Theta,,,,,,,,,
,2001-01-07 00:00:00,200,1600,39.63000000000001,63408.000000000015,,Vol,,,,,,,,,
,2001-01-08 00:00:00,200,1600,45.095,72152,,Set days,,,,,,,,,
,2001-01-09 00:00:00,200,1600,44.455,71128,,2nd order,,,,,,,,,
,2001-01-10 00:00:00,200,1600,44.47624999999999,71161.99999999999,,Total change,,,,,,,,,
,2001-01-11 00:00:00,200,1600,41.46875,66350,,,,,,,,,,,
,2001-01-12 00:00:00,200,1600,41.885000000000005,67016.00000000001,,,,,,,,,,,
,2001-01-13 00:00:00,200,1600,39.78124999999999,63649.999999999985,,,,,,,,,,,
,2001-01-14 00:00:00,200,1600,40.808749999999996,65293.99999999999,,,,,,,,,,,
,2001-01-15 00:00:00,200,1600,41.34125,66146,,,,,,,,,,,
,2001-01-16 00:00:00,200,1600,41.47,66352,,,,,,,,,,,
,2001-01-17 00:00:00,200,1600,40.824999999999996,65319.99999999999,,,,,,,,,,,
,2001-01-18 00:00:00,200,1600,39.79875,63678,,,,,,,,,,,
,2001-01-19 00:00:00,200,1600,32.120000000000005,51392.00000000001,,,,,,,,,,,
,2001-01-20 00:00:00,200,1600,37.5,60000,,,,,,,,,,,
,2001-01-21 00:00:00,200,1600,38.307500000000005,61292.00000000001,,,,,,,,,,,
,2001-01-22 00:00:00,200,1600,37.0525,59284,,,,,,,,,,,
,2001-01-23 00:00:00,200,1600,35.79125,57266,,,,,,,,,,,
,2001-01-24 00:00:00,200,1600,35.66,57055.99999999999,,,,,,,,,,,
,2001-01-25 00:00:00,200,1600,38.81125,62098,,,,,,,,,,,
,2001-01-26 00:00:00,200,1600,37.4775,59964,,,,,,,,,,,
,2001-01-27 00:00:00,200,1600,30.903750000000002,49446,,,,,,,,,,,
,2001-01-28 00:00:00,200,1600,30.95125,49522,,,,,,,,,,,
,2001-01-29 00:00:00,200,1600,35.12625,56202,,,,,,,,,,,
,2001-01-30 00:00:00,200,1600,34.93625,55898,,,,,,,,,,,
,2001-01-31 00:00:00,200,1600,28.95,46320,,,,,,,,,,,
,,,49600,39.08016129032258,1938376,,,,,,,,,,,
