,M E D I U M L O A D S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002 RATE FILING: 02/07/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001- 2 OPERATING YEAR RUN DATE: 02/08/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENERGY IN AVERAGE MEGAWATTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY2002,FY2003,FY2004,FY2005,FY2006,5-yr Avg,,2001-10-01 00:00:00,2001-11-01 00:00:00,2001-12-01 00:00:00,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00,2003-01-01 00:00:00,2003-02-01 00:00:00,2003-03-01 00:00:00,2003-04-01 00:00:00,2003-05-01 00:00:00,2003-06-01 00:00:00,2003-07-01 00:00:00,2003-08-01 00:00:00,2003-09-01 00:00:00,2003-10-01 00:00:00,2003-11-01 00:00:00,2003-12-01 00:00:00,2004-01-01 00:00:00,2004-02-01 00:00:00,2004-03-01 00:00:00,2004-04-01 00:00:00,2004-05-01 00:00:00,2004-06-01 00:00:00,2004-07-01 00:00:00,2004-08-01 00:00:00,2004-09-01 00:00:00,2004-10-01 00:00:00,2004-11-01 00:00:00,2004-12-01 00:00:00,2005-01-01 00:00:00,2005-02-01 00:00:00,2005-03-01 00:00:00,2005-04-01 00:00:00,2005-05-01 00:00:00,2005-06-01 00:00:00,2005-07-01 00:00:00,2005-08-01 00:00:00,2005-09-01 00:00:00,2005-10-01 00:00:00,2005-11-01 00:00:00,2005-12-01 00:00:00,2006-01-01 00:00:00,2006-02-01 00:00:00,2006-03-01 00:00:00,2006-04-01 00:00:00,2006-05-01 00:00:00,2006-06-01 00:00:00,2006-07-01 00:00:00,2006-08-01 00:00:00,2006-09-01 00:00:00
,UTILITY TRANSFERS OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,EXPORTS 2/,1525.7916666666667,1519.5416666666667,1406.9583333333333,1336.9583333333333,1298.7916666666667,1417.6083333333333,,1425,1316,1338,1529,1531,1462,1446.5,1533,1707,1709,1649,1664,1594,1486,1510,1291,1291,1222,1448.5,1535,1753,1745,1671,1688,1617,1512,1530,1311,1311,1242,1225.5,1313,1522,1524,1380,1396,1335,1304,1325,1311,1313,1242,1226.5,1314,1447,1449,1381,1396,1334,1305,1326,1261,1262,1191,1174.5,1262,1396,1399,1330,1345
10.0,CONTRACTS OUT 3/,1583,1513.3333333333333,1479.2916666666667,1484.7916666666667,1390.125,1490.1083333333333,,1393,1719,1867,1860,1795,1583,1538,1417,1490,1528,1460,1346,1394,1724,1873,1794,1729,1517,1436,1315,1379,1416,1348,1235,1282,1612,1762,1759,1694,1481,1442.5,1321,1384,1421,1353,1240,1287,1618,1767,1764,1700,1486,1447.5,1326,1390,1427,1359,1246,1293,1623,1773,1673,1609,1396,1306.5,1185,1249,1286,1204,1084
11.0,CSPE TO WEST GROUP UTIL 4/,93.5,51.083333333333336,0,0,0,28.916666666666668,,95,95,95,95,95,95,92,92,92,92,92,92,92,92,92,92,92,92,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,GEN PUB AGEN PSC PURCH 5/,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,IOU PSC PURCHASE 6/,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,PUBLIC SALES POST-2001,4142.916666666667,4234.083333333333,4359.583333333333,4427,4615.416666666667,4355.8,,3574,4128,5104,5978,6126,5075,4648,3081,2515,2397,3060,4029,3634,4190,5173,6038,6193,5133,4772,3189,2635,2520,3182,4150,3763,4328,5317,6230,6270,5330,5037,3182,2727,2615,3272,4244,3841,4414,5413,6279,6442,5378,5087,3216,2761,2662,3338,4293,3889,4576,5598,6474,6637,5515,5127,3551,2993,2873,3588,4564
15.0,USBR SALES POST-2001,67.41666666666667,67.41666666666667,67.41666666666667,67.41666666666667,67.41666666666667,67.41666666666667,,42,2,2,2,2,4,49,117,151,168,161,109,42,2,2,2,2,4,49,117,151,168,161,109,42,2,2,2,2,4,49,117,151,168,161,109,42,2,2,2,2,4,49,117,151,168,161,109,42,2,2,2,2,4,49,117,151,168,161,109
16.0,IOU SALES POST-2001,1000,1000,1000,1000,1000,1000,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
17.0,DSI SALES POST-2001,990,990,990,990,990,990,,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990
18.0,FED DIVERSITY 7/,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,FIRM LOADS,9402.625,9375.458333333334,9303.25,9306.166666666666,9361.75,9349.85,,8519,9250,10396,11454,11539,10209,9763.5,8230,7945,7884,8412,9230,8746,9484,10640,11207,11297,9958,9695.5,8146,7908,7900,8352,9172,8694,9444,10601,11292,11267,10047,9744,7923,7774,7718,8156,8979,8495,9328,10497,11346,11447,10100,9800,7963,7739,7696,8229,9034,8548,9496,10689,11400,11500,10096,9647,8105,7779,7716,8273,9092
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HYDRO RESOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,REGULATED HYDRO,6231.125,6238.875,6246.208333333333,6253.791666666667,6261.291666666667,6246.258333333333,,6108,5945,7147,5857,6299,5118,5097,7687,6286,7043,6410.5,5776,6115,5953,7156,5867,6305,5124,5105.5,7697,6293,7049,6419,5783,6122,5961,7165,5877,6311,5129,5114,7705,6300,7055,6426.5,5789,6129,5970,7174,5887,6317,5135,5122,7713,6307,7060,6435.5,5796,6136,5978,7184,5896,6322,5141,5130.5,7723,6314,7065,6444,5802
21.0,INDEPENDENT HYDRO,394.0416666666667,394.0416666666667,394.0416666666667,394.0416666666667,394.0416666666667,394.0416666666667,,384,304,236,175,195,273,472.5,707,741,445,430,366,384,304,236,175,195,273,472.5,707,741,445,430,366,384,304,236,175,195,273,472.5,707,741,445,430,366,384,304,236,175,195,273,472.5,707,741,445,430,366,384,304,236,175,195,273,472.5,707,741,445,430,366
22.0,SUS. PKNG. ADJUSTMENT 8/,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,CAN. ENT. NON-FED(CSPE) 9/,21,11.666666666666666,0,0,0,6.533333333333333,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,CAN. ENT. NON-FED(CNDA) 10/,79.5,111,146.5,147.33333333333334,144,125.66666666666667,,80,80,80,80,80,80,79,79,79,79,79,79,79,79,79,79,79,79,143,143,143,143,143,143,143,143,143,143,143,143,150,150,150,150,150,150,150,150,150,150,150,150,145,145,145,145,144,144,144,144,144,144,144,144,144,144,144,144,144,144
25.0,RESTORATION 11/,-26,-26,-26,-26,-26,-26,,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26
26.0,TOTAL HYDRO,6699.666666666667,6729.583333333333,6760.75,6769.166666666667,6773.333333333333,6746.5,,6567,6324,7458,6107,6569,5466,5643.5,8468,7101,7562,6914.5,6216,6573,6331,7466,6116,6574,5471,5695,8521,7151,7625,6966,6266,6623,6382,7518,6169,6623,5519,5710.5,8536,7165,7624,6980.5,6279,6637,6398,7534,6186,6636,5532,5713.5,8539,7167,7624,6983.5,6280,6638,6400,7538,6189,6635,5532,5721,8548,7173,7628,6992,6286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTHER RESOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,SMALL THERMAL & MISC,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,COMBUSTION TURBINES,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,RENEWABLES 12/,28.916666666666668,28.916666666666668,28.916666666666668,28.916666666666668,28.916666666666668,28.916666666666668,,28,29,31,32,31,31,30,27,27,27,27,27,28,29,31,32,31,31,30,27,27,27,27,27,28,29,31,32,31,31,30,27,27,27,27,27,28,29,31,32,31,31,30,27,27,27,27,27,28,29,31,32,31,31,30,27,27,27,27,27
30.0,COGENERATION,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,IMPORTS 13/,218.625,218.625,204.125,183.20833333333334,183.20833333333334,201.55833333333334,,255,255,310,284,240,203,188.5,82,174,205,197,230,255,255,310,284,240,203,188.5,82,174,205,197,230,255,255,310,284,240,203,188.5,82,174,205,110,143,180,248,303,277,233,203,188.5,82,100,131,110,143,180,248,303,277,233,203,188.5,82,100,131,110,143
32.0,CONTRACTS IN 14/,403.5,380,359,359,359,372.1,,434,434,434,434,434,434,429,317,429,317,317,429,429,429,429,429,429,429,387,275,387,275,275,387,387,387,387,387,387,387,387,275,387,275,275,387,387,387,387,387,387,387,387,275,387,275,275,387,387,387,387,387,387,387,387,275,387,275,275,387
33.0,LARGE THERMAL 15/,1000,875,1000,875,1000,950,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
34.0,NON-UTILITY GENERATION 16/,15.666666666666666,43.166666666666664,45.583333333333336,45.583333333333336,45.583333333333336,39.11666666666667,,13,16,19,19,19,17,16,15,16,13,12,13,13,47,50,50,49,48,46,37,47,44,43,44,42,47,50,50,49,48,46,37,47,44,43,44,42,47,50,50,49,48,46,37,47,44,43,44,42,47,50,50,49,48,46,37,47,44,43,44
35.0,RESOURCE ACQUISITIONS 17/,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
