Case / Topic,Docket Number,Initial Filing Date,Proposal / Complaint / Motion / Issues Raised,Enron's Positions,Next Agency Action Date,Next Enron Action Date,Update,Date Updated,Government Affairs Contact,Document Link
CAISO Board - Amendment 31,ER00-3623-000,,Remove termination date of price cap authority.,"Opposed caps, Opposed ISO prohibiting exports w/out paying cost of cover",See F4,See G4,See H4 - FERC rejected the proposal.  FERC conference held 11/9/00,2000-11-15 00:00:00,Mary Hain & Sue Mara,
CAISO Board - Amendment 30 ,ER00-3636-000,,Clarify ISO's authority to contract w/out first soliciting a bid (assumes authority to forward contract).  Asks to allocate costs of forward contracts to SCs who deviate in real time from schedules.,Opposed,No required action data,,Protests filed - pending Commission action,,Mary Hain & Sue Mara,
SDG&E Complaint / FERC Investigation Into Bulk Energy Markets,EL00-95-000 and EL00-98-000 (Consolidated),,Section 206 investigation to assess whether prices charged in the California market were just and reasonable.,EPMI submitted a White Paper to FERC,2000-12-31 00:00:00,Comments Due 11/22 - See Post Hearing Questions Document Link,FERC Order Proposal Issued 11/1/00:  Eliminates IOU requirement to sell/buy all power into the PX; requires mkt participants to schedl 95% of their transactions in the day-ahead mkt or be penalized; bids above $150 cannot set mkt clearing prices; requires both boards to disban within 90 days and establish independent boards; requires establishment of generation interconnection procedures; develop market rules and congestion management proposals.  Overturned load differentiated price caps. FERC conference held 11/9/00,2000-11-17 00:00:00,Mary Hain & Sue Mara,Chairman Hoecker's Post Hearing Questions
Electricity Oversight Board Investigation of Electricity Markets,,,,,,,EOB did not approve non-stakeholders to Board.,,,
Electricity Oversight Board FERC Complaint,EL00-104-000,,EOB has asked FERC to implement price caps of $250/MWh plus $100 for replacement reserves,,No required action data,,,2000-11-07 00:00:00,Mary Hain & Sue Mara,
CAPX Board ,ER00-3461-000,,Amendment No.19 - price cap of $350/MWh in PX markets coterminus w/ISO price cap.  Board could change cap in response to ISO or market w/out filing.  Proposed effective date 10/22.,Opposed,See F4,See G4,See H4 - FERC rejected the proposal.  FERC conference held 11/9/00,2000-11-15 00:00:00,,
CMUA Complaint ,EL01-1-000,,Requests cost-based rates until investment is made and markets shown to be workably competitive.  Moves to consolidate w/ FERC's Cal investigation EOB case and California public meeting docket,Opposed,,,"Comments filed, pending commission action",2000-11-15 00:00:00,Mary Hain & Sue Mara,
CARE Complaint,EL01-2-000,,"Rectify unjust and unreasonable rates.  Find investigations of black-outs by Justice Department is warranted: (1) Restraint of trade, (2) civil rights violations, (3) injury loss of life disability or hospitalization.",Opposed,,,"Comments filed, pending commission action",2000-11-15 00:00:00,Mary Hain & Sue Mara,
CAISO CEO Settlement,EL00-95-000 and EL00-98-000 (Consolidated),2000-11-20 00:00:00,"Filed a Settlement Proposal at FERC after 11/1 meeting and before 11/9 conference - among principals empowered to accept a settlement or objections and suggested modifications.  Generators should bid 70 % into forward markets (exceptions for out of state renewables, and  under 50 MW)",Asked commission to allow us to file comments after 11/1 order.,See F4,See G4,See H4 - FERC rejected the proposal.  Commission allowed ISO to renew their proposal in their 11/22 comments.,2000-11-15 00:00:00,Mary Hain & Sue Mara,
CPUC Investigation of Electricity Markets,,,CAPX and CAISO provided information to CPUC for its investigation,,,,,,,
CPUC Annual Transition Cost Proceeding,,,"This is the proceeding that sets the recovery rates for on-going (PPA, QF, Nuke) CTCs for San Diego.  This proceeding will also address the reasonableness of SDG&E's purchases over the summer.Secondly, SDG&E has proposed a higher-than-anticipated rate for ongoing CTCs, that will produce an expected overcollection at the end of the year.  SDG&E has proposed to use the overcollection from ongoing CTCs, which are collected from all customers, to offset its undercollections of the electricity procurement rate cap that was passed by the legislature last September.  Such an allocation will negatively affect our retail deals who do not benefit from the rate cap.   "," On reasonableness, the coalition in which we participate, ARM, Alliance for Retail Markets, will be monitoring, as any disallowance will affect our retail deals in SDG&E's service territory.  We would oppose the cross-subsidy.",,,,2000-11-09 00:00:00,Mona Petrochko,
