,,,,,,,,,
"After hours Friday, Weekend and to Monday's close",,,,,,,,,
Transaction ID,Transaction Time,Product Name,sells,buys,Price,Risk Book,Deal ID,Begin Date,End Date
2226180,2001-11-17 11:57:30,US Gas Swap      Nymex                   Dec01           USD/MM,,10000,2.595,NG-Price,YK1924.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2226335,2001-11-17 15:03:31,US Gas Swap      Nymex                   Dec01           USD/MM,,10000,2.635,NG-Price,YK2508.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2226340,2001-11-17 17:40:05,US Gas Swap      Nymex                   Dec01           USD/MM,,10000,2.625,NG-Price,YK2022.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2226343,2001-11-17 18:15:49,US Gas Swap      Nymex                   Dec01           USD/MM,,10000,2.615,NG-Price,YK2498.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2226350,2001-11-17 20:50:32,US Gas Swap      Nymex                   Dec01           USD/MM,,10000,2.605,NG-Price,YK2494.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2226746,2001-11-18 12:42:15,US Gas Swap      Nymex                   Dec01           USD/MM,,5000,2.585,NG-Price,YK2441.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2226748,2001-11-18 13:07:10,US Gas Swap      Nymex                   Dec01           USD/MM,,5000,2.585,NG-Price,YK2440.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2226755,2001-11-18 13:14:54,US Gas Swap      Nymex                   Dec01           USD/MM,,10000,2.575,NG-Price,YK2437.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2226797,2001-11-18 14:14:54,US Gas Swap      Nymex                   Dec01           USD/MM,,10000,2.565,NG-Price,YK2409.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2226822,2001-11-18 16:04:09,US Gas Swap      Nymex                   Dec01           USD/MM,,10000,2.555,NG-Price,YK2383.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2226873,2001-11-18 19:43:43,US Gas Swap      Nymex                   Dec01           USD/MM,,10000,2.545,NG-Price,YK2338.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2226891,2001-11-18 21:26:45,US Gas Swap      Nymex                   Dec01           USD/MM,,10000,2.535,NG-Price,YK2165.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2227735,2001-11-19 06:51:30,US Gas Swap      Nymex                   Dec01           USD/MM,,10000,2.525,NG-Price,YK2060.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2227751,2001-11-19 06:53:19,US Gas Swap      Nymex                   Dec01           USD/MM,,5000,2.525,NG-Price,YK2023.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2228097,2001-11-19 07:44:42,US Gas Swap      Nymex                   Dec01           USD/MM,20000,,2.54,NG-Price,YK2025.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2228453,2001-11-19 08:03:22,US Gas Swap      Nymex                   Dec01           USD/MM,20000,,2.535,NG-Price,YK2255.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2228488,2001-11-19 08:04:31,US Gas Swap      Nymex                   Dec01           USD/MM,20000,,2.525,NG-Price,YK2266.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2228520,2001-11-19 08:05:02,US Gas Swap      Nymex                   Dec01           USD/MM,12500,,2.515,NG-Price,YK2282.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2228525,2001-11-19 08:05:09,US Gas Swap      Nymex                   Dec01           USD/MM,20000,,2.51,NG-Price,YK2283.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2228568,2001-11-19 08:05:54,US Gas Swap      Nymex                   Dec01           USD/MM,20000,,2.515,NG-Price,YK2297.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2228610,2001-11-19 08:06:39,US Gas Swap      Nymex                   Dec01           USD/MM,12500,,2.52,NG-Price,YK2318.1,2001-12-01 21:00:00,2001-12-31 21:00:00
2228774,2001-11-19 08:11:05,US Gas Swap      Nymex                   Dec01           USD/MM,20000,,2.51,NG-Price,YK2553.1,2001-12-01 21:00:00,2001-12-31 21:00:00
