EPMI  ,May,2002,May 24 2002 12:57PM,,,,,,
Product,SPFS,,,,,,,,
SubProduct,BOOKO,MO   ,,,,NODEL,,,
Contract,01PB-24445,00PB-23273,00PB-23274,99PB-21892,99PB-21896,00PB-23274,,,
COBH Flag,,,,,,,,,
Est Price Flag,,,,,,,,,
Rate,27.25,27.25,27.64,25.35,24.75,27.64,DAY MWH,TOTAL$$,
1,800,1200,1200,600,320,,4120,110798,
2,800,1200,1200,600,600,,4400,117728,
3,800,1200,1200,600,600,,4400,117728,
4,800,1200,1200,600,600,,4400,117728,
5,,1200,1200,600,600,,3600,95928,
6,800,1200,1200,600,600,,4400,117728,
7,800,1200,1200,600,600,,4400,117728,
8,800,1200,1200,600,600,,4400,117728,
9,800,1200,1200,600,600,,4400,117728,
10,800,1200,1175,600,600,25,4400,117728,
11,800,1200,1200,600,600,,4400,117728,
12,,1200,1200,600,600,,3600,95928,
13,800,1200,1200,600,600,,4400,117728,
14,800,1200,1200,600,600,,4400,117728,
15,800,1200,1200,600,600,,4400,117728,
16,800,1200,1200,600,600,,4400,117728,
17,800,1200,940,549,600,,4089,109248.75,Contract 21892 cut on Real Time
18,800,1200,1200,600,600,,4400,117728,
19,,1200,1200,600,600,,3600,95928,
20,800,1200,1200,600,600,,4400,117728,
21,800,1200,1200,600,600,,4400,117728,
22,800,1200,1200,600,600,,4400,117728,
TOTALS,15200,26400,26115,13149,12920,25,93809,2509206.75,
