Date,NMSJ.ELP.NONBONDAD(MidPoint),PB.ELP(MidPoint),,,
1999-04-17 00:00:00,1.94,2,,,0.06000000000000005
1999-04-18 00:00:00,1.94,2,,,0.06000000000000005
1999-04-19 00:00:00,1.94,2,,,0.06000000000000005
1999-04-20 00:00:00,1.905,1.965,,,0.06000000000000005
1999-04-21 00:00:00,1.965,2.015,,,0.050000000000000044
1999-04-22 00:00:00,1.955,2.005,,,0.04999999999999982
1999-04-23 00:00:00,2.02,2.065,,,0.04499999999999993
1999-04-24 00:00:00,1.985,2.055,,,0.07000000000000006
1999-04-25 00:00:00,1.985,2.055,,,0.07000000000000006
1999-04-26 00:00:00,1.985,2.055,,,0.07000000000000006
1999-04-27 00:00:00,1.97,2.035,,,0.06500000000000017
1999-04-28 00:00:00,2.07,2.145,,,0.07500000000000018
1999-04-29 00:00:00,2.06,2.14,,,0.08000000000000007
1999-04-30 00:00:00,2.085,2.18,,,0.0950000000000002
1999-05-01 00:00:00,1.8,2.05,,,0.24999999999999978
1999-05-02 00:00:00,1.8,2.05,,,0.24999999999999978
1999-05-03 00:00:00,1.8,2.05,,,0.24999999999999978
1999-05-04 00:00:00,1.92,2.04,,,0.1200000000000001
1999-05-05 00:00:00,1.955,2.13,,,0.17499999999999982
1999-05-06 00:00:00,2.06,2.21,,,0.1499999999999999
1999-05-07 00:00:00,2.02,2.18,,,0.16000000000000014
1999-05-08 00:00:00,1.855,2.07,,,0.21499999999999986
1999-05-09 00:00:00,1.855,2.07,,,0.21499999999999986
1999-05-10 00:00:00,1.855,2.07,,,0.21499999999999986
1999-05-11 00:00:00,2.025,2.105,,,0.08000000000000007
1999-05-12 00:00:00,2.125,2.16,,,0.03500000000000014
1999-05-13 00:00:00,2.045,2.085,,,0.040000000000000036
1999-05-14 00:00:00,2.01,2.08,,,0.07000000000000028
1999-05-15 00:00:00,2.045,2.16,,,0.11500000000000021
1999-05-16 00:00:00,2.045,2.16,,,0.11500000000000021
1999-05-17 00:00:00,2.045,2.16,,,0.11500000000000021
1999-05-18 00:00:00,2.085,2.185,,,0.10000000000000009
1999-05-19 00:00:00,2.11,2.185,,,0.07500000000000018
1999-05-20 00:00:00,2.085,2.15,,,0.06499999999999995
1999-05-21 00:00:00,2.075,2.155,,,0.07999999999999963
