counterparty,erating,parent_counterparty,enron_entity,fmtm,pmtm,sum
Mahonia Ltd,2,The 600 Group PLC,Enron North America Corp.,-288650093,-126906002,-415556095
"Dominion Exploration & Production, Inc.",4,Dominion Resources Inc.,Enron North America Corp.,-234798502,0,-234798502
Dynegy Canada Inc.,4,Dynegy Inc.,Enron North America Corp.,-142398290,68221,-142330069
American Public Energy Agency,9,American Public Energy Agency,Enron North America Corp.,14014099,-116892582,-102878483
TransCanada Pipelines Limited,3,TransCanada Pipelines Limited,Enron North America Corp.,0,-65934369,-65934369
Hess Energy Trading Company LLC,4,Amerada Hess Corporation,Enron North America Corp.,-41723293,0,-41723293
Phibro Inc.,3,Citigroup Inc.,Enron North America Corp.,-38702485,64813,-38637672
"Mariner Energy, Inc.",9,Enron Corp.,Enron North America Corp.,-25147089,0,-25147089
Amerada Hess Corporation,4,Amerada Hess Corporation,Enron North America Corp.,-23538705,4262,-23534443
Vitro Corporativo S.A. de C.V.,7,Compagnie de Saint-Gobain SA,Enron North America Corp.,-19408814,0,-19408814
"PG&E Gas Transmission, Northwest Corporation",3,PG&E Corporation,Enron North America Corp.,0,-13458623,-13458623
Contour Energy Co.,11,Contour Energy Co.,Enron North America Corp.,-13325995,0,-13325995
"El Paso Merchant Energy, L.P.",4,El Paso Corporation,Enron North America Corp.,0,-10802183,-10802183
Callon Petroleum Company,9,Callon Petroleum Company,Enron North America Corp.,-10524679,0,-10524679
"Vernon E. Faulconer, Inc.",9,Vernon E. Faulconer,Enron North America Corp.,-10307795,0,-10307795
Deutsche Bank AG,2,Deutsche Bank AG,Enron North America Corp.,-10257682,0,-10257682
"Cargill, Incorporated",2,"Cargill, Incorporated",Enron North America Corp.,-9630716,0,-9630716
Morgan Stanley Capital Group Inc.,2,Morgan Stanley Dean Witter & Co.,Enron North America Corp.,-9073329,589645,-8483684
"Las Vegas Cogeneration, LP",9,Enron Corp.,Enron North America Corp.,-7667235,0,-7667235
Peoples Energy Corporation,2,Peoples Energy Corporation,Enron North America Corp.,-7097250,0,-7097250
Pacific Gas & Electric Company,12,PG&E Corporation,Enron North America Corp.,0,-7034495,-7034495
"Tubos de Acero de Mexico, S.A.",7,"Tubos de Acero de Mexico, S.A.",Enron North America Corp.,-6538662,0,-6538662
"Grupo Industrial Saltillo, S.A. de C.V.",6,"Grupo Industrial Saltillo, S.A. de C.V.",Enron North America Corp.,-5998186,0,-5998186
"Clayton Williams Energy, Inc.",9,"Clayton Williams Energy, Inc.",Enron North America Corp.,-5931612,0,-5931612
EnerVest Energy L.P.,7,"Enervest Management Partners, Ltd.",Enron North America Corp.,-5683088,0,-5683088
Patina Oil & Gas Corporation,7,Patina Oil & Gas Corporation,Enron North America Corp.,-5668982,0,-5668982
KN Gas Gathering Inc.,5,"Kinder Morgan, Inc.",Enron North America Corp.,0,-5534164,-5534164
