Counter Party,P&L
AESEASENE,-393377.9588
AESNEWENE,12369855.3141
AIGENETRA,216404.036
AIGHIGCAP,-518287.5742
AIRPROD,1055872.1848
ALCOAPOWGEN,2326460.8713
ALLEGHENENESUP,-18391130.5827
ALLIANTENECORP,1461936.5808
AMERADA,-18296.8072
AMERELECPOWSER,-124926258.4895
AMERENAGENT,2441238.8277000003
ANA,3588969.9876
ANPMARCOM,-1041819.6043
APS,436362.4382
AQUILA,16438260.99
AQUILA RISK,-8870902.3466
ASHGROCEM,3608096.58
ATLANTICRICH,32531.045
AUSTINCITY,1350333.5505
AUTOMATEPOWEXC,0
AVISTAENE,20572824.4637
AVISTAUTIWASH,3518493.4226
AZUSACITYOF,5882966.5316
BECO,572312.9099
BENTONCOUPUB,0
BPA,379554027.4463
BPCORNORAME,233649.7349
BPENERGYCO,49034115.9559
BURBANKCIT,2060879.2174
CALIFORNENERES,231726.5057
CALPINEENESER,-112256269.2801
CARGILL,-36150.405
CARGILLALLLLC,208445.945
CAROLINA,1806885.6517
CASHV,-72339676.6029
CCO-ENPOWER-PRC,675384.5868
CENTRALHUDSON,1437006.761
CENTRALILLLIGCO,31297667.7192
CENTRALMAINPOW,16813930.2178
CHELAN,1566306.408
CINERGYSERINC,28484210.6102
CITIZENSCOMCOM,94050.7529
CITY OF MESA,-2946768.198
CITYBAN,732504.5063
CITYBRYAN,0
CITYRIVERSIDE,16348609.3724
CITYROS,24299017.2832
CITYSHALAK,15950947.5146
CLATSKANPEOUTI,5026691.4468
CLECOMARAND,-800050.2665
CMSMARSERTRA,19682655.8122
CNCCONCOR,281621.1704
COLORADOSPRUTI,-4712681.5217
CONAGRTRAGROINC,461476.9167
CONECTIVENESUP,9533169.4291
CONEXANTSYS I,533195.8354
CONNECTICUTLIGP,-1186824.5044
CONNECTIMUNELE,244378.6103
CONNECTIRESREC,-231478071.9921
CONOCOGASAND,516733.154
CONSOLIDEDIENE,882844.8204
CONSTELLPOWSOU,0
CORALENEHOL,-436682.6943
CORALPOWLLC,15724279.6623
CRC,32679415.2238
DAVISWIRCOR,7210.8643
DAYTON_P&L,-1345112.4158
DESERETGENTRAN,-4975386.0674
DETROITEDICOM,9304839.8465
DTEENETRA,-1384596.7636000002
DUKEENETRA,-406908171.94920003
DYNEGYMARAND,-15443045.8833
DYNEGYPOWMAR,185042163.2221
EASTTEXELE,38962.4885
ECTCOA,-333400.5532
EDISONMISMAR,-549088.0169
ELECTRICDISNUM,-468834.4273
ELPASELECOM,20467682.6191
ELPASOMERLP,172318307.92150003
ENA-CAL,670106.122
ENERGYAUT,0
ENERGYUSA,4919289.086300001
ENGAGEENEAME,-3315319.9418
ENGAGEENECAN,-581158.9166
ENRONENEMAR,264095.21
ENRONENESERINC,176664196.6209
ENRONWINCOR,-83525.1075
ENTERGYKOCTRA,23489229.2148
ENTERGYSVC,1196140.1214
EPMI-LT-CALI,722849.1867
EPMI-LT-MGMT,-458136.8293
EPMI-LT-NW,-264712.3574
EPMI-LT-WHALW,-1490764.2813
EPMI-LT-WNAMGMT,0
EPMI-MDEA-SVCE,0
