Customer,Primary Lead
,
Advanced Aromatics,Papayoti
Air Liquide,Papayoti
Air Products,Papayoti
Akzo Chemicals ,Lamphier
Albemarle,Lamphier
Alcoa,Lamphier
Amerada Hess,Lamphier
Ameripol Synpol,Lamphier
Amoco - Refinery & Chemical,Lamphier
Aristech,Papayoti
Baroid Technology,Lamphier
BASF,Papayoti
BASF-FINA Petrochemicals LP,Papayoti
Bayer,Papayoti
Beaumont Methanol,Papayoti
BP Chemical,Lamphier
Calgon,Lamphier
Catalyst Resources,Papayoti
Celanese,Papayoti
Cerrito,Lamphier
"Chemicals, Inc.",Papayoti
Chevron Chemical,Papayoti
Chusei,Lamphier
Citgo,Lamphier
Clark Refining,Papayoti
Coastal Refining,Papayoti
Crown Central,Lamphier
Destec,Lamphier
Diamond Shamrock,Lamphier
Dianal Americas,Papayoti
Dixie Chemical,Lamphier
Donohue Industries Inc.,Lamphier
Dow,Lamphier
DuPont/Brandywine,Papayoti
Enichem Elastomers,Papayoti
Enron Methanol,Papayoti
Enron MTBE (EGP Fuels),Papayoti
Enterprise,Lamphier
Equistar,Papayoti
Eurecat,Lamphier
Exxon,Lamphier
Fina,Papayoti
Formosa,Lamphier
Geon,Papayoti
Georgia Gulf,Lamphier
Global Octanes,Papayoti
Goodyear,Papayoti
Griffin,Lamphier
Gulf Coast Fractionators,Papayoti
Haldor-Topsoe,Lamphier
Hampshire Chemical,Papayoti
Huntsman,Lamphier
Javelina,Papayoti
Kaneka Texas,Lamphier
KMCO,Lamphier
LaRoche Vitamins,Papayoti
Liquid Carbonics,Papayoti
Lonza,Papayoti
Louisiana Pacific,Papayoti
Lubrizol,Papayoti
Lyondell - Bayport,Papayoti
Lyondell - Citgo,Lamphier
Marathon Oil,Lamphier
McNic,Lamphier
Mercado Gas Services,Lamphier
Mobil,Papayoti
Nalco ,Lamphier
Nisseki,Lamphier
Nova Molecular,Lamphier
Olin,Papayoti
OxyChem,Papayoti
Petrolite,Lamphier
Phillips,Lamphier
Praxair,Papayoti
Reynolds Metals,Papayoti
Rhodia Inc.,Lamphier
Rohm & Haas,Lamphier
Schenectady,Lamphier
Seminole Pipeline,Lamphier
Shell ,Lamphier
Shintech,Lamphier
Solvay Polymers,Lamphier
Southern Ionic,Lamphier
Sterling Chemicals,Lamphier
Temple-Inland,Lamphier
Texas Industries,Papayoti
Union Carbide,Papayoti
United Salt,Lamphier
Valero Refining,Lamphier
Velsicol,Lamphier
Wyman-Gordon Forging,Papayoti
Zeneca,Lamphier
