,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENRON ENERGY SERVICES,,,,,,,,,,,
,,,,,,,,,,,,NATURAL GAS BASIS POSITIONS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,2000-08-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,West Region Basis Notional,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Prompt Month,,Rest of Summer 2000,,Winter 2000-2001,,Summer 2001,,Remainder,,Total,
,,,,,,,,,,,,2000-09-01 00:00:00,,Oct-00/Nov-00,,Dec-00/Apr-01,,May-01/Nov-01,,Dec-01/Nov-17,,,
,West Region Basis Notional,,,,,,,,,,,,,,,,,,,,,,
,NGI-PGE/CG,,,,,,,,,A,,1.3143753257754724,,-4.615501285624911,,-8.940885317467817,,-4.444541153262539,,7.750498478483893,,-8.936053952095902,
,NGI-MALIN,,,,,,,,,A,,0.9175166985764343,,-0.13825482836135772,,-4.411968947365935,,-4.25240736109159,,-9.104775919744474,,-16.989890357986923,
,NGI-SOCAL,,,,,,,,,A,,-15.01760291761515,,-20.349404508705433,,-22.559751414191208,,-4.445206675804583,,-0.9883902931597474,,-63.360355809476125,
,NW/CIG,,,,,,,,,A,,-1.166640270728757,,-0.23845436584877916,,-0.5583760371413663,,-0.1455362405616989,,-1.2748192000289666,,-3.383826114309568,
,PERMIAN,IF-NNG/TOK,,,,,,,,A,,-0.8953872388731468,,0.8671827722543137,,-5.159727528565277,,0.0769135751364034,,-14.571239987269738,,-19.682258407317445,
,SAN JUAN,,,,,,,,,A,,9.365259831224318,,4.347971400690544,,-5.913495304382881,,-2.5218386618377777,,4.944168131580176,,10.222065397274378,
,Other,NGI-NOCAL,,,,,,,,A,,-0.08370418497209914,,-1.886697910128012,,-5.546357922399666,,-2.2309325873533545,,-27.39229251553091,,-37.13998512038404,
,Total,,,,,,,,,,,-5.566182756612928,,-22.013158725723635,,-53.09056247151415,,-17.96354910477514,,-40.636851305669765,,-139.2703043642956,
,Western Canada Region Notional,,,,,,,,,,,,,,,,,,,,,,
,SUMAS,,,,,,,,,A,,-0.28213718346516653,,-0.9771014048570597,,-3.051899440510062,,-2.0499103402199284,,-29.99369580320798,,-36.3547441722602,
,AECO/EMPRESS/STA2,,,,,,,,,A,,0,,0,,0,,0,,0,,0,
,Total,,,,,,,,,,,-0.28213718346516653,,-0.9771014048570597,,-3.051899440510062,,-2.0499103402199284,,-29.99369580320798,,-36.3547441722602,
,Ontario Region Notional,,,,,,,,,,,,,,,,,,,,,,
,PARKWAY,,,,,,,,,A,,0,,0,,0,,0,,0,,0,
,DAWN,,,,,,,,,A,,0,,0,,0,,0,,0,,0,
,NIAGARA,,,,,,,,,A,,-15.403537737128733,,-16.749943249453473,,-10.173485931133042,,-19.561576250672623,,-37.38061574948333,,-99.26915891787121,
,Other,,,,,,,,,A,,0,,0,,0,,0,,0,,0,
,Total,,,,,,,,,,,-15.403537737128733,,-16.749943249453473,,-10.173485931133042,,-19.561576250672623,,-37.38061574948333,,-99.26915891787121,
,Central Region Notional,,,,,,,,,,,,,,,,,,,,,,
,NGI/CHI. GATE,,,,,,,,,A,,4.954367038248389,,-9.528882597540967,,29.13935916754613,,-64.0717553392278,,-149.91691938478783,,-189.42383111576208,
,MICH-CG,NGI-MICH_CG,,,,,,,,A,,-0.9182440255306441,,-0.2114033204946406,,0.6825224618616073,,1.6295608771838934,,45.696085903963336,,46.87852189698355,
