Overall Summary for All Cases Examined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results in Mdth/d by Contract Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Study 2,Study 2,,Study 1,Study 1,,Study 1b,Study 1b,,Study 3,Study 3,,Study 3b,Study 3b,,Study 4a,Study 4a,,Study 4b,Study 4b,,Study 5a,Study 5a,,Study 5b,Study 5b,,Study 6a,Study 6a,,Study 6b,Study 6b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agmt,Shipper,,CURRENT CD/BD,Quantity Not Assigned Firm Receipt Rights,,1995 CD/NCP,Quantity Not Assigned Firm Receipt Rights,,1995 CD/CP,Quantity Not Assigned Firm Receipt Rights,,Last 12 Months CD/NCP,Quantity Not Assigned Firm Receipt Rights,,Last 12 Months CD/CP,Quantity Not Assigned Firm Receipt Rights,,CD / MAX EST.,Quantity Not Assigned Firm Receipt Rights,,CD / WINTER EST.,Quantity Not Assigned Firm Receipt Rights,,Winter 2000 NCP,Quantity Not Assigned Firm Receipt Rights,,Summer 2000 NCP,Quantity Not Assigned Firm Receipt Rights,,Last 5 Years Average Winter NCP,Quantity Not Assigned Firm Receipt Rights,,Last 5 Years Average Summer NCP,Quantity Not Assigned Firm Receipt Rights,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enter an Agreement Number to Look Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9L6Y,Odessa-Ector Power Partners ,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,
All Contracts,,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD Contracts Flowing to East End Delivery Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9L6Y,Odessa-Ector Power Partners ,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,
9KEE,OneOK Energy Marketing ,,10500,0,,10500,0,,10500,0,,10500,0,,10500,0,,10500,0,,10500,0,,10500,0,,10500,0,,10500,0,,10500,0,
9JPJ,Phillips Petroleum Company ,,5000,0,,5000,0,,5000,0,,5000,0,,5000,0,,5000,0,,5000,0,,5000,0,,5000,0,,5000,0,,5000,0,
9LLE,Phillips Petroleum Company ,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,
9LVC,Tenaska Marketing Ventures ,,51150,0,,51150,0,,51150,0,,51150,0,,51150,0,,51150,0,,51150,0,,51150,0,,51150,0,,51150,0,,51150,0,
9MVR,Tenaska Marketing Ventures ,,10000,0,,10000,0,,10000,0,,10000,0,,10000,0,,10000,0,,10000,0,,10000,0,,10000,0,,10000,0,,10000,0,
