Transwestern,,,,,,,,,,,,,,,,,,,,
Functional Income Statement - 2001 (6th work day),,,,,,,,,,,,,,,,,,,,
(thousands of dollars),,,,,,,,,,,,,,,,,,,,
,,,,Jan,Feb,Mar,,Apr,May ,Jun,,Jul,Aug,Sep,,Oct,Nov,Dec,,YTD
Commercial,,,,,,,,,,,,,,,,,,,,
,Sales Margin,,,-238,-889,-172,,14742,2259,3206,,3949,3777,2145,,2904,,,,31683
,Transportation & Compression,,,13886,18314,8736,,14527,16313,14266,,14096,13578,13610,,13529,,,,140855
,Regulatory Assets Amort,,,-730,-668,-1269,,-571,-564,-545,,-552,-559,-551,,-709,,,,-6718
,Fuel Used in Operations,,,4888,4666,1896,,-10664,328,-372,,-1196,-506,-639,,76,,,,-1523
,"Transport, Compress, & Storage",,,0,0,0,,0,0,0,,0,0,0,,0,,,,0
,Other Revenue,,,23,24,25,,23,78,24,,23,24,24,,62,,,,330
,O&M,,,-157,-168,-326,,-312,-157,-228,,-30,-109,-178,,-173,,,,-1838
,Payroll Taxes,,,-14,-28,-6,,-6,-6,-6,,-5,-4,-4,,-4,,,,-83
,Other Income - Asset Sales,,,0,0,-106,,0,0,0,,18,0,0,,0,,,,-88
,Other Income - Speculative,,,128,0,0,,0,0,0,,4,0,1,,-7,,,,126
,Other Income - Misc,,,3,-85,86,,12,0,1,,19,0,-26,,4,,,,14
,,Net Contribution,,17789,21166,8864,,17751,18251,16346,,16326,16201,14382,,15682,0,0,,162758
Market Services,,,,,,,,,,,,,,,,,,,,
,O&M,,,-119,-131,-141,,-132,-130,-125,,-133,-123,-141,,-152,,,,-1327
,Payroll Taxes,,,-17,-17,-9,,-9,-9,-9,,-9,-9,-10,,-10,,,,-108
,,Net Contribution,,-136,-148,-150,,-141,-139,-134,,-142,-132,-151,,-162,0,0,,-1435
Operations,,,,,,,,,,,,,,,,,,,,
,O&M,,,-1870,-2099,-2611,,-1806,-2795,-2490,,-2180,-2478,-1944,,-2464,,,,-22737
,Payroll Taxes,,,-77,-109,-61,,-60,-64,-65,,-55,-54,-43,,-40,,,,-628
,Other Income - Phys. Inv. Adjust.,,,0,0,0,,0,-21,0,,0,-9,-92,,0,,,,-122
,,Net Contribution,,-1947,-2208,-2672,,-1866,-2880,-2555,,-2235,-2541,-2079,,-2504,0,0,,-23487
Finance Accounting & Administration,,,,,,,,,,,,,,,,,,,,
,DD&A,,,-1621,-1587,-1631,,-1643,-1600,-1710,,-1648,-1650,-1656,,-1660,,,,-16406
,Ad Valorem Tax,,,-722,-722,-722,,-722,-722,-722,,-722,-722,-722,,-722,,,,-7220
,Other Franchise/Misc,,,-104,-107,-102,,-103,-103,-108,,-103,-103,-103,,-103,,,,-1039
,O&M,,,-830,-855,-1630,,-627,-572,-761,,-754,-763,-852,,-1032,,,,-8676
,Payroll Taxes,,,-16,-18,-8,,-6,-7,-5,,-7,-7,-8,,-16,,,,-98
,Other Income,,,-3,-4,-3,,-6,-5,-3,,13,16,211,,149,,,,365
,FI/CO Reconcilation of Payroll Taxes,,,15,36,12,,11,10,22,,9,13,10,,9,,,,147
,,Net Contribution,,-3281,-3257,-4084,,-3096,-2999,-3287,,-3212,-3216,-3120,,-3375,0,0,,-32927
IT,,,,,,,,,,,,,,,,,,,,
,O&M,,,-175,-209,-334,,-64,-209,-284,,-189,-306,-262,,-389,,,,-2421
,Payroll Taxes,,,-12,-24,-10,,-9,-8,-20,,-9,-10,-9,,-9,,,,-120
,,Net Contribution,,-187,-233,-344,,-73,-217,-304,,-198,-316,-271,,-398,0,0,,-2541
Legal,,,,,,,,,,,,,,,,,,,,
,O&M,,,-60,-84,-75,,-81,-67,-70,,-62,-75,-54,,-127,,,,-755
,Payroll Taxes,,,-4,-12,-3,,-2,-2,-2,,-1,-2,-1,,-2,,,,-31
,,Net Contribution,,-64,-96,-78,,-83,-69,-72,,-63,-77,-55,,-129,0,0,,-786
HR,,,,,,,,,,,,,,,,,,,,
,O&M,,,-21,-29,-30,,-24,-22,-25,,-20,-23,-24,,-23,,,,-241
,Payroll Taxes,,,-3,-3,-2,,-1,-1,-1,,-1,-1,-1,,-1,,,,-15
,,Net Contribution,,-24,-32,-32,,-25,-23,-26,,-21,-24,-25,,-24,0,0,,-256
Executive,,,,,,,,,,,,,,,,,,,,
,O&M,,,-193,-155,-163,,-108,-127,-225,,150,-49,-41,,-45,,,,-956
,Payroll Taxes,,,-2,-3,-3,,-2,-2,-2,,-2,-2,-2,,-2,,,,-22
,,Net Contribution,,-195,-158,-166,,-110,-129,-227,,148,-51,-43,,-47,0,0,,-978
,,,,,,,,,,,,,,,,,,,,
Income before Interest and Taxes,,,,11955,15034,1338,,12357,11795,9741,,10603,9844,8638,,9043,0,0,,100348
