,,,,,,,,,,,,,CONFIDENTIAL
,,,,,,,,,,,,,
,,,,,,,,,,,,,Schedule C Summary
,,,,,,,,,,,,,"As of December 29, 2000"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Prior Month,,,,
,Portfolio,Book(s),Date,Counterparty,Description,,Amount,,2000-11-29 00:00:00,,Change,,Removal Date
,,,,,,,,,,,,,
,Natural Gas,Canada,1995-03-01 00:00:00,-,FX - Adjustment for CNRL deal.  Amortize amount over life of deal.,,202003,,227519,,-25516,,To be written off by December 2009
,Natural Gas,Canada,1999-04-01 00:00:00,-,Adjustment to back out income on American Public Agency prepaid deal (EV7521).  This adjustment was originally calculated as the difference between the physical premium midpoints and the pricing on the deals.,,-353764,,-353764,,0,,2011-04-01 00:00:00
,Natural Gas,Canada,1999-07-22 00:00:00,-,"At the present time, toll rates are based on current toll rates and are not escalated for any anticipated toll rate increases.  This adjustment is to provide for future changes in toll rates.",,-542237,,-542237,,0,,To be determined
,Natural Gas,Canada,2000-05-01 00:00:00,-,Structured storage deal with Gas Alberta (NJ9955).  The adjustment is to provide for uncertainties related to the timing of the injection and withdrawal of the storage.,,-140000,,-140000,,0,,To be written off by March 2001
,Natural Gas,Canada,2000-10-31 00:00:00,-,This amount has been entered due to the fact that stn2 is not a liquid market,,-1500000,,-1500000,,0,,
,,,,,,,,,,,,,
,Natural Gas,FT-NY,2000-08-01 00:00:00,,Credit Wheeling Pitt deal,,-5000,,-5000,,0,,
,Natural Gas,NG Price,1999-06-01 00:00:00,FP&L,Remaining reserve amount from a Florida Power & Light deal. There are still remaining basis hedges on FGT Zone 2 and Zone 3 that this money is keep in reserve for hedging purposes.,,-106781,,-106781,,0,,To be determined
,Natural Gas,MGMT,As of December-00,-,Per John Lavorato,,-404000000,,-80000000,,-324000000,,
,Natural Gas,GDNew,As of December-00,-,Liquidity risk due to Socal positions,,-55000000,,-155000000,,100000000,,To be determined
,Natural Gas,FT-HPLC,1999-07-01 00:00:00,Entex,Reserved to account for changes between actual volumes and what was initially estimated in the contract.,,-3221921,,-3221921,,0,,2000-11-01 00:00:00
,Natural Gas,FT-Denver,2000-09-01 00:00:00,JM Huber,Awaiting FERC filing by Trailblazer to insure that project has been fully subscribed and will be constructed.,,-5500000,,-5500000,,0,,
,Natural Gas,,2000-12-01 00:00:00,Napoleonville Pad Gas,Operational Prudency,,-1636277,,0,,-1636277,,
,Natural Gas,FT-Denver,2000-12-02 00:00:00,JM Huber,Awaiting FERC filing by Trailblazer to insure that project has been fully subscribed and will be constructed.,,-700000,,0,,-700000,,
