Date,Price
1996-01-02 00:00:00,13.14
1996-01-03 00:00:00,12.75
1996-01-04 00:00:00,13.5
1996-01-05 00:00:00,14
1996-01-06 00:00:00,12.93
1996-01-07 00:00:00,13.16
1996-01-08 00:00:00,13
1996-01-09 00:00:00,12.01
1996-01-10 00:00:00,12.91
1996-01-11 00:00:00,13.17
1996-01-12 00:00:00,14.12
1996-01-13 00:00:00,14.67
1996-01-14 00:00:00,13.18
1996-01-15 00:00:00,13.74
1996-01-16 00:00:00,13.67
1996-01-17 00:00:00,14.49
1996-01-18 00:00:00,14.8
1996-01-19 00:00:00,16.59
1996-01-20 00:00:00,15.25
1996-01-21 00:00:00,14.55
1996-01-22 00:00:00,15.85
1996-01-23 00:00:00,17.93
1996-01-24 00:00:00,16.950001
1996-01-25 00:00:00,18.76
1996-01-26 00:00:00,18.35
1996-01-27 00:00:00,17.469999
1996-01-29 00:00:00,16.08
1996-01-30 00:00:00,16.950001
1996-01-31 00:00:00,19.379999
1996-02-01 00:00:00,17.049999
1996-02-02 00:00:00,18.92
1996-02-03 00:00:00,19.25
1996-02-04 00:00:00,15.49
1996-02-05 00:00:00,16.59
1996-02-06 00:00:00,13.5
1996-02-07 00:00:00,11.49
1996-02-08 00:00:00,12.09
1996-02-09 00:00:00,11.32
1996-02-10 00:00:00,12.2
1996-02-11 00:00:00,11.92
1996-02-12 00:00:00,11.65
1996-02-13 00:00:00,11.29
1996-02-14 00:00:00,10.61
1996-02-15 00:00:00,10.89
1996-02-16 00:00:00,9.75
1996-02-17 00:00:00,9.5100002
1996-02-18 00:00:00,9.8999996
1996-02-19 00:00:00,9.6700001
1996-02-20 00:00:00,11.57
1996-02-21 00:00:00,9.7799997
1996-02-22 00:00:00,9.25
1996-02-23 00:00:00,10.09
1996-02-24 00:00:00,9.7700005
1996-02-25 00:00:00,12.23
1996-02-26 00:00:00,17.68
1996-02-27 00:00:00,18.110001
1996-02-28 00:00:00,15.74
1996-02-29 00:00:00,12.77
