DES,Company,STATE,FACILITY,FACILITY 
,,,,STATUS
Holli,0141,,, 
,0172,,CS 1,
,,,CS 2,
,,ND,CS 3,
,,ND,CS 4,
,,ND,CS 5,
,,ND,CS 6,
,,ND,CS 7,
,,SD,CS 8,
,,SD,CS 9,
,,SD,CS 10,
,,SD,CS 11 ,
,,SD,CS 12,
,,MN,CS 13,
,,,,
,0179,SD,Harrisburg,
,,IA,Paulina,
,,NE,South Sioux,
,,MN,Welcome,
,,,,
,1195,,Bellfield Team,
,,,Bowman Team,
,,,,
Beidelman,0172,,,
,0179,MN,CARLTON COMPRESSOR STATION,Active
,,MN,WRENSHALL LNG PLANT,Active
,,MN,FARMINGTON COMPRESSOR STATION,Active
,,MN,NORTH BRANCH COMPRESSOR STATION,Active
,,MN,OWATONNA TURBIN PLANT,Active
,,MN,FARIBAULT COMPRESSOR STATION,Active
,,MN,HUGO COMPRESSOR STATION,Active
,,,,
,,IA,VENTURA COMPRESSOR STATION,Active
,,IA,GARNER LNG PLANT,Active
,,IA,PAULLINA COMPRESSOR STATION,Active
,,,,
,,ND,FT BUFORD COMPRESSOR STATION,Active
,,,,
,,MT,BLAINE COUNTY #1 COMPRESSOR STATION,SOLD
,,MT,BLAINE COUNTY #3 COMPRESSOR STATION,SOLD
,,MT,HILL COUNTY #1 COMPRESSOR STATION,SOLD
,,,,
,,CO,MESA COUNTY #1 COMPRESSOR STATION,SOLD
,,CO,MESA COUNTY #3 COMPRESSOR STATION,SOLD
,,CO,RIO BLANCO #1 COMPRESSOR STATION,SOLD
,,CO,ROUTT COUNTY #1 COMPRESSOR STATION,SOLD
,,,,
,,MI,WAKE FILED COMPRESSOR STATION,Abandoned
,,,,
NICHOLS,0172,IA,ELDRIDGE COMPRESSOR STATION,ACTIVE
,,IA,PARIS COMPRESSOR STATION,ACTIVE
,,,,
,,IL,CHANNAHON COMPRESSOR STATION,ACTIVE
,,IL,POTOMAC COMPRESSOR STATION,ACTIVE
,,,,
,,IN,WINSLOW COMPRESSOR STATION,ACTIVE
,,,,
,,KY,HARTFORD COMPRESSOR STATION,ACTIVE
,,,,
,,TN,PORTLAND COMPRESSOR STATION,ACTIVE
,,,,
,0179,IA,WATERLOO COMPRESSOR STATION,ACTIVE
,,IA,OGDEN COMPRESSOR STATION,ACTIVE
,,IA,OAKLAND COMPRESSOR STATION,ACTIVE
,,IA,REDFIELD UNDERGROUND STORAGE,ACTIVE
,,IA,PAULLINA COMPRESSOR STATION,ACTIVE
,,IA,EARLVILLE,ACTIVE
,,IA,GUTHERIE CENTER,ACTIVE
,,IA,HUBBARD - ELECTRIC,ACTIVE
,,,,
,,NE,BEATRICE,ACTIVE
,,NE,PALMYRA COMPRESSOR STATION,ACTIVE
,,,,
,,IL,GALENA COMPRESSOR STATION,ACTIVE
,,,,
,,WI,BELLEVILLE,ACTIVE
,,,,
FLEAK,0179,NE,BEATRICE COMPRESSOR STATION,Active
,,,,
,,KS,ALBERT COMPRESSOR STATION,Active
,,KS,BURDETT,Active
,,KS ,BUSHTON LIQUIDS,Sold
,,KS,BUSHTON COMPRESSOR STATION,Active
,,KS,CLIFTON COMPRESSOR STATION,Active
,,KS,CUNNINGHAM UNDERGROUND STORAGE,Active
,,KS,CUNNINGHAM LIQUIDS,Active
,,KS,FOWLER COMPRESSOR STATION,Active
,,KS,KALVESTA COMPRESSOR STATION,Active
,,KS,LYONS UNDERGROUND STORAGE,Active
,,KS,MACKSVILLE COMPRESSOR STATION,Active
,,KS,MULLINVILLE COMPRESSOR STATION,Active
,,KS,TESCOTT COMPRESSOR STATION TS,Active
,,KS,EDWARDS COUNTY #3,Inactive
,,KS,ASHLAND WAREHOUSE ,Active
,,KS,CLARK COUNTY #1 CS,Active
,,KS,CLARK COUNTY #2 CS,Active
,,,,
RIEDEL,0179,KS,FINNEY COUNTY #1 CS,In Service
,,KS,FINNEY COUNTY #2 CS,In Service
,,KS,FINNEY COUNTY #3 CS,In Service
,,KS,FINNEY COUNTY #4 CS,In Service
,,KS,HASKELL COUNTY #1 CS,In Service
,,KS,HASKELL COUNTY DEHY,Included in
,,KS,HOLCOMB  CS,In Service
,,KS,HUGOTON  CS,In Service
,,KS,HUGOTON TBS 2,In Service
,,KS,HUGOTON TBS 3,In Service
,,KS,MEADE TBS (CORNELSON),In Service
,,KS,MORTON COUNTY #1,In Service
,,KS,MORTON COUNTY #2 (IDLE),Idled
,,KS,MORTON COUNTY #6,In Service
,,KS,ROLLA TBS,In Service
,,KS,SEWARD COUNTY #1,In Service
,,KS,STEVENS COUNTY #1,In Service
,,KS,STEVENS COUNTY #2,In Service
,,KS,STEVENS COUNTY #3,In Service
,,KS,STEVENS COUNTY #4,In Service
,,KS,"STEVENS COUNTY #5 ELECTRIC,IDLE",Removed
,,KS,STEVENS COUNTY #6,In Service
,,KS,STEVENS COUNTY #7,In Service
,,KS,STEVENS COUNTY #10,In Service
,,KS,SUBLETTE CS,In Service
,,KS,TATE CS,In Service
,,KS,BURDETT,In Service
,,,,
,1195,KS,Russell Team,
,,KS,Mullinville Team,
,,,,
LOVELESS,0060,OK,TW-IVANHOE CS,active
,,,,
,0179,OK,BEAVER COUNTY #1 CS,active
,,OK,BEAVER COUNTY #2 CS,active
,,OK,BEAVER COUNTY #3 CS,active
,,OK,BEAVER COUNTY #5 CS,active
,,OK,BEAVER COUNTY #6 CS,active
,,OK,BEAVER COUNTY #7 CS,active
,,OK,BEAVER COUNTY #9 CS,active
,,OK,BEAVER COUNTY #11 CS,active
,,OK,BEAVER COUNTY #12 CS,active
,,OK,BEAVER COUNTY #13 CS,active
,,OK,BEAVER CO#15 PART OF BEAVER CS,active
,,OK,BEAVER CS,active
,,OK,ELLIS COUNTY #1,active
,,OK,ELLIS COUNTY #2,active
,,OK,ELLIS COUNTY #3,active
,,OK,ELLIS COUNTY #4,active
,,OK,ROGER MILLS COUNTY #1,active
,,OK,TEXAS COUNTY #1,active
,,OK,TEXAS COUNTY #2,active
,,OK,TW-NNG INTERCONNECT,active
,,OK,WOODWARD COUNTY #1,active
,,OK,WOODWARD COUNTY #2,active
,,OK,WOODWARD COUNTY #3,active
,,,,
,,TX,BOBBIT CS,active
,,TX,BURNETT CS,active
,,TX,CLAUDE CS,active
,,TX,HAIDUK CS,active
,,TX,HANSFORD COUNTY #1 CS,idled
,,TX,HEMPHILL COUNTY #1 CS,active
,,TX,HEMPHILL COUNTY #2 CS,active
,,TX,HEMPHILL COUNTY #3 CS,active
,,TX,HUTCHINSON COUNTY #1 CS,active
,,TX,HUTCHINSON COUNTY #2 CS,active
,,TX,LIPSCOMB COUNTY #1 CS,active
,,TX,MC CONNELL CS,active
,,TX,NORTHRUP,active
,,TX,NORTHRUP #2,active
,,TX,PAMPA CS,active
,,TX,PERRYTON-BARLOW,active
,,TX,SPEARMAN CS,active
,,TX,SUNRAY CS,active
,,TX,TW-CANADIAN RIVER CS,active
,,TX,TW-P-3 CS,active
,,,,
,1195,OK,Cimmarron Team,active
,,OK,Duncan Team,active
,,OK,Oklahonma City Team,active
,,,,
CAMPBELL,0060,NM,EUNICE CS,active
,,NM,JAL C/S,active
,,NM,Atoka 1,
,,NM,Atoka 2,
,,NM,Atoka 3,
,,NM,Bisti,
,,NM,Carlsbad  (WT 1),
,,NM,Clagatah (Station#4),
,,NM,Corona (Station #8),
,,,Crawford,
,,AZ,Flagstaff (Station #2),
,,NM,Gallop (Station #5),
,,NM,Keystone,
,,AZ,Kingman (Station #1),
