Curve Group ->,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,
Curve Code  ->,CGPR-KINGSGATE,DJ/BASIN/CIG,DJ/BASIN/PSCO,GD-AECOUS/FRWKD,GD-CGPR-AECO/AV,GDP-AECO,GDP-CAL BORDER,GDP-CHI. GATE,GDP-CIG/RKYMTN,GDP-ELPO/PERM2,GDP-ELPO/SANJUA,GDP-HEHUB,GDP-KERN/OPAL,GDP-MALIN-CTYGA,GDP-NTHWST/CANB,GDP-PG&E/CITIGA,IF-CIG/GLENROCK,IF-CIG/RKYMTN,IF-CIG/ROCKPORT,IF-CIG/SOUTHERN,IF-CIG/WIC,IF-CIG/WINDRVR,IF-ELPO/PERMIAN,IF-ELPO/SJ,IF-EPSJ(BONDAD),IF-NGPL/GAGE(W),IF-NGPL/MIDCON,IF-NTHWST/CANBR,IF-NWPL_ROCKY_M,IF-PAN/TX/OK,IF-TW/PERMIAN,IF-WAHA-TX,NGI-MALIN,NGI-PGE/CG,NGI-SOBDR-PG&E,NGI-SOBDR-SOCAL,NGI-SOCAL,NGI-SOCAL(KRS),
Risk Type   ->,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,
Deal Type   ->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01 00:00:00,32,-0.8,28,0,0,0,448.8,0,-38.1,-30.9,108.3,15.5,79.8,-170.2,-46.4,-154.7,118.4,92.8,37.8,3.6,113,76.1,-576.5,-336,0,77.4,15.5,-15.5,400.4,15.5,31.4,24.8,-571.1,-23.5,703.3,-199.2,-62.5,-3.1,
2002-02-01 00:00:00,28.9,-14.9,25.3,0,0,0,404.6,0,-34.9,-27.9,97.7,14,71.8,-153.5,-41.9,-139.5,104,97.7,37,7.5,101.9,68.7,-518.5,-292.2,0,69.8,14,-14,352.7,14,28.3,22.3,-445,-38.1,634.2,-180,-121.1,-2.8,
2002-03-01 00:00:00,31.9,-16.4,27.9,0,0,0,447.3,0,-30.9,-30.9,108,15.4,79,-169.7,-46.3,-154.3,111.8,111.1,44,10.2,112.6,75.9,-574.5,-312.8,0,77.1,15.4,-15.4,374.5,15.4,31.3,24.7,-491.7,-26.2,701.1,-197.7,-163,-3.1,
2002-04-01 00:00:00,30.9,-15.1,12.1,0,0,0,-74.5,0,0,0,89.4,-14.9,14.9,-29.8,0,0,108,178.9,45.5,15.5,108.8,29.8,-539.6,-452,0,74.5,14.9,0,346.2,14.9,29.8,23.8,-9.8,-13.7,677.4,-202.7,-168.5,0,
2002-05-01 00:00:00,31.8,-15.6,12.5,0,0,0,-76.9,0,0,0,92.3,-15.4,15.4,-30.8,0,0,108.3,184.5,50.1,-0.4,112.3,30.8,-541.3,-469.3,0,76.9,15.4,0,295.7,15.4,30.8,24.6,-11.1,-3.7,698.8,-209.1,-90.9,0,
2002-06-01 00:00:00,30.7,-15.1,12,0,0,0,-74.3,0,0,0,89.1,-14.9,14.9,-29.7,0,0,101.6,178.2,51.4,-0.5,108.5,29.7,-522.7,-484.8,0,74.3,14.9,0,285.6,14.9,29.7,23.8,-12.3,90.5,675.1,-202,-83.8,0,
2002-07-01 00:00:00,31.7,-15.5,15.3,0,0,0,-76.6,0,0,0,91.9,-15.3,15.3,-30.6,0,0,101.7,153.2,56.1,-0.3,111.9,30.6,-524.2,-416.3,0,76.6,15.3,0,325.3,15.3,30.6,24.5,17.8,95.8,667,-55.2,-87.9,0,
2002-08-01 00:00:00,31.7,-15.5,15.3,0,0,0,-76.4,0,0,0,91.7,-15.3,15.3,-30.6,0,0,98.3,152.9,59.1,-0.5,111.6,30.6,-523.2,-385,0,76.4,15.3,-15.3,324.6,15.3,30.6,24.5,16.7,157.2,665.6,-55,-26.6,0,
2002-09-01 00:00:00,30.6,-15,14.8,0,0,0,-73.8,0,0,0,88.6,-14.8,14.8,-29.5,0,0,92,147.6,60.1,-0.2,85.7,29.5,-504.7,-380.2,0,73.8,14.8,-14.8,313.4,14.8,29.5,23.6,16.6,121.2,642.8,-53.2,-84.6,0,
2002-10-01 00:00:00,31.5,-15.4,15.2,0,0,0,-76.1,0,0,0,91.3,-15.2,15.2,-30.4,0,0,91.7,152.2,65,0,88.3,30.4,-520.8,-422.5,0,76.1,15.2,0,323.2,15.2,30.4,24.4,26.3,117.9,662.7,-54.8,-84.4,0,
2002-11-01 00:00:00,0,-14.9,0,0,0,0,0,0,0,0,0,0,14.7,0,0,0,210.1,0,-73.5,0,85.3,0,-324.6,-482.5,0,91.1,14.7,0,385.4,14.7,29.4,23.5,-3.1,-85.7,636.2,-23.5,-88.7,0,
2002-12-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.9,0,-75.7,0,87.9,0,-334.8,-537.1,0,93.9,15.1,0,397.3,15.1,30.3,24.2,-2.7,-104.4,655.7,-24.2,-91,0,
2003-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.4,0,-75.5,0,87.6,0,-326.2,-503.1,0,93.6,15.1,0,392.3,15.1,0,24.2,3.8,-35.8,631.2,0,-90.8,0,
2003-02-01 00:00:00,0,-13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.7,0,-68,0,78.9,0,-292.4,-436.4,0,84.3,13.6,0,353.3,13.6,0,21.8,9.2,-31.8,568.4,0,-81.9,0,
2003-03-01 00:00:00,0,-15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,-75.1,0,87.1,0,-324.2,-453.9,0,93.1,15,0,390.1,15,0,24,10.4,-33.9,627.5,0,-90.5,0,
2003-04-01 00:00:00,0,-14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.5,0,-72.4,0,84,0,-312.7,-414.7,0,89.8,14.5,0,383.5,14.5,0,23.2,10.1,-31.5,605.2,0,-87.4,0,
2003-05-01 00:00:00,0,-15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.2,0,-74.6,0,86.6,0,-322,-410.9,0,92.5,14.9,0,395,14.9,0,23.9,9.7,-31.7,623.4,0,-77.4,0,
2003-06-01 00:00:00,0,-14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.8,0,-71.9,0,83.5,0,-310.3,-425.7,0,89.2,14.4,0,380.9,14.4,0,23,11.2,-29.8,601.1,0,-74.7,0,
2003-07-01 00:00:00,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.4,0,-74.1,0,85.9,0,-319.8,-368.5,0,91.8,14.8,0,392.2,14.8,0,23.7,4.3,-30,619,0,-47.2,0,
2003-08-01 00:00:00,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.5,0,-73.8,0,85.6,0,-318.7,-371.2,0,91.5,14.8,0,390.7,14.8,0,23.6,4.2,-28.1,616.6,0,-47.1,0,
2003-09-01 00:00:00,0,-14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.2,0,-71.1,0,78,0,-306.7,-366,0,88.2,14.2,0,376.6,14.2,0,22.8,4.3,-26.9,594.4,0,-45.4,0,
2003-10-01 00:00:00,0,-14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.6,0,-73.2,0,80.3,0,-290.9,-381.3,0,90.8,14.6,0,387.7,14.6,0,23.4,4.7,-27.5,585.7,0,-69.3,0,
2003-11-01 00:00:00,0,-14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.6,0,-70.6,0,77.4,0,-280.1,-291,0,87.5,14.1,0,371.4,14.1,0,22.6,-26.2,-26,564.6,0,-66.8,0,
2003-12-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.6,0,79.6,0,-288.6,-299.5,0,90.1,14.5,0,382.3,14.5,0,23.2,-26.8,-26.4,581.1,0,-68.4,0,
2004-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.3,0,79.3,0,-294.1,-299.2,0,89.7,14.5,0,380,14.5,0,23.1,-26.2,-18.8,578.6,0,-68.1,0,
2004-02-01 00:00:00,0,-13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.4,0,73.9,0,-273.1,-278.7,0,83.5,13.5,0,354,13.5,0,21.6,-24.5,-17.5,539,0,-63.6,0,
2004-03-01 00:00:00,0,-14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.7,0,78.6,0,-291.5,-296.7,0,88.9,14.3,0,376.8,14.3,0,23,-25.9,-18.6,573.8,0,-67.8,0,
2004-04-01 00:00:00,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69.1,0,61.9,0,-280.8,-285.9,0,85.7,13.8,0,363.1,13.8,0,22.1,-22.2,-18,552.8,0,-65.4,0,
2004-05-01 00:00:00,0,-14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.1,0,63.7,0,-289,-294.1,0,88.2,14.2,0,373.6,14.2,0,22.8,-23.4,-46.9,568.8,0,-67.2,0,
2004-06-01 00:00:00,0,-13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68.5,0,61.4,0,-278.2,-283.4,0,84.9,13.7,0,359.9,13.7,0,21.9,-23.6,-45.2,548,0,-64.8,0,
