TRADE DATE,NA GAS,NA POWER,US EAST GAS,US CENTRAL GAS,US WEST GAS,US NYMEX GAS,US TEXAS GAS,US EAST POWER,US CENTRAL POWER,US WEST POWER,CAN EAST GAS,CAN WEST GAS,CAN POWER,TOTAL TRADE CNT
2001-11-13 00:00:00,1977,715,479,512,462,362,68,361,3,349,12,82,2,3971
2001-11-12 00:00:00,2302,614,611,567,437,581,48,543,3,62,27,31,6,4008
2001-11-11 00:00:00,11,4,0,0,0,11,0,4,0,0,0,0,0,15
2001-11-10 00:00:00,5,12,0,0,0,5,0,12,0,0,0,0,0,17
2001-11-09 00:00:00,1618,658,452,354,302,392,28,396,1,255,32,58,6,3127
2001-11-08 00:00:00,1912,719,480,193,366,701,50,558,0,149,15,107,12,3566
2001-11-07 00:00:00,2790,1149,713,675,723,430,48,675,5,463,61,140,6,4804
2001-11-06 00:00:00,3234,1233,853,813,639,678,66,780,1,445,52,133,7,5263
2001-11-05 00:00:00,3261,1295,877,777,647,655,69,734,6,548,47,189,7,5320
2001-11-04 00:00:00,9,4,0,0,0,9,0,4,0,0,0,0,0,14
2001-11-03 00:00:00,5,23,0,0,0,5,0,23,0,0,0,0,0,28
2001-11-02 00:00:00,3375,947,915,858,738,529,74,558,2,378,45,216,9,5030
2001-11-01 00:00:00,3302,1057,906,828,621,659,80,714,7,331,54,154,5,5263
2001-10-31 00:00:00,3338,1286,1059,837,546,609,90,811,5,459,66,131,11,5383
2001-10-30 00:00:00,3096,921,1008,658,524,590,130,582,3,330,53,133,6,4630
2001-10-29 00:00:00,3514,1050,952,779,778,632,144,682,0,356,85,144,12,5259
2001-10-28 00:00:00,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2001-10-27 00:00:00,10,0,0,0,0,10,0,0,0,0,0,0,0,10
2001-10-26 00:00:00,3516,1173,1003,844,705,620,126,726,1,432,63,155,14,5525
2001-10-25 00:00:00,4788,1496,1305,915,784,1346,138,875,0,607,65,235,14,6998
2001-10-24 00:00:00,3852,913,1194,1075,507,722,117,791,1,112,75,162,9,5533
2001-10-23 00:00:00,4271,1233,1161,967,736,962,122,1060,1,154,65,258,18,6819
2001-10-22 00:00:00,4106,1221,1264,1087,592,754,127,813,0,388,70,212,20,6250
2001-10-21 00:00:00,25,0,0,0,0,25,0,0,0,0,0,0,0,25
2001-10-20 00:00:00,2,0,0,0,0,2,0,0,0,0,0,0,0,2
2001-10-19 00:00:00,4308,1254,1144,1105,706,921,135,783,0,441,76,220,30,6558
2001-10-18 00:00:00,4059,1057,1345,1183,544,614,133,666,0,377,66,173,14,6164
2001-10-17 00:00:00,4012,1091,1156,1043,498,851,105,701,0,376,93,265,14,5988
2001-10-16 00:00:00,3597,1094,1070,880,501,767,108,684,0,397,53,218,13,5539
2001-10-15 00:00:00,2985,892,969,785,448,428,106,483,0,395,71,178,14,4579
2001-10-14 00:00:00,3,8,0,0,0,3,0,8,0,0,0,0,0,12
2001-10-13 00:00:00,7,6,0,0,0,7,0,6,0,0,0,0,0,13
2001-10-12 00:00:00,3399,960,1005,880,474,661,100,552,0,390,65,214,18,5226
2001-10-11 00:00:00,2949,1017,897,685,483,534,73,603,0,397,64,213,17,4683
2001-10-10 00:00:00,2936,953,858,821,454,432,78,523,0,410,64,229,20,4636
2001-10-09 00:00:00,2675,936,771,752,418,371,97,576,0,350,92,172,10,4387
2001-10-08 00:00:00,2730,773,851,847,475,309,114,489,0,284,66,67,0,4331
2001-10-07 00:00:00,5,0,0,0,0,5,0,0,0,0,0,0,0,5
2001-10-06 00:00:00,4,5,0,0,0,4,0,5,0,0,0,0,0,9
2001-10-05 00:00:00,3257,1023,864,1032,377,640,66,616,0,395,82,195,12,5040
2001-10-04 00:00:00,3036,1147,833,935,396,465,96,739,0,395,102,209,13,5015
2001-10-03 00:00:00,3253,942,1011,1022,374,393,131,540,0,397,151,169,5,4782
2001-10-02 00:00:00,2963,1007,852,931,378,404,117,533,0,459,121,160,15,4561
2001-10-01 00:00:00,2870,841,897,819,357,356,116,467,0,370,123,201,4,4385
