Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream
Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas,Purchase from Superior Natural Gas
August 2001,August 2001,August 2001,August 2001,August 2001,August 2001,August 2001,August 2001,August 2001,August 2001,August 2001,August 2001,August 2001,August 2001,August 2001,August 2001,August 2001,August 2001
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Enron North America,Enron North America,Enron North America,Enron North America,Enron North America,Enron North America,Enron North America,Enron North America,Enron North America,Enron North America,Enron North America,Enron North America,Enron North America,ENA Upstream,ENA Upstream,ENA Upstream,ENA Upstream
,,,,Deal 933354,Deal 778088,Deal 939542, Deal 939300, Deal 939300, Deal 939300,,Deal 939300,Deal 939300,Deal 939300,,Deal 949430,Deal 949430,Deal 949430
,,,,Firm - EFP,Firm,Firm,Daily,Daily,Daily,,Daily,Daily,Daily,,Daily,Daily,Daily
,Meter,Meter,Meter,"400,000/mth","5,000/day","2,000/day","15,000/day - Sonat SLA GDP","15,000/day - Sonat SLA GDP","15,000/day - Sonat SLA GDP",Meter,"15,000/day - Sonat SLA GDP","15,000/day - Sonat SLA GDP","15,000/day - Sonat SLA GDP",Meter,"15,000/day - Sonat SLA GDP","15,000/day - Sonat SLA GDP","15,000/day - Sonat SLA GDP"
Day,PSNG 1223,PSNG 1220,Total,2.895,4.425,3.1,Qty,Price,Amt,PSNG 1220,Qty,Price,Amt,PSNG 2569,Qty,Price,Amt
2001-08-01 00:00:00,23903,,23903,12903,5000,2000,4000,3.27,13080,11000,11000,3.27,35970,15000,15000,3.27,49050
2001-08-02 00:00:00,27403,,27403,12903,5000,2000,7500,3.205,24037.5,11000,11000,3.205,35255,15000,15000,3.205,48075
2001-08-03 00:00:00,13588,,13588,12903,685,0,0,3.095,0,11000,11000,3.095,34045,15000,15000,3.095,46425
2001-08-04 00:00:00,2834,,2834,2834,0,0,0,3.015,0,5500,5500,3.015,16582.5,7500,7500,3.015,22612.5
2001-08-05 00:00:00,5668,,5668,5668,0,0,0,3.015,0,0,0,3.015,0,0,0,3.015,0
2001-08-06 00:00:00,8358,11000,19358,19358,0,0,0,3.015,0,0,0,3.015,0,15000,15000,3.015,45225
2001-08-07 00:00:00,28761,,28761,12903,5000,2000,8858,3.04,26928.32,0,0,3.04,0,15000,15000,3.04,45600
2001-08-08 00:00:00,42903,,42903,12903,5000,2000,23000,3.09,71070,0,0,3.09,0,15000,15000,3.09,46350
2001-08-09 00:00:00,48903,,48903,12903,5000,2000,29000,3.075,89175,0,0,3.075,0,15000,15000,3.075,46125
2001-08-10 00:00:00,53403,,53403,12903,5000,2000,33500,3.08,103180,0,0,3.08,0,15000,15000,3.08,46200
2001-08-11 00:00:00,68403,,68403,12903,5000,2000,48500,2.92,141620,0,0,2.92,0,15000,15000,2.92,43800
2001-08-12 00:00:00,68403,,68403,12903,5000,2000,48500,2.92,141620,0,0,2.92,0,15000,15000,2.92,43800
2001-08-13 00:00:00,68403,,68403,12903,5000,2000,48500,2.92,141620,0,0,2.92,0,15000,15000,2.92,43800
2001-08-14 00:00:00,43403,,43403,12903,5000,2000,23500,2.955,69442.5,0,0,2.955,0,15000,15000,2.955,44325
