20R,20R,20R,20R,20R,20R,20R,20R,20R,20R
2001-07-31 00:00:00,2001-07-31 00:00:00,2001-07-31 00:00:00,2001-07-31 00:00:00,2001-07-31 00:00:00,2001-07-31 00:00:00,2001-07-31 00:00:00,2001-07-31 00:00:00,2001-07-31 00:00:00,2001-07-31 00:00:00
Detail of Amortization Expense in Other Expense Acct# 51009000,Detail of Amortization Expense in Other Expense Acct# 51009000,Detail of Amortization Expense in Other Expense Acct# 51009000,Detail of Amortization Expense in Other Expense Acct# 51009000,Detail of Amortization Expense in Other Expense Acct# 51009000,Detail of Amortization Expense in Other Expense Acct# 51009000,Detail of Amortization Expense in Other Expense Acct# 51009000,Detail of Amortization Expense in Other Expense Acct# 51009000,Detail of Amortization Expense in Other Expense Acct# 51009000,Detail of Amortization Expense in Other Expense Acct# 51009000
,,,,,,,,,
PER GL:,,,,,,,PER AMORT SCHED,,DIFFERENCE
Customer,Wkorder,Doc #,Doc Dt,Amt,Description,,Amt,Month,GL vs. Sched
,,,,,,,,,
"Advanced Glass Fiber Yarns, LLC",500003257,100002337,2001-03-31 00:00:00,10833.33,To True up Promo pyaments for AGY,Amort,,,
"Advanced Glass Fiber Yarns, LLC",500003257,100009716,2001-04-30 00:00:00,-10833.33,AGY 03/01 true-up $959156 & $33896 promo amort r/c,Amort,,,
"Advanced Glass Fiber Yarns, LLC",500003257,100018981,2001-05-31 00:00:00,10833.33,AGY 03/01 true-up $959156 & $33896 promo amort r/c,Amort,10833.33,2/00-2/01,
"Advanced Glass Fiber Yarns, LLC",500003257,100018982,2001-05-31 00:00:00,833.33,AGY 03/01 promo amort r/c from 3647 to 3257,Amort,833.33,2001-03-01 00:00:00,
"Advanced Glass Fiber Yarns, LLC",500003257,100010052,2001-04-30 00:00:00,-833.33,AGY 04/01 r/c from 3647 to 3257,Amort,,,
"Advanced Glass Fiber Yarns, LLC",500003257,100018998,2001-05-31 00:00:00,833.33,AGY 04/01 Promo r/c to 51009000,Amort,,,
"Advanced Glass Fiber Yarns, LLC",500003257,100019039,2001-05-31 00:00:00,833.33,AGY r/c from 57300000 to 510090000,Amort,833.33,2001-04-01 00:00:00,
"Advanced Glass Fiber Yarns, LLC",500003257,100019023,2001-05-31 00:00:00,833.33,AGY 05/01 Promo Payment,Amort,833.33,2001-05-01 00:00:00,
"Advanced Glass Fiber Yarns, LLC",500003257,100025758,2001-06-22 00:00:00,833.33,AGY 06/01 Promo Payment,Amort,833.33,2001-06-01 00:00:00,
"Advanced Glass Fiber Yarns, LLC",500003257,100028823,2001-07-24 00:00:00,833.33,AGY 07/01 Promo Payment,Amort,833.33,2001-07-01 00:00:00,
,,,,14999.98,,,14999.98,,0
,,,,,,,,,
Cleveland Browns,500002651,100000109,2001-01-31 00:00:00,28333,Browns Sponsorship amort 1/01,Amort,,,
Cleveland Browns,500002651,100009716,2001-04-30 00:00:00,-28333,Browns 01/01 sponsorship promo amort r/c to 573000,Amort,,,
Cleveland Browns,500002651,100018981,2001-05-31 00:00:00,28333,Browns 01/01 sponsorship promo amort r/c from 5730,Amort,18809.52,2001-01-01 00:00:00,
Cleveland Browns,500002651,100000290,2001-02-28 00:00:00,28333,Booking Sponsorship pymt for the Browns 2/01,Amort,,,
Cleveland Browns,500002651,100009716,2001-04-30 00:00:00,-28333,Browns 02/01 sponsorship promo amort r/c to 573000,Amort,,,
Cleveland Browns,500002651,100018981,2001-05-31 00:00:00,28333,Browns 02/01 sponsorship promo amort r/c from 5730,Amort,18809.52,2001-02-01 00:00:00,
Cleveland Browns,500002651,100002341,2001-03-30 00:00:00,28333,Browns 3/01 sponsorship payment,Amort,,,
Cleveland Browns,500002651,100009716,2001-04-30 00:00:00,-28333,Browns 03/01 sponsorship promo amort r/c to 573000,Amort,,,
Cleveland Browns,500002651,100018981,2001-05-31 00:00:00,28333,Browns 03/01 sponsorship promo amort r/c from 5730,Amort,18809.52,2001-03-01 00:00:00,
Cleveland Browns,500002651,100018998,2001-05-31 00:00:00,20000,Browns 04/01 Sponsorship r/c to 51009000,Amort,18809.52,2001-04-01 00:00:00,
Cleveland Browns,500002651,100019023,2001-05-31 00:00:00,20000,Browns 05/01 Sponsorship Payment,Amort,18809.52,2001-05-01 00:00:00,
Cleveland Browns,500002651,100025758,2001-06-22 00:00:00,20000,Browns 06/01 Sponsorship Payment,Amort,18809.52,2001-06-01 00:00:00,
Cleveland Browns,500002651,100028823,2001-07-24 00:00:00,20000,Browns 07/01 Sponsorship Payment,Amort,18809.52,2001-07-01 00:00:00,
,,,,164999,,,131666.64,,33332.359999999986
,,,,,,,,,
Owens-Canada,500005880,100002337,2001-03-31 00:00:00,100000,To True up Promo pyaments for Owens Canada,Amort,,,
Owens-Canada,500005880,100009716,2001-04-30 00:00:00,-100000,Owens Canada 03/01 true-up $600 promo amort r/c to,Amort,,,
Owens-Canada,500005880,100018981,2001-05-31 00:00:00,100000,Owens Canada 03/01 true-up $600 promo amort r/c fr,Amort,100000,5/00-2/01,
Owens-Canada,500005880,100002336,2001-03-31 00:00:00,10000,Owens Canada March $600K promo payment amort,Amort,,,
Owens-Canada,500005880,100009716,2001-04-30 00:00:00,-10000,Owens Canada  03/01 promo amort r/c to 57300000,Amort,,,
Owens-Canada,500005880,100018981,2001-05-31 00:00:00,10000,Owens Canada 03/01 promo amort r/c from 57300000,Amort,10000,2001-03-01 00:00:00,
Owens-Canada,500005880,100018998,2001-05-31 00:00:00,10000,Owens Canada 04/01 $600K Promo r/c to 51009000,Amort,10000,2001-04-01 00:00:00,
Owens-Canada,500005880,100019023,2001-05-31 00:00:00,10000,Owens Canada 05/01 $600K Promo Payment,Amort,10000,2001-05-01 00:00:00,
Owens-Canada,500005880,100025758,2001-06-22 00:00:00,10000,Owens Canada 06/01 $600K Promo Payment,Amort,10000,2001-06-01 00:00:00,
Owens-Post Bankruptcy,500004994,100028823,2001-07-24 00:00:00,10000,Owens Canada 07/01 $600K Promo Payment,Amort,10000,2001-07-01 00:00:00,
,Diff Stat order # used in 7/01,,,150000,,,150000,,0
, Need to Reclass this Entry to Stat 5880,,,,,,,,
4.5 Mil Promo,,,,,,,,,
Owens-Post Bankruptcy,500004994,100000170,2001-01-31 00:00:00,84375,Owens 1/01 Promo amortization,Amort,84375,2001-01-01 00:00:00,
Owens-Post Bankruptcy,500004994,100009716,2001-04-30 00:00:00,-84375,Owens Corning 01/01 promo amort r/c to 573000000,Amort,,,
Owens-Post Bankruptcy,500004994,100018981,2001-05-31 00:00:00,84375,Owens Corning 01/01 promo amort r/c from 57300000,Amort,,,
Owens-Post Bankruptcy,500004994,100002331,2001-03-31 00:00:00,84375,Owens Corning 2/01 promo amortization,Amort,84375,2001-02-01 00:00:00,
Owens-Post Bankruptcy,500004994,100009716,2001-04-30 00:00:00,-84375,Owens Corning 02/01 promo amort r/c to 573000000,Amort,,,
Owens-Post Bankruptcy,500004994,100018981,2001-05-31 00:00:00,84375,Owens Corning 02/01 promo amort r/c from 57300000,Amort,,,
Owens-Post Bankruptcy,500004994,100002331,2001-03-31 00:00:00,84375,Owens Corning March Promo Accrual,Amort,84375,2001-03-01 00:00:00,
Owens-Post Bankruptcy,500004994,100009716,2001-04-30 00:00:00,-84375,Owens Corning 03/01 promo amort r/c  to 57300000,Amort,,,
Owens-Post Bankruptcy,500004994,100018981,2001-05-31 00:00:00,84375,Owens Corning 03/01 promo amort r/c from 57300000,Amort,,,
Owens-Post Bankruptcy,500004994,100018998,2001-05-31 00:00:00,84375,Owens Corning 04/01 Promo r/c to 51009000,Amort,84375,2001-04-01 00:00:00,
Owens-Post Bankruptcy,500004994,100019023,2001-05-31 00:00:00,84375,Owens Corning 05/01 Promo Payment,Amort,84375,2001-05-01 00:00:00,
Owens-Post Bankruptcy,500004994,100025758,2001-06-22 00:00:00,84375,Owens Corning 06/01 Promo Payment,Amort,84375,2001-06-01 00:00:00,
Owens-Post Bankruptcy,500004994,100028823,2001-07-24 00:00:00,84375,Owens Corning 07/01 Promo Payment,Amort,84375,2001-07-01 00:00:00,
,,,,590625,,,590625,,0
,,,,,,,,,
Additional Promo:,,,,,,,,,
