,Trade Date,2001-10-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
,Flow Date,2001-10-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,NP-15,NP-15,NP-15,NP-15,,,,,,,,,,,,,,,,,,,,,,
,NP-15,NP-15,NP-15,NP-15,,,,,,,,,,,,,,,,,,,,,,
,Peak Long Position Price,Peak Long Position Price,Peak Long Position Price,23.65,,,,,,,,,,,,,,,,,,,,,,
,Peak Short Position Price,Peak Short Position Price,Peak Short Position Price,24.15,,,,,,,,,,,,,,,,,,,,,,
,Off Peak Long Position Price,Off Peak Long Position Price,Off Peak Long Position Price,19.84,,,,,,,,,,,,,,,,,,,,,,
,Off Peak Short Position Price,Off Peak Short Position Price,Off Peak Short Position Price,20.34,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hours,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,TOTALS
,Generation Deals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,EES Buys,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,1008
,EES Sells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Transmission to SP-15,-17.11,-16.42,-18.59,-18.78,-7.659999999999968,29.21,-85.32000000000005,-38.62,-3.2100000000000364,23.33,41.97,49.11,33.39,45.66,45.17999999999995,38.98,20.49,-3.3500000000000227,-26.39,-38.66,-29.96,-51.35,82.91,58.77,113.57999999999984
,NP-15 Load,-569.89,-570.58,-568.41,-568.22,-579.34,-616.21,-661.68,-708.38,-743.79,-770.33,-788.97,-796.11,-805.39,-817.66,-817.18,-810.98,-792.49,-768.65,-745.61,-733.34,-717.04,-695.65,-669.91,-645.77,-16961.579999999998
,Enpower Deals,545,545,545,545,545,545,705,705,705,705,705,705,730,730,730,730,730,730,730,730,705,705,545,545,15840
,Variance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,SP-15,SP-15,SP-15,SP-15,,,,,,,,,,,,,,,,,,,,,,
,SP-15,SP-15,SP-15,SP-15,,,,,,,,,,,,,,,,,,,,,,
,Peak Long Position Price,Peak Long Position Price,Peak Long Position Price,23.78,,,,,,,,,,,,,,,,,,,,,,
,Peak Short Position Price,Peak Short Position Price,Peak Short Position Price,24.28,,,,,,,,,,,,,,,,,,,,,,
,Off Peak Long Position Price,Off Peak Long Position Price,Off Peak Long Position Price,17.32,,,,,,,,,,,,,,,,,,,,,,
,Off Peak Short Position Price,Off Peak Short Position Price,Off Peak Short Position Price,17.82,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hours,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,TOTALS
,Generation Deals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,EES Buys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
