Directory,Group Name ,Type of access,,,,,,
,,,,,,,,
Data,CalData_PwrImport,RW,,,,,,
,CalData_PwrDevelp,RW,,,,,,
,,,,,,,,
Development,CalData_PwrDevED,list,\inetpub\wwwroot\power\Enron Direct\,,,,RW,
,,,\inetpub\wwwroot\xnav\menus\,,,,RW,
,CalData_PwrDevelop,RW,,,,,,
,CalData_VolMgt,list,\inetpub\wwwroot\power\volmgmt\,,,,RW,
,,,\inetpub\wwwroot\xnav\menus\,,,,RW,
,,,,,,,,
Fundamentals,CalData_PwrFund,RW,,,,,,
,,,,,,,,
Production,CalData_PwrDevED,list,\inetpub\wwwroot\power\Enron Direct\,,,,RW,
,,,\inetpub\wwwroot\xnav\menus\,,,,RW,
,CalData_PwrDevelop,RW,,,,,,
,CalData_Update,list,\inetpub\wwwroot\common\library\structuresheet,,,,,RW
,CalData_PwrVolMgt,list,\inetpub\wwwroot\power\volmgmt\,,,,RW,
,,,\inetpub\wwwroot\xnav\menus\,,,,RW,
,,,,,,,,
Software,CalData_PwrFund,RW,,,,,,
,,,,,,,,
Trading,CalData_PwrTrading,RW,,,,,,
,,,,,,,,
Users,CalData_PwrTrading,RW,,,,,,
,CalData_PwrFund,RW,,,,,,
,CalData_PwrDevelop,RW,,,,,,
,CalData_PwrVolMgt,RW,,,,,,
,,,,,,,,
Volume Management,CalData_PwrDevelop,RW,,,,,,
,CalData_PwrVolMgt,RW,,,,,,
