Year,DWR,current curve,overmarket,Quantity (MWh) from fig. 4 of DWR Presentation,Stranded Costs ($million),Stranded Costs Discounted$million),,
2001,138,102.49999984912556,35.50000015087444,30000000,1065.0000045262332,1065.0000045262332,0.25724637790488725,
2002,106,59.24999994443103,46.75000005556897,52000000,2431.0000028895865,2170.535716865702,0.44103773637329213,
2003,89,43.66666662537801,45.33333337462199,70000000,3173.3333362235394,2529.761907065959,0.5093632963440673,
2004,75,41.66666663810607,33.33333336189393,90000000,3000.0000025704535,2135.3407452698307,0.44444444482525236,
2005,64,41.66666663810607,22.333333361893928,83000000,1853.666669037196,1178.038679509603,0.3489583337795926,
2006,61,34.916666679705166,26.083333320294834,80000000,2086.6666656235866,1184.0307050076053,0.42759562820155467,
2007,60,34.916666679705166,25.083333320294834,80000000,2006.6666656235866,1016.6397826340333,0.41805555533824723,note: forward curve past '06 is estimated
2008,60,34.916666679705166,25.083333320294834,80000000,2006.6666656235866,907.7140916375297,0.41805555533824723,
2009,60,34.916666679705166,25.083333320294834,80000000,2006.6666656235866,810.4590103906515,0.41805555533824723,
2010,59,34.916666679705166,24.083333320294834,80000000,1926.6666656235866,694.7753144216981,0.4081920901744887,
10 Year Average,77.2,46.33333330936725,30.866666690632748,72500000,2155.633334336494,1369.2295957328847,0.39982728873876616,
10 Year sum,772,463.3333330936725,308.66666690632746,725000000,21556.333343364942,13692.295957328848,0.39982728873876616,
6-year average,88.83333333333333,53.94444439580865,30.403333344608576,76750000,2264.69666731752,1399.6525548535496,0.34225140725638176,
