"Ammonia Prices, July 6, 1990 to May 5, 2000",
,
Date,Ammonia
07/06/1990,79
07/13/1990,80.5
07/20/1990,82
07/27/1990,84
08/03/1990,85
08/10/1990,89
08/17/1990,95
08/24/1990,101
08/31/1990,103
09/07/1990,105
09/14/1990,110
09/21/1990,110
09/28/1990,111
10/05/1990,114
10/12/1990,115.5
10/19/1990,115.5
10/26/1990,117
11/02/1990,117.5
11/09/1990,117.5
11/16/1990,117.5
11/23/1990,116.5
11/30/1990,116.5
12/07/1990,116.5
12/14/1990,117
12/21/1990,117
12/28/1990,116.5
01/04/1991,117
01/11/1991,117
01/18/1991,114
01/25/1991,115
02/01/1991,113
02/08/1991,113
02/15/1991,111
02/22/1991,111
03/01/1991,110
03/08/1991,108
03/15/1991,101.5
03/22/1991,98.5
03/29/1991,97
04/05/1991,96
04/12/1991,95
04/19/1991,88.5
04/26/1991,88.5
05/03/1991,84
05/10/1991,79.5
05/17/1991,79
05/24/1991,77
05/31/1991,77.5
06/07/1991,78
06/14/1991,79
06/21/1991,86.5
06/28/1991,86.5
07/05/1991,89.5
07/12/1991,95.5
07/19/1991,97.5
07/26/1991,108.5
08/02/1991,114.5
08/09/1991,115.5
08/16/1991,116
08/23/1991,116.5
08/30/1991,116.5
09/06/1991,116.5
09/13/1991,116.5
09/20/1991,117
09/27/1991,117.5
10/04/1991,119.5
10/11/1991,119.5
10/18/1991,121
10/25/1991,121.5
11/01/1991,121.5
11/08/1991,120
11/15/1991,120
11/22/1991,116.5
11/29/1991,114.5
12/06/1991,113
12/13/1991,113
12/20/1991,111
12/27/1991,99.5
01/03/1992,99.5
01/10/1992,96
01/17/1992,96
01/24/1992,91
01/31/1992,90
02/07/1992,89
02/14/1992,85.5
02/21/1992,85
02/28/1992,83.5
03/06/1992,84.3
03/13/1992,85
03/20/1992,85
03/27/1992,83.5
04/03/1992,88.5
04/10/1992,92
04/17/1992,92
04/24/1992,95.5
05/01/1992,96
05/08/1992,99
05/15/1992,99
05/22/1992,99
05/29/1992,98
06/05/1992,97
06/12/1992,97
06/19/1992,94.5
06/26/1992,93.5
07/03/1992,85.5
07/10/1992,83
07/17/1992,81.5
07/24/1992,81.5
07/31/1992,81.5
08/07/1992,81.5
08/14/1992,82
08/21/1992,82.5
08/28/1992,82
09/04/1992,82.5
09/11/1992,84
09/18/1992,86
09/25/1992,91
10/02/1992,97
