Deal Num,EOL Id,Deal Type,B/S,Counterparty,P/F,Start Date,End Date,Risk Type,Price Ref,Dlv Idx,Volume,UOM,Frequency,Position,Contract Price,Curve,Deal Value,Broker,Broker Fee,Modified By,Last Modified,Commodity,Sitara Id,System Id
1131203,2087726,FWD,BUY,Aquila Energy Marketing Corporation,PHY,2001-10-26 00:00:00,2001-10-31 00:00:00,,FX-PRICE-CASH,,5000,MMBTU,DAY,,3.13,,-4350.00343322754,,,Sitara,37188.4960185185,NG,1131203,1680569:7551445
1131201,2087721,FWD,BUY,Aquila Energy Marketing Corporation,PHY,2001-10-26 00:00:00,2001-10-31 00:00:00,,FX-PRICE-CASH,,15000,MMBTU,DAY,,3.13,,-13050.0102996826,,,Sitara,37188.4959953704,NG,1131201,1680566:7551442
YD5226.1,2087727,GDSWP,SEL,G-DAILY-EST,FIN,2001-10-26 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,-5000,MMBTU,DAY,,2.725,,1799.99713897705,,,Tagg Bridge,37188.4959259259,NG,,
YD5224.1,2087722,GDSWP,SEL,G-DAILY-EST,FIN,2001-10-26 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,-15000,MMBTU,DAY,,2.715,,4499.99227523803,,,Tagg Bridge,37188.4957291667,NG,,
YD5148.2,2087640,GDSWP,BUY,"Reliant Energy Services, Inc.",FIN,2001-10-26 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,20000,MMBTU,DAY,,2.681,,-1919.99931335449,,,Tagg Bridge,37188.4818634259,NG,,
YD5148.1,2087640,GDSWP,SEL,"Reliant Energy Services, Inc.",FIN,2001-10-26 00:00:00,2001-10-31 00:00:00,,GDP-TRCOZ6/NY,IF-TRANSCO/Z6,-20000,MMBTU,DAY,,3.101,,3120.00846862791,,,Tagg Bridge,37188.4818055556,NG,,
YD5142.2,2087633,GDSWP,BUY,"Reliant Energy Services, Inc.",FIN,2001-10-26 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,20000,MMBTU,DAY,,2.681,,-1919.99931335449,,,Tagg Bridge,37188.4806944444,NG,,
YD5142.1,2087633,GDSWP,SEL,"Reliant Energy Services, Inc.",FIN,2001-10-26 00:00:00,2001-10-31 00:00:00,,GDP-TRCOZ6/NY,IF-TRANSCO/Z6,-20000,MMBTU,DAY,,3.091,,1920.00961303709,,,Tagg Bridge,37188.4806365741,NG,,
1131159,2087579,FWD,SEL,"Reliant Energy Services, Inc.",PHY,2001-10-26 00:00:00,2001-10-31 00:00:00,,FX-PRICE-CASH,,-15000,MMBTU,DAY,,3.14,,13950.0094413757,,,Sitara,37188.4754166667,NG,1131159,1680494:7551343
YD5098.1,2087580,GDSWP,BUY,G-DAILY-EST,FIN,2001-10-26 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,15000,MMBTU,DAY,,2.725,,-5399.99141693115,,,Tagg Bridge,37188.475150463,NG,,
1128344,2082216,FWD,SEL,Aquila Energy Marketing Corporation,PHY,2001-10-26 00:00:00,2001-10-31 00:00:00,,FX-PRICE-CASH,,-5000,MMBTU,DAY,,3.025,,1200.00286102295,,,Sitara,37188.4706828704,NG,1128344,1676448:7551303
1131118,2087429,FWD,BUY,Amerada Hess Corporation,PHY,2001-11-01 00:00:00,2001-11-30 00:00:00,,IF-TETCO/M3,,5000,MMBTU,DAY,,0,,-20249.5687231354,,,Sitara,37188.4644675926,NG,1131118,1680440:7551198
1131116,2087427,FWD,SEL,Amerada Hess Corporation,PHY,2001-11-01 00:00:00,2001-11-30 00:00:00,,IF-TETCO/M3,,-5000,MMBTU,DAY,,0,,19499.5846963526,,,Sitara,37188.4613773148,NG,1131116,1680437:7551194
YD4978.1,2087429,FWD,BUY,Amerada Hess Corporation,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,,IF-TETCO/M3,5000,MMBTU,DAY,,0.0025,,1124.28121360223,,,Tagg Bridge,37188.459375,NG,,
YD4966.1,2087427,FWD,SEL,Amerada Hess Corporation,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-TETCO/M3,-5000,MMBTU,DAY,,0.4,,-1499.04071346915,,,Tagg Bridge,37188.4590509259,NG,,
