LADWP's Natural Gas Fired Generation Facilities,,,,
,,,,
Facility,Unit,Fuel,Capacity,Year of
Name,Number,,MW,Initial
,,,,Operation
Harbor Glen Stn,GT6,Natural Gas,19,1972
,GT7,Natural Gas,19,1972
,GT8,Natural Gas,19,1972
,GT9,Natural Gas,19,1972
,4,Natural Gas (Out of Service),86,1948
,5,Natural Gas (Out of Service),86,1949
Haynes Gen Stn,1,Natural Gas,222,1962
,2,Natural Gas,222,1963
,3,Natural Gas,222,1964
,4,Natural Gas,222,1964
,5,Natural Gas,341,1966
,6,Natural Gas,341,1967
Scattergood Gen Stn,1,Natural Gas,179,1958
,2,Natural Gas,179,1959
,3,Natural Gas,358,1974
Valley Gen Station,1,Natural Gas-Deactivated,95,1954
,2,Natural Gas-Deactivated,99,1954
,3,Natural Gas,163,1955
,4,Natural Gas,160,1956
TOTAL:,,,3051,
