Number of Curves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to Fetch:,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Date,2000-12-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Month,2001-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Code,NG,NG,IF-ANR/LA,IF-ANR/OK,IF-CGT/APPALAC,IF-CNG/APPALACH,IF-COLGULF/LA,IF-ELPO/PERMIAN,IF-ELPO/SJ,IF-FGT/Z3,MICH_CG-GD,IF-HEHUB,IF-HPL/SHPCHAN,NGI/CHI. GATE,IF-NGPL/MIDCON,IF-NGPLTXOK,IF-NNG/DEMARCAT,IF-NNG/TOK,IF-NNG/VENT,IF-NORAM/EAST,IF-NWPL_ROCKY_M,IF-PAN/TX/OK,IF-SONAT/LA,IF-TENN/LA,IF-TENN/TX,IF-TETCO/ELA,IF-TETCO/STX,IF-TGT/ZSL,IF-TRANSCO/Z1,IF-TRANSCO/Z3,IF-TRANSCO/Z6,IF-TRUNKL/LA,IF-TRUNKL/TX,WAHA KCBT,IF-WNG/TOK
Curve Type,PR,VO,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR
Book Type,P,P,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01 00:00:00,9.83,0.9,-0.0625,0.06,0.62,0.95,-0.0075,0.21,-0.35,-0.05,0.4,0.01,0.0075,0.85,0.05,0.02,0.5,0.16,0.4,0.03,-0.4,0.06,-0.01,-0.06,-0.2,-0.065,-0.27,0,-0.06,0.04,4.5,-0.055,-0.04,0.02,0.06
2001-02-01 00:00:00,9.23,1.13,-0.06,0.15,0.72,0.95,-0.01,0.1,-0.37,-0.05,0.85,0.01,0.02,0.85,0.14,0.1,0.6,0.25,0.5,0.1,-0.4,0.15,-0.01,-0.06,-0.24,-0.0675,-0.27,-0.01,-0.055,0.045,4.5,-0.055,0.04,0.02,0.15
2001-03-01 00:00:00,8.03,1.1,-0.0575,0.15,0.72,0.95,-0.01,0.05,-0.36,-0.05,0.85,0.01,0.02,0.85,0.14,0.1,0.7,0.25,0.6,0.1,-0.4,0.15,-0.01,-0.06,-0.2,-0.0675,-0.25,-0.01,-0.055,0.045,2.1,-0.0525,0.04,0.02,0.15
2001-04-01 00:00:00,6.01,0.65,-0.065,-0.06,0.26,0.32,-0.0225,-0.03,-0.375,-0.035,0.275,0.005,0.0225,0.2,-0.07,-0.0425,0.07,-0.11,0.06,-0.06,-0.48,-0.06,-0.0025,-0.075,-0.11,-0.0625,-0.155,-0.025,-0.07,0.02,0.6,-0.075,-0.0775,0.05,-0.06
2001-05-01 00:00:00,5.36,0.51,-0.06,-0.055,0.26,0.28,-0.0225,-0.075,-0.375,-0.03525,0.275,0.005,0.025,0.2,-0.065,-0.0375,0.075,-0.11,0.065,-0.055,-0.48,-0.055,-0.0025,-0.075,-0.11,-0.0625,-0.14,-0.025,-0.07,0.02,0.53,-0.07,-0.0725,0.05,-0.055
2001-06-01 00:00:00,5.31,0.48,-0.055,-0.05,0.26,0.31,-0.0225,-0.075,-0.375,-0.03525,0.275,0.005,0.035,0.2,-0.06,-0.0325,0.08,-0.11,0.07,-0.05,-0.48,-0.05,-0.0025,-0.075,-0.105,-0.0625,-0.14,-0.025,-0.07,0.02,0.52,-0.065,-0.0675,0.05,-0.05
2001-07-01 00:00:00,5.295,0.48,-0.055,-0.05,0.275,0.35,-0.0225,-0.01,-0.44,-0.03525,0.275,0.005,0.04,0.2,-0.06,-0.0325,0.08,-0.1,0.07,-0.05,-0.6925,-0.05,-0.0025,-0.075,-0.10560000000000001,-0.0625,-0.14,-0.025,-0.07,0.02,0.62,-0.065,-0.0675,0.05,-0.05
2001-08-01 00:00:00,5.275,0.48,-0.055,-0.05,0.27,0.35,-0.0225,0,-0.44,-0.03525,0.275,0.005,0.0425,0.2,-0.06,-0.0325,0.08,-0.08,0.07,-0.05,-0.6925,-0.05,-0.0025,-0.075,-0.105,-0.0625,-0.14,-0.025,-0.07,0.02,0.62,-0.065,-0.0675,0.05,-0.05
2001-09-01 00:00:00,5.245,0.48,-0.05,-0.045,0.25,0.3,-0.0225,0,-0.44,-0.03525,0.275,0.005,0.04,0.2,-0.055,-0.0275,0.085,-0.08,0.075,-0.045,-0.6925,-0.045,-0.0025,-0.075,-0.1125,-0.0625,-0.135,-0.025,-0.07,0.02,0.55,-0.06,-0.0625,0.05,-0.045
2001-10-01 00:00:00,5.225,0.48,-0.045,-0.04,0.25,0.33,-0.0225,-0.01,-0.41,-0.03525,0.275,0.005,0.0225,0.2,-0.05,-0.0225,0.09,-0.12,0.08,-0.04,-0.6125,-0.04,-0.0025,-0.075,-0.1125,-0.0625,-0.14,-0.025,-0.07,0.02,0.55,-0.055,-0.0575,0.05,-0.04
2001-11-01 00:00:00,5.3,0.4775,-0.07,-0.1,0.34,0.4,-0.0225,0,-0.2125,-0.0475,0.28,0.005,0.005,0.25,-0.12,-0.0725,0.165,-0.12,0.145,-0.06,-0.275,-0.1,-0.01,-0.0675,-0.14,-0.065,-0.15,-0.0275,-0.08,0.01,1.6,-0.065,-0.1325,0.04,-0.1
2001-12-01 00:00:00,5.375,0.4775,-0.07,-0.1025,0.365,0.51,-0.0225,0,-0.2125,-0.0475,0.28,0.005,-0.0175,0.25,-0.1225,-0.0725,0.185,-0.1225,0.165,-0.0625,-0.275,-0.1025,-0.01,-0.0675,-0.14,-0.065,-0.155,-0.0275,-0.08,0.01,1.8,-0.065,-0.1325,0.04,-0.1025
