date,Analyst,Terminated,Comment,Call for Additional Margin,Exposure,Counterparty,Entity,Bank,Expiry Date,Amount,Coverage,Phys Asset,Phys MTM,Fin MTM,Issue Date,Effective Date,Type,LC Number,Currency
2002-06-01 00:00:00,Tanya,No,fail to pay in accorance with master or renew,No,810249,"Dispatch Printing Company Inc., The",ENA,"Bank One, Texas, National Association",2002-06-01 00:00:00,3000000,DEALALL,N,N,Y,1999-06-01 00:00:00,1999-06-01 00:00:00,STANDBY,STR13663,USD
,Tanya,No,90 day auto-renew; event of default under confirm; failure to pay term pmt,No,60663,Ferrell International Limited,ENA,Paribas,2000-08-13 00:00:00,600000,DEAL,N,N,Y,2000-06-13 00:00:00,2000-06-13 00:00:00,STANDBY,91854130,USD
,Tanya,No,in default or failure to renew,No,-642022,Deseret Generation & Transmission Coop.,ENA,Zions First National Bank,2002-10-31 00:00:00,5750000,CONTRACT,N,N,Y,1999-12-28 00:00:00,1999-12-28 00:00:00,STANDBY,9590,USD
,Tanya,No,event of default under master,No,471698,Gaylord Container Corporation,ENA,Bankers Trust Company,2001-02-01 00:00:00,500000,CONTRACT,N,N,Y,2000-02-01 00:00:00,2000-02-01 00:00:00,STANDBY,S-13288,USD
,Tanya,No,failure to pay in accordance w/master; event of default; failure to renew,Yes,5002003,Energy West Incorporated,ECC,"Wells Fargo Bank, N.A.",2001-02-21 00:00:00,3200000,CONTRACT,N,N,Y,2000-09-28 00:00:00,2000-09-28 00:00:00,STANDBY,S407930/NVS372331,USD
2002-08-01 00:00:00,Tanya,No,failure to renew; failure to pay,No,360099,AmeriMark Direct LLC,ENA,Keybank National Association,2002-07-07 00:00:00,500000,CONTRACT,N,N,Y,1999-06-29 00:00:00,1999-06-29 00:00:00,STANDBY,S99/96152,USD
,Tanya,Yes,failure to pay,Yes,644438,"Energy Service Providers, LLC",EGL,Bank of America Corporation,2001-12-21 00:00:00,420000,DEAL,Y,N,N,2001-11-16 00:00:00,2001-11-16 00:00:00,STANDBY,7406071,USD
,Tanya,No,failure to pay,No,-118500,Trafigura AG,ERAC,BNP Paribas,2001-12-21 00:00:00,3922500,DEAL,Y,N,N,2001-10-24 00:00:00,2001-10-24 00:00:00,STANDBY,91859931,USD
,Tanya,No,payable on demand,Yes,34924875,EPCOR Energy Services (Alberta) Inc.,ECC,"Royal Bank of Canada, The",2001-12-27 00:00:00,25000000,CONTRACT,Y,Y,N,2001-10-23 00:00:00,2001-10-23 00:00:00,STANDBY,P118429C03749,USD
,Tanya,Yes,no copy in binder,Yes,1491982,Vitol S.A. Inc.,EGL,Societe Generale,2001-12-28 00:00:00,910350,DEAL,Y,N,N,2001-11-20 00:00:00,2001-11-20 00:00:00,STANDBY,N.SOL.00707,USD
,Tanya,Yes,failure to pay; falure to renew; original sent to Otto in Calgary,No,-2758905,Engage Energy Canada L.P.,ECC,The Toronto-Dominion Bank,2001-12-30 00:00:00,19000000,CONTRACT,N,N,Y,2001-11-01 00:00:00,2001-11-01 00:00:00,STANDBY,G590801,USD
,Tanya,No,failure to pay invoice,No,252081,Glencore AG,EGL,"ANZ Banking Group, Ltd.",2001-12-30 00:00:00,459375,PROD,Y,N,N,2001-10-29 00:00:00,2001-10-29 00:00:00,STANDBY,S019600/1002,USD
,Tanya,Yes,Deals Terminated; Payment received,,,"Constellation Power Source, Inc.",ENA,"Bank of America, N.A., Trade Operations",2001-12-31 00:00:00,20000000,CONTRACT,N,N,Y,2001-10-25 00:00:00,2001-10-25 00:00:00,STANDBY,3041628,USD
,Tom,No,No copy in binder;Tom looking into.,No,4452,Ballarpur Industries Limited,ENA,ABN AMRO Bank N.V.,2001-12-31 00:00:00,18400,DEALALL,Y,Y,N,2001-11-27 00:00:00,2001-11-27 00:00:00,STANDBY,FND-002388/2001,USD
,Tanya,No,"""$ have become due on date of demad""; auto reduce",No,6122508,"Enserco Energy, Inc.",ENA,"Bank of America, National Association",2001-12-31 00:00:00,8000000,CONTRACT,N,N,Y,2000-03-28 00:00:00,2000-03-28 00:00:00,STANDBY,3024519,USD
,VE,No,Default of one or more agreements,No,989494,"Niagara Mohawk Energy Marketing, Inc.",ENA,HSBC Bank USA,2001-12-31 00:00:00,3100000,PROD,N,N,Y,2000-01-13 00:00:00,2000-01-13 00:00:00,STANDBY,SDCMBF800212,USD
,VE,No,No copy in binder,No,13669,"Metromedia Energy, Inc.",ENA,The Chase Manhattan Bank,2001-12-31 00:00:00,3000000,PROD,Y,N,N,2000-11-29 00:00:00,2000-11-29 00:00:00,STANDBY,P-207846,USD
,VE,No,"Invoices remain past due, or default under one or more agreements",No,188928,Simpson Tacoma Kraft Company,ENA,"Bank of America, National Association",2001-12-31 00:00:00,2000000,PROD,Y,Y,N,2001-03-08 00:00:00,2001-03-08 00:00:00,STANDBY,3035505,USD
