,,,,,,,,,,,,,,,,For Internal Use Only
 Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report, Interstate Pipeline Capacity to California Report
,,,,,,,,,,,,,,,,
Revised:  09/14/01,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Date:,,,,,,,,,,Contract,,,,
Pipeline/,,Announced (A),,Docket,,Capacity,,,,Estimated,,Status,,Projected,,
    Project,,Filed (F),,No.,,(Mmcf/d),,Del. Pt.,,Costs (Millions),,(Mmcf/d),,In-Service Date,,Status/Comments
,,,,,,,,,,,,,,,,
Transwestern Pipeline Co.,,03/29/01 (F),,CP01-115,,150,,"Topock, Calpine &",,93.3,,106.7,,2002-06-01 00:00:00,,Accepted 7/16 Order on 7/19/01.  Filed Affirmative Statement on 7/27/01.
Red Rocks Expansion,,,,,,,,Needles,,,,,,,,
,,,,,,,,,,,,,,,,
Transwestern Pipeline Co.,,08/08/01 (A),,,,780,,Phoenix & CA,,,,,,2004-01-01 00:00:00,,TW received bids for more than 1.3 Bcf/d of capacity.  Press release issued 9/11/01
Sun Devil Expansion ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
El Paso Line No. 2000,,07/31/00 (F),,CP00-422-000,,230,,Ehrenberg,,153.1,,None,,2001-08-01 00:00:00,,Certificate Issued 5/7/01.  On 7/19/01 received approval to clean line.
,,03/15/01 (F),,CP00-422-001,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PG&E GT NW,,04/02/0l  (F),,CP01-141,,211,,Malin,,122,,200,,Ph. I Nov-01,,FERC issued a Notice to proceed w/construction on 8/14/01.
2002 Expansion,,,,,,,,,,,,,,Ph. II Sum. 02,,
,,,,,,,,,,,,,,,,
Questar - Southern Trails,,01/19/99 (F),,CP99-163-000,,East Zone 87.5,,Topock,,155,,,,2001-12-01 00:00:00,,Received Commission Order 7/28/00.  Updated Env. Plan filed on 7/2/01.
,,,,CP99-163-001,,West Zone 120,,,,,,,,2002-07-01 00:00:00,,
,,,,,,,,,,,,,,,,
Kern River 2002,,11/15/00 (F),,CP01-31-000,,124,,Wheeler Ridge,,80,,,,2002-05-01 00:00:00,,Firm Customer Group filed Request For Rehearing on Wheeler Ridge take-away capacity issue.
,,05/11/00 (F),,CP01-31-001,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
North Baja Pipeline,,11/1/00 (F),,CP01-22,,500,,Ehrenberg to,,213,,,,2002-09-01 00:00:00,,FERC issued a Draft EA finding the project to have limited adverse impact.
,,,,,,,,"Ogilby, MX",,,,,,,,
,,,,,,,,,,,,,,,,
Otay Mesa Gen. Co.,,4/6/01 (F),,CP01-145,,110,,MX/CA Border,,,,,,2002-09-01 00:00:00,,FERC issued a Presidential Permit to import gas.
,,,,,,,,,,,,,,,,
Kern River,,7/18/01(F),,CP01-405,,282,,Victorville,,28.9,,282,,2002-09-01 00:00:00,,Kern filed an answer to SWG protest arguing that SWG has not filed its alt. proposal.
High Dessert Lateral,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kern River,,08/01/01 (F),,CP01-422,,885,,CA Border,,1.26 Billion,,885,,2003-05-01 00:00:00,,Joint Notice of Intent to prepare an EIS was issued.
2003 Expansion,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kern River--Kramer ,,6/15/01 (A),,,,500,,Kramer Junc.,,,,,,2001-12-01 00:00:00,,New meter station if 2002 -2003 expansion shippers move to Kramer Junction Del. Point from Wheeler Ridge.
Junction Interconnect,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kinder-Morgan/,,05/03/01 (A),,,,Ph. I  750,,Needles,,Ph. I  $624,,Ph. I   400,,Summer 2003,,Open season ended June 1.  Rec'd requests for 1 Bcf in Ph. I and l.5 Bcf in Ph. II.
Calpine-Sonoran Pipeline,,,,,,Ph II 1000,,,,Ph. II  $1.1 billion,,Ph. II  500,,Yet TBD,,
,,,,,,,,,,,,,,,,
El Paso  Line 2000,,07/09/01(A),,,,320,,Ehrenberg,,,,,,Mid-2003,,Open Season ends Aug. 2.
Power-up Expansion,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PG&E GT NW,,05/07/01 (A),,,,300-500,,Malin,,,,,,2003-11-01 00:00:00,,"Open Season ended June 19, 2001.  Rec'd binding agreements for 250MMcf/d."
2003 Expansion,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CIG - Ruby Pipeline,,11/19/98 (A),,,,750,,Northern Ca. & Wild Goose Storage.,,,,,,Late-03,,Extended open season ended June 22.
