"TW SAN JUAN (BLANCO) GAS DAILY PRICES - JANUARY 1, 1998 FORWARD",,,
,,,
,,,
,,,
Price Point Name,Transaction Date,Flow Date,Average $/MMBtu
,,,
TW SJ (BLANCO),1997-12-31 00:00:00,1998-01-02 00:00:00,2.175
TW SJ (BLANCO),1998-01-02 00:00:00,1998-01-03 00:00:00,2.04
TW SJ (BLANCO),1998-01-02 00:00:00,1998-01-04 00:00:00,2.04
TW SJ (BLANCO),1998-01-02 00:00:00,1998-01-05 00:00:00,2.04
TW SJ (BLANCO),1998-01-05 00:00:00,1998-01-06 00:00:00,2.01
TW SJ (BLANCO),1998-01-06 00:00:00,1998-01-07 00:00:00,2.1
TW SJ (BLANCO),1998-01-07 00:00:00,1998-01-08 00:00:00,2.1
TW SJ (BLANCO),1998-01-08 00:00:00,1998-01-09 00:00:00,2.085
TW SJ (BLANCO),1998-01-09 00:00:00,1998-01-10 00:00:00,2.06
TW SJ (BLANCO),1998-01-09 00:00:00,1998-01-11 00:00:00,2.06
TW SJ (BLANCO),1998-01-09 00:00:00,1998-01-12 00:00:00,2.06
TW SJ (BLANCO),1998-01-12 00:00:00,1998-01-13 00:00:00,1.905
TW SJ (BLANCO),1998-01-13 00:00:00,1998-01-14 00:00:00,1.93
TW SJ (BLANCO),1998-01-14 00:00:00,1998-01-15 00:00:00,1.94
TW SJ (BLANCO),1998-01-15 00:00:00,1998-01-16 00:00:00,1.96
TW SJ (BLANCO),1998-01-16 00:00:00,1998-01-17 00:00:00,1.96
TW SJ (BLANCO),1998-01-16 00:00:00,1998-01-18 00:00:00,1.96
TW SJ (BLANCO),1998-01-16 00:00:00,1998-01-19 00:00:00,1.96
TW SJ (BLANCO),1998-01-19 00:00:00,1998-01-20 00:00:00,1.955
TW SJ (BLANCO),1998-01-20 00:00:00,1998-01-21 00:00:00,1.96
TW SJ (BLANCO),1998-01-21 00:00:00,1998-01-22 00:00:00,1.925
TW SJ (BLANCO),1998-01-22 00:00:00,1998-01-23 00:00:00,1.915
TW SJ (BLANCO),1998-01-23 00:00:00,1998-01-24 00:00:00,1.865
TW SJ (BLANCO),1998-01-23 00:00:00,1998-01-25 00:00:00,1.865
TW SJ (BLANCO),1998-01-23 00:00:00,1998-01-26 00:00:00,1.865
TW SJ (BLANCO),1998-01-26 00:00:00,1998-01-27 00:00:00,1.8
TW SJ (BLANCO),1998-01-27 00:00:00,1998-01-28 00:00:00,1.77
TW SJ (BLANCO),1998-01-28 00:00:00,1998-01-29 00:00:00,1.775
TW SJ (BLANCO),1998-01-29 00:00:00,1998-01-30 00:00:00,1.775
TW SJ (BLANCO),1998-01-30 00:00:00,1998-01-31 00:00:00,1.775
TW SJ (BLANCO),1998-01-30 00:00:00,1998-02-01 00:00:00,1.775
TW SJ (BLANCO),1998-01-30 00:00:00,1998-02-02 00:00:00,1.775
TW SJ (BLANCO),1998-02-02 00:00:00,1998-02-03 00:00:00,1.775
TW SJ (BLANCO),1998-02-03 00:00:00,1998-02-04 00:00:00,2.055
TW SJ (BLANCO),1998-02-04 00:00:00,1998-02-05 00:00:00,2.055
TW SJ (BLANCO),1998-02-05 00:00:00,1998-02-06 00:00:00,2.04
TW SJ (BLANCO),1998-02-06 00:00:00,1998-02-07 00:00:00,2.04
TW SJ (BLANCO),1998-02-06 00:00:00,1998-02-08 00:00:00,2.04
TW SJ (BLANCO),1998-02-06 00:00:00,1998-02-09 00:00:00,2.04
TW SJ (BLANCO),1998-02-09 00:00:00,1998-02-10 00:00:00,2.04
TW SJ (BLANCO),1998-02-10 00:00:00,1998-02-11 00:00:00,2.01
TW SJ (BLANCO),1998-02-11 00:00:00,1998-02-12 00:00:00,2.055
TW SJ (BLANCO),1998-02-12 00:00:00,1998-02-13 00:00:00,2.055
TW SJ (BLANCO),1998-02-13 00:00:00,1998-02-14 00:00:00,2.055
TW SJ (BLANCO),1998-02-13 00:00:00,1998-02-15 00:00:00,2.055
TW SJ (BLANCO),1998-02-13 00:00:00,1998-02-16 00:00:00,2.055
TW SJ (BLANCO),1998-02-13 00:00:00,1998-02-17 00:00:00,2.055
TW SJ (BLANCO),1998-02-17 00:00:00,1998-02-18 00:00:00,2.02
TW SJ (BLANCO),1998-02-18 00:00:00,1998-02-19 00:00:00,2.06
TW SJ (BLANCO),1998-02-19 00:00:00,1998-02-20 00:00:00,2.12
TW SJ (BLANCO),1998-02-20 00:00:00,1998-02-21 00:00:00,2.12
TW SJ (BLANCO),1998-02-20 00:00:00,1998-02-22 00:00:00,2.12
TW SJ (BLANCO),1998-02-20 00:00:00,1998-02-23 00:00:00,2.12
TW SJ (BLANCO),1998-02-23 00:00:00,1998-02-24 00:00:00,2.015
TW SJ (BLANCO),1998-02-24 00:00:00,1998-02-25 00:00:00,2.02
TW SJ (BLANCO),1998-02-25 00:00:00,1998-02-26 00:00:00,2.04
TW SJ (BLANCO),1998-02-26 00:00:00,1998-02-27 00:00:00,2.09
