,Midamerican's Northern Natural OBA calculation for Cedar Rapids and Quad Cities,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Applicable,,,
,,,,,,,Imbalances,,,,,Cash out Tier,,,
,,,,,,,over  the,,,,,T1 <+/-20k@100%,,Daily,Daily Valuation
,,,,,,,Daily Threshold,,Volumes used,Demarc,,T2  +/-20 to 40k@90%/110%,,Valuation ,for Daily Imb
,,,,,,Daily,(not included in,Cummulative,to calculate,Gas,,T3  >+/-40k@80%/120%,,for Monthly,above
,,,Day,Nomination,Actual,Imbalance,monthly cum.,Imbalance,monthly excess,Daily,100%,90%/110%,80%/120%,Excess,Threshold
,,,1,30000,50000,-20000,0,-20000,,4,,,,0,0
,,,2,25000,45000,-20000,0,-40000,,4.1,,,,0,0
,,,3,32000,49000,-17000,0,-57000,,4.13,,,,0,0
,,,4,28000,45000,-17000,0,-74000,,4.16,,,,0,0
,,,5,25000,44000,-19000,0,-93000,,4.19,,,,0,0
,,,6,22000,38000,-16000,0,-109000,,4.220000000000001,,,,0,0
,,,7,27000,41000,-14000,0,-123000,,4.250000000000001,,,,0,0
,"Day w/ Imb > 20,000",,8,24000,50000,-26000,-4800,-144200,,4.280000000000001,,,,0,20544.000000000007
,,,9,23400,38000,-14600,0,-158800,,4.310000000000001,,,,0,0
,"Day w/ Imb > 20,000",,10,22800,48000,-25200,-4060,-179940,,4.340000000000002,,,,0,17620.400000000005
,,,11,22200,40000,-17800,0,-197740,,4.370000000000002,,,,0,0
,,,12,21600,35000,-13400,0,-211140,,4.400000000000002,,,,0,0
,,,13,21000,36000,-15000,0,-226140,,4.430000000000002,,,,0,0
,,,14,20400,37000,-16600,0,-242740,,4.460000000000003,,,,0,0
,,,15,25000,38000,-13000,0,-255740,,4.490000000000003,,,,0,0
,,,16,27000,39000,-12000,0,-267740,,4.520000000000003,,,,0,0
,,,17,31000,50000,-19000,0,-286740,,4.550000000000003,,,,0,0
,Balance Day,,18,34000,41000,-7000,-5300,-288440,,4.580000000000004,,,,0,24274.00000000002
,,,19,29000,41000,-12000,0,-300440,,4.610000000000004,,,,0,0
,,,20,30000,40000,-10000,0,-310440,,4.640000000000004,,,,0,0
,,,21,31000,48000,-17000,0,-327440,,4.670000000000004,,,,0,0
,,,22,26000,41000,-15000,0,-342440,,4.700000000000005,,,,0,0
,,,23,25000,35000,-10000,0,-352440,,4.730000000000005,,,,0,0
,Balance Day,,24,32000,36000,-4000,-2400,-354040,,4.760000000000005,,,,0,11424.000000000013
,,,25,33000,51000,-18000,0,-372040,,4.790000000000005,,,,0,0
,,,26,28000,47000,-19000,0,-391040,,4.820000000000006,,,,0,0
,,,27,25000,44000,-19000,0,-410040,,4.850000000000006,,,,0,0
,Peel Back Day ,,28,28000,48000,-20000,0,-430040,14040,4.880000000000006,14040,,,68515.20000000008,0
,,,29,32000,16000,16000,0,-414040,0,4.910000000000006,0,,,0,0
,Peel Back Day ,,30,34000,52000,-18000,0,-432040,18000,4.940000000000007,5960,12040,,94867.76000000013,0
,Peel Back Day ,,31,35000,54000,-19000,0,-451040,19000,4.970000000000007,0,7960,11040,109359.88000000015,0
,,,,849400,1317000,-467600,-16560,-451040,51040,,20000,20000,11040,272742.8400000003,73862.40000000004
,,,,,,,,,,,,,,,
,,,,,,,,,,,MIP,4.3,,,
,MIP Price,,4.3,(example price),,,,,,,(example only),,,,
,MIP Price is calculated per Tariff as of Aug. 31 2000,,,,,,,,,,,,,,
,Imbalances over daily threshold allow for 5% tolerance of nominations.,,,,,,,,,,,,,,
,Imbalances over daily thresholds at Daily Price.,,,,,,,,,,,,,,
,Imbalances over daily thresholds not in monthly threshold.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,Monthly Charges,,,,,,Total Imbalance,
,,,,,,,,(not including transportation),,Price,,,,charges,
,,,,,,,,Monthly excess,-51040,5.34370768025079,,,,272742.8400000003,
,,,,,,,,Daily execess,-16560,4.460289855072466,,,,73862.40000000004,
,,,,,,,,MIP imbalance,-400000,4.3,,,,1720000,
,,,,,,,,Total Monthly Imbalance,-467600,,,,,2066605.2400000002,
