Page: 1                                                                                                                        VSMTMACCT                                                                                                                   30NOV01 09:36,,,,,,,,,,,,,,,,,,,,,
ZAI*NET v6.02                                                                                                         Database: zainet_adhoc_prod                                                                                                            a/o 29NOV01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
                                                                                                               ETS MTM Financial Position and P&L report,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Company,Book,Group,Group Desc,Tnum,Trd Date,Start,End,Del Mo,Market,Comp,B/S,P/C,Instrument,Volume,Price 1,Price 2,Trd Diff,MTM,cpty_xref,Cpty,hedge_spec
NNG,NTHE,00002,Base Gas,AAA264,2000-05-31 00:00:00,2002-10-01 00:00:00,2002-10-31 00:00:00,2002-10-01 00:00:00,IFERC,DEMARC,S,0,FIXED SWAP,-4000000,2.7492,3.3,0,8014118.0200000005,NK7775.1 Total,RMTC,SPEC
NNG,NTHS,00008,Basis Back to Back,AAA483,2001-01-10 00:00:00,2002-04-01 00:00:00,2002-04-30 00:00:00,2002-04-01 00:00:00,NYMEX,NG,B,0,BASIS SWAP,-500000,2.577,2.667,0.01,-49658.53,QK7503.1 Total,RMTC,SPEC
NNG,NTHS,0000P,Basis Back to Back,AAA715,2001-06-25 00:00:00,2001-12-01 00:00:00,2001-12-31 00:00:00,2001-12-01 00:00:00,NYMEX,NG,S,0,BASIS SWAP,500000,2.296,2.316,-0.0125,3749.09,VJ5699.1 Total,RMTC,SPEC
,,,,,,,,,,,,,,,,,,7968208.58,Income hit,,
,,,,,,,,,,,,,,,,,,,,,
NNG,NTHE,00002,Base Gas,AAA810,2001-10-24 00:00:00,2002-06-01 00:00:00,2002-10-31 00:00:00,2002-10-01 00:00:00,NYMEX,NG,B,0,FIXED SWAP,775000,2.8392,3.1,0,-982833.4400000001,YD6460.1 Total,RMTC,HEDGE
NNG,NTHE,00002,Base Gas,AAA815,2001-10-30 00:00:00,2002-06-01 00:00:00,2002-06-30 00:00:00,2002-06-01 00:00:00,NYMEX,NG,B,0,FIXED SWAP,316667,2.767,3.275,0,-159236.29,YF5420.1 Total,RMTC,HEDGE
NNG,NTHE,00002,Base Gas,AAA816,2001-10-30 00:00:00,2002-07-01 00:00:00,2002-07-31 00:00:00,2002-07-01 00:00:00,NYMEX,NG,B,0,FIXED SWAP,825000,2.812,3.275,0,-377456.41,YF5420.2 Total,RMTC,HEDGE
NNG,NTHE,00002,Base Gas,AAA817,2001-10-30 00:00:00,2002-08-01 00:00:00,2002-08-31 00:00:00,2002-08-01 00:00:00,NYMEX,NG,B,0,FIXED SWAP,825000,2.857,3.275,0,-340011.47,YF5420.3 Total,RMTC,HEDGE
NNG,NTHE,00002,Base Gas,AAA818,2001-10-30 00:00:00,2002-09-01 00:00:00,2002-09-30 00:00:00,2002-09-01 00:00:00,NYMEX,NG,B,0,FIXED SWAP,850000,2.865,3.275,0,-342876.51,YF5420.4 Total,RMTC,HEDGE
NNG,NTHE,00002,Base Gas,AAA819,2001-10-30 00:00:00,2002-10-01 00:00:00,2002-10-31 00:00:00,2002-10-01 00:00:00,NYMEX,NG,B,0,FIXED SWAP,1358333,2.895,3.275,0,-506717.61,YF5420.5 Total,RMTC,HEDGE
,,,,,,,,,,,,,,,,,,-2709131.73,OCI increase,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,NNG,5259076.85,Net Cash Flow exposure,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Company,Book,Group,Group Desc,Tnum,Trd Date,Start,End,Del Mo,Market,Comp,Buy/Sell,Put/Call,Instrument,Volume,Price 1,Price 2,Trd Diff,MTM,cpty_xref,Cpty,hedge_spec
TW,TTFW,00009,Fuel Hedge,AAA212,2000-05-18 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,2001-12-01 00:00:00,IFERC,PERMEP,S,0,FIXED SWAP,-155000,2.2533333333333334,3.23,0,137916.61,NI8156.1 Total,RMTC,HEDGE
TW,TTFW,00009,Fuel Hedge,AAA342,2000-05-30 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,2001-12-01 00:00:00,IFERC,PERMEP,S,0,FIXED SWAP,-155000,2.2533333333333334,3.74,0,216947.48,NK4742.1 Total,RMTC,HEDGE
TW,TTFW,00009,Fuel Hedge,AAA214,2000-08-02 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,2001-12-01 00:00:00,IFERC,PERMEP,S,0,FIXED SWAP,-155000,2.2533333333333334,3.6300000000000003,0,199901.61,NT6154.1 Total,RMTC,HEDGE
TW,TTFW,00009,Fuel Hedge,AAA213,2000-08-16 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,2001-12-01 00:00:00,IFERC,PERMEP,S,0,FIXED SWAP,-155000,2.2533333333333334,3.5849999999999995,0,192928.29,NV5358.1 Total,RMTC,HEDGE
TW,TTTW,00004,Transport Hedge,AAA364,2001-01-12 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,2002-12-01 00:00:00,IFERC,SJUAN,B,0,BASIS SWAP,852500,2.545416666666667,2.8229166666666665,-0.26999999999999985,-77618.07,QL2915.1 Total,RMTC,HEDGE
TW,TTTW,00004,Transport Hedge,AAA620,2001-01-12 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,2002-12-01 00:00:00,NGI,SOCAL,S,0,BASIS SWAP,-852500,2.896666666666666,2.8229166666666665,1.0500000000000005,9679850.590000002,QL2918.1 Total,RMTC,HEDGE
TW,TTTW,00007,Transport Hedge,AAA616,2001-01-16 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00,2003-12-01 00:00:00,NGI,SOCAL,S,0,BASIS SWAP,-1162500,3.4349166666666675,3.241999999999999,1.0300000000000002,10944002.059999999,QL5357.1 Total,RMTC,HEDGE
TW,TTTW,00007,Transport Hedge,AAA356,2001-01-16 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00,2003-12-01 00:00:00,IFERC,SJUAN,B,0,BASIS SWAP,1162500,2.9994999999999994,3.241999999999999,-0.14999999999999994,-1212500.87,QL5358.1 Total,RMTC,HEDGE
TW,TTTW,00006,Transport Hedge,AAA359,2001-01-16 00:00:00,2001-12-01 00:00:00,2001-12-31 00:00:00,2001-12-01 00:00:00,IFERC,SJUAN,B,0,BASIS SWAP,418500,2.146,2.316,-0.21,16735.95,QL5363.1 Total,RMTC,HEDGE
TW,TTTW,00006,Transport Hedge,AAA619,2001-01-16 00:00:00,2001-12-01 00:00:00,2001-12-31 00:00:00,2001-12-01 00:00:00,NGI,SOCAL,S,0,BASIS SWAP,-418500,2.366,2.316,0.9,355638.9,QL5365.1 Total,RMTC,HEDGE
TW,TTTW,00005,Transport Hedge,AAA618,2001-01-16 00:00:00,2002-11-01 00:00:00,2002-12-31 00:00:00,2002-12-01 00:00:00,NGI,SOCAL,S,0,BASIS SWAP,-666500,3.3150000000000004,3.1900000000000004,0.85,929360.82,QL5424.1 Total,RMTC,HEDGE
TW,TTTW,00005,Transport Hedge,AAA357,2001-01-16 00:00:00,2002-11-01 00:00:00,2002-12-31 00:00:00,2002-12-01 00:00:00,IFERC,SJUAN,B,0,BASIS SWAP,666500,2.975,3.1900000000000004,-0.15,-83322.01000000001,QL5444.1 Total,RMTC,HEDGE
TW,TTTW,00007,Transport Hedge,AAA617,2001-01-17 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00,2003-12-01 00:00:00,NGI,SOCAL,S,0,BASIS SWAP,-356500,3.4349166666666675,3.241999999999999,1.16,3877324.93,QL9270.1 Total,RMTC,HEDGE
TW,TTTW,00007,Transport Hedge,AAA354,2001-01-17 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00,2003-12-01 00:00:00,IFERC,SJUAN,B,0,BASIS SWAP,356500,2.9994999999999994,3.241999999999999,-0.1400000000000001,-411923.15,QL9273.1 Total,RMTC,HEDGE
