CITIZEN'S COMMUNICATION COMPANY,,,,,,,,,,,,,,,,,,,,,
Gas Dispatch Department,,,,,,,,,,,,,,,,,,,,,
Daily Nomination Form,,,,,,,,,,,,,,,,,,,,,
Today's Date:,2018-12-04 16:09:41.680000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Customer:,"Griffith Energy, LLC",,,,,,Citizen's Gas Control Contacts,,,,Griffith Gas Control Contact:,,,,,,,,,,
Supplier: ,"Duke Energy Trading and Marketing, LLC",,,,,,,,,,,,,,,,,,,,
Gas Control Contact:,MaryAnne Schneider,,Becky Newson,,,,Contact Name:,,Amy Mulligan,,Contact Name:,,Ken Gruhl,,,,,,,,
Phone Number:,801-537-3985,,801-531-5442,,,,Phone:,,713-853-0439,,Phone:,,928-718-0102,,,,,,,,
Cell Phone Number:,801-580-1466,,801-556-4475,,,,Cell:,,,,Cell:,,928-727-0715,,,,,,,,
Fax Number:,801-531-5471,,801-531-5471,,,,Fax:,,713-646-8000,,Fax:,,928-718-0727,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Nomination Effective Dates :,,,Legend:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Timely or Intraday,Timely,,Cycle 1,,10.30 AM,,Timely,,,,,,,,,,,,,,
Effective Gas Cycle:,1,,Cycle 2,,17:00:00,,Evening,,,,,,,,,,,,,,
Beginning Gas Day (8:00 AM):,2002-02-03 00:00:00,,Cycle 3,,09:00:00,,Intraday 1,,,,,,,,,,,,,,
Ending Gas Day (8:00 AM):,2002-02-03 00:00:00,,Cycle 4,,16:00:00,,Intraday 2,,,,,,,,,,,,,,
Until further notice,,,,,All times prevailing Mountain Time,,,,,,,,,,,,,,,,
, [check box if applicable],,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Nomination,,Nomination,,Nomination,,Nomination,,Nomination,,Nomination,,DETM,,,,,,,,
,Transaction,,Transaction,,Transaction,,Transaction,,Transaction,,Transaction,,Account,,,,,,,,
,No. 1,,No. 2,,No. 3,,No. 4,,No. 5,,No. 6,,Total,,,,,,,,
Interstate Pipeline,Transwestern,,Transwestern,,Transwestern,,Transwestern,,El Paso,,Transwestern,,,,,,,,,,
Nomination Type,Transport,,Transport,,Transport,,Transport,,Transport,,Title Transfer,,,,,,,,,,"Normal = Gas for Transport to Plant, Tranfer = Title Transfer at Interconnect"
P/L Delivery Point into Citizens,78069,,78069,,78069,,78069,,288615,,78069,,,,,,,,,,  [See Worksheet]
P/L Delivery Quantity,18000,,,,,,,,,,,,18000,,,,,,,,  MMbtu
P/L Shipper Contract (upstream),26372,,,,,,,,,,,,,,,,,,,,  [Determined by Shipper]
P/L Package ID (upstream's pkg #),,,,,,,,,,,,,,,,,,,,,  [Determined by Shipper]
