'file:///tracy_geaccone__40395__NNG3rdCEEM.xls'#$Sales&Liq-COS,,,,,,,,,,,,,,,,
PRINT: PRT.1,,,,,,,,,,,,,,,,
2001 CURRENT ESTIMATE,2019-11-04 16:14:29.065,ACT.,ACT.,ACT.,ACT.,ACT.,ACT.,ACT.,ACT.,3rd CE,3rd CE,3rd CE,3rd CE,TOTAL,AUGUST,ESTIMATE
,2019-11-04 16:14:29.065,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,2001,Y-T-D,R.M.
,,,,,,,,,,,,,,,,
Merchant Service ($000's),,,,,,,,,,,,,,,,
   Gas Sales - Miscellaneous,,938,1057,640,13700,9784,6168,664,332,0,0,0,0,33283,33283,0
      - Item 2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      - Other ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      - Base Gas Sale ??? / Monetization ??? ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      - Other ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Hyperion Entry / Reversal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
      Total Merchant Service Revenue,,938,1057,640,13700,9784,6168,664,332,0,0,0,0,33283,33283,0
,,,,,,,,,,,,,,,,
Liquids Revenue ($000's),,,,,,,,,,,,,,,,
   Condensate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Other   ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Other   ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Other   ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Hyperion Entry / Reversal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
      Total Liquids Revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
Sales & Liquids Rev. Adjust.   (NON-CASH ITEMS ONLY),,,,,,,,,,,,,,,,
   Suspense Gas Adjustment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Penalty - Misc.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Other   ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Other   ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Other   ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Hyperion Entry / Reversal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
      Total Sales & Liquids Revenue Adjustments,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
   TOTAL GAS & LIQUID SALES REVENUE,,938,1057,640,13700,9784,6168,664,332,0,0,0,0,33283,33283,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
COST OF SALES ($000's),,,,,,,,,,,,,,,,
   Gas Purchases (Item 1),,959,1057,640,13703,9785,6168,663,336,0,0,0,0,33311,33311,0
   Item 2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Hyperion Entry / Reversal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
      TOTAL COST OF SALES,,959,1057,640,13703,9785,6168,663,336,0,0,0,0,33311,33311,0
