SLN 2848,,,,,,,Unauthorized Gas - Allocated when cum. penalty exceeds 5000,,,,
,FOM Nom,Nom Change,Flow,Imbalance,Cum. Imb.,,Nom Change,Sched. * 1.20,Flow,Penalty,Cum.Penalty
1,2400,2400,3661,-1261,,,2400,2880,3661,781,
2,2400,2400,3747,-1347,-2608,,2400,2880,3747,867,1648
3,2400,2400,3671,-1271,-3879,,2400,2880,3671,791,2439
4,2400,2400,3544,-1144,-5023,,2400,2880,3544,664,3103
5,2400,2400,3396,-996,-6019,,2400,2880,3396,516,3619
6,2400,2400,3325,-925,-6944,,2400,2880,3325,445,4064
7,2400,2400,3306,-906,-7850,,2400,2880,3306,426,4490
8,2400,2400,4028,-1628,-9478,,2400,2880,4028,1148,5638
9,3500,3500,4869,-1369,-10847,,3500,4200,4869,669,6307
10,3500,3500,4587,-1087,-11934,,3500,4200,4587,387,6694
11,5500,5000,4383,617,-11317,,5000,6000,4383,0,6694
12,5500,5000,4457,543,-10774,,5000,6000,4457,0,6694
13,5500,5000,,,,,5000,6000,0,0,6694
14,5500,5000,,,,,5000,6000,0,0,6694
15,5500,5000,,,,,5000,6000,0,0,6694
16,5500,5000,,,,,5000,6000,0,0,6694
17,5500,5000,,,,,5000,6000,0,0,6694
18,5500,5000,,,,,5000,6000,0,0,6694
19,5500,5000,,,,,5000,6000,0,0,6694
20,5500,5000,,,,,5000,6000,0,0,6694
21,5500,5000,,,,,5000,6000,0,0,6694
22,5500,5000,,,,,5000,6000,0,0,6694
23,5500,5000,,,,,5000,6000,0,0,6694
24,5500,5000,,,,,5000,6000,0,0,6694
25,5500,5000,,,,,5000,6000,0,,
26,5500,5000,,,,,5000,6000,0,,
27,5500,5000,,,,,5000,6000,0,,
28,5500,5000,,,,,5000,6000,0,,
29,5500,5000,,,,,5000,6000,0,,
30,5500,5000,,,,,5000,6000,0,,
,,,,-10774,,,,,,6694,
