EOL COMMODITY,,,,,,,,,,,
DECLINING MONTHLY VARIANCES,,,,,,,,,,,
FOR THE PERIOD OF:,,,,,,,,,,,
06-01-00 to 08-18-00,,,,,,,,,,,
,,,,,,,,,,,
,,DEAL COUNT,,DEAL COUNT %,,,VOLUME,,VOLUME %,,
COMMODITY,MONTH,EOL_CT,NON-EOL_CT,EOL,NON-EOL,EOL % CHANGE,EOL_VOL,NON-EOL_VOL,EOL,NON-EOL,EOL % CHANGE
AUSTRIAN POWER,2000-06-01 00:00:00,17,173,8.947368421052632,91.05263157894737,0,71940,963981,6.944544999087768,93.05545500091223,0
AUSTRIAN POWER,2000-07-01 00:00:00,69,144,32.3943661971831,67.6056338028169,23.446997776130473,516720,323640,61.48793374268171,38.512066257318295,54.543388743593944
AUSTRIAN POWER,2000-08-01 00:00:00,8,69,10.38961038961039,89.6103896103896,-22.004755807572714,51600,247557,17.24846819562972,82.75153180437029,-44.23946554705199
Total,>,94,386,19.583333333333332,80.41666666666667,,640260,1535178,29.431314521489465,70.56868547851055,
CRUDE & PRODUCTS,2000-06-01 00:00:00,1417,5768,19.72164231036882,80.27835768963118,0,45347999.953,456993279.92910004,9.02732898312542,90.97267101687457,0
CRUDE & PRODUCTS,2000-07-01 00:00:00,1009,5044,16.669420122253428,83.33057987774657,-3.052222188115394,34026000,390639303.92599994,8.012427595433886,91.98757240456611,-1.014901387691534
CRUDE & PRODUCTS,2000-08-01 00:00:00,754,4210,15.189363416599516,84.81063658340048,-1.4800567056539116,22220000,10312283078.385502,0.21500791892425758,99.78499208107574,-7.797419676509628
Total,>,3180,15022,17.470607625535656,82.52939237446435,,101593999.95300001,11159915662.240602,0.9021348202902555,99.09786517970976,
EMISSIONS,2000-06-01 00:00:00,20,33,37.735849056603776,62.264150943396224,0,50000,205500,19.569471624266143,80.43052837573386,0
EMISSIONS,2000-07-01 00:00:00,61,25,70.93023255813954,29.069767441860467,33.19438350153576,152500,85000,64.21052631578948,35.78947368421053,44.64105469152334
EMISSIONS,2000-08-01 00:00:00,51,33,60.71428571428571,39.285714285714285,-10.215946843853828,127500,153707,45.340265356125556,54.65973464387444,-18.870260959663923
Total,>,132,91,59.19282511210763,40.80717488789238,,330000,444207,42.624259403492864,57.37574059650714,
IBERIAN POWER,2000-06-01 00:00:00,0,6,0,100,0,0,23200,0,100,0
IBERIAN POWER,2000-07-01 00:00:00,5,16,23.809523809523807,76.19047619047619,23.809523809523807,25680,147720,14.809688581314878,85.19031141868511,14.809688581314878
IBERIAN POWER,2000-08-01 00:00:00,1,15,6.25,93.75,-17.559523809523807,3600,214320,1.6519823788546255,98.34801762114537,-13.157706202460252
Total,>,6,37,13.953488372093023,86.04651162790698,,29280,385240,7.06359162404709,92.93640837595291,
LPG,2000-06-01 00:00:00,200,405,33.057851239669425,66.94214876033058,0,2995000,11347565.8962,20.88189813228268,79.11810186771733,0
LPG,2000-07-01 00:00:00,129,289,30.861244019138756,69.13875598086125,-2.1966072205306695,2160000,10939316.679200001,16.489409737149092,83.5105902628509,-4.3924883951335865
LPG,2000-08-01 00:00:00,85,232,26.813880126182966,73.18611987381703,-4.04736389295579,1716000,10832989.928,13.674407341511735,86.32559265848828,-2.8150023956373573
Total,>,414,926,30.895522388059703,69.1044776119403,,6871000,33119872.5034,17.18142058394908,82.81857941605094,
PAPER & PULP,2000-06-01 00:00:00,0,118,0,100,0,0,554987,0,100,0
PAPER & PULP,2000-07-01 00:00:00,3,53,5.357142857142857,94.64285714285714,5.357142857142857,17450,439046.49,3.8225923708635743,96.17740762913643,3.8225923708635743
PAPER & PULP,2000-08-01 00:00:00,0,50,0,100,-5.357142857142857,0,405888,0,100,-3.8225923708635743
Total,>,3,221,1.3392857142857142,98.66071428571429,,17450,1399921.49,1.2311521801528547,98.76884781984715,
UK POWER,2000-06-01 00:00:00,321,262,55.06003430531733,44.93996569468268,0,6530448,41778400,13.518119910456155,86.48188008954385,0
UK POWER,2000-07-01 00:00:00,140,390,26.41509433962264,73.58490566037736,-28.64493996569469,5183760,20259212,20.374034920134328,79.62596507986567,6.8559150096781725
UK POWER,2000-08-01 00:00:00,151,253,37.37623762376238,62.62376237623762,10.961143284139737,6661680,11245581,37.20099908076394,62.79900091923606,16.826964160629615
Total,>,612,905,40.34278180619644,59.657218193803565,,18375888,73283193,20.048082306214702,79.9519176937853,
