,,2001,2009,2010,,2011,,,,2007,,2008
Counterparty,OPk Bas PL,OPk Prc PL,OPk Prc PL,OPk Prc PL,OPk Bas PL,OPk Prc PL,OPk Bas PL,OPk Bas PL,Count,OPk Prc PL,Total,OPk Prc PL
ESBIALBLTD,,-2496401.61,-15285013.06,-14292491.4,,-13351070.11,,,1,-17256829.09,-433322012.93,-16322203.41
DUKEENETRA,,-3674360.54,-1251863.84,-1025224.43,-72220.61,923418.46,,,2,-1439269.61,-317416893.45,-1510693.95
CONNECTIRESREC,,-2485857.48,-18865464.69,-17663311,,-16473745.58,,,3,-21529108.76,-227249936.57,-20145702.78
WILLIAMSENEMAR,,-3293301.76,,,,,,,4,,-157472992.34,
AMERELECPOWSER,,-910069.73,-29066.38,,,,,,5,-63454.83,-120469259.3,-45274.41
PGEENEPOWLP,,-9928906,,,,,,,6,,-114111017.55,
CALPINEENESER,,-553433,-225898.05,,,,,,7,-317820.7,-108881070.24,-269949.56
MORGAN,,-10971254.72,-491491.63,-450772,11262.7,,,,8,-582844.42,-96533842.36,-537057.79
CASHV,,-1311241.58,,,,,,,9,-35348.59,-71721630.63,
POWEREXCOR,,1781946.71,-13242.37,-51500.88,,-82960.45,,,11,-34654.62,-51419540.21,-25491.73
TRACTEBEENEMAR,,330952.34,,,,,,,12,,-26636009.71,
TRANSCANENEFIN,,-1357736.13,,,,,,,13,,-21755891.31,
RELIANTENESER,,-84095,,,,,,,14,,-17550429.42,
HERMAJTHE,,-1195628.74,,,,,,,15,,-17201007.68,
ALLEGHENENESUP,,29723.68,468697.88,429983.92,,,,,16,481216.17,-14356141.94,510518.29
PPLMON,,388592.93,,,107619.4,,103365.9,98140.71,17,,-13385782.18,
DYNEGYMARAND,,-54280.81,,,,,,,18,,-12112375.63,
FPLENEPOW,,-532206,,,,,,,19,,-11429035.88,
OMAHAPUBPOW,,-1295787.14,,,,,,,20,,-10410010.79,
MIECO,,-53788,,,,,,,21,,-9844943.23,
PPL E,,-72013.25,,,,,,,22,,-9450535.42,
TRANSAENEMARUS,,-1558449.21,,,,,,,23,,-9238076.14,
PSEGENERES,,-32372.32,,,,,,,24,,-8631700.17,
AQUILA RISK,,-1173834.88,,,,,,,25,,-8306850.69,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SRP,,-650428.32,,,,,,,,,-7793744,
