Buyer           ,Seller          ,External CP     ,Seller CP Name     ,Buyer CP Name     ,N ,Comm   ,Deal No.   ,Type        ,Deal Date ,Beg Date ,End Date ,Quantity             ,Delivery Ref    ,Index        ,Premium   ,Price ,Broker Deal Number,Original Deal Number,System Of Origin
,,,,,,,,,,,,,,,,,,,
WISEROILCOM    ,ENA            ,WISEROILCOM    ,Enron North America Corp.,Wiser Oil Company  The,F,NG    ,Q88708.1  ,OPT/Put    ,2000-11-09 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,10000 MMBtu/day     ,               ,NXB2        ,0,US 4.00000,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,NG    ,Q88708.2  ,OPT/Call   ,2000-11-09 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,10000 MMBtu/day     ,               ,NXB2        ,0,US 6.10000,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,CL    ,QV8404.2  ,SWO/Call   ,2001-03-07 00:00:00,2001-10-01 00:00:00,2001-12-31 00:00:00,1750 Barrels/day    ,               ,NXAVCPROMPT ,0,US 28.6300,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,CL    ,V67308.1  ,OPT/Call   ,2001-04-30 00:00:00,2001-10-01 00:00:00,2001-12-31 00:00:00,1000 Barrels/day    ,               ,NXAVCPROMPT ,0,US 30.4100,, , 
WISEROILCOM    ,ENA            ,WISEROILCOM    ,Enron North America Corp.,Wiser Oil Company  The,F,CL    ,V67308.2  ,OPT/Put    ,2001-04-30 00:00:00,2001-10-01 00:00:00,2001-12-31 00:00:00,1000 Barrels/day    ,               ,NXAVCPROMPT ,0,US 25.0000,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,CL    ,VB4022.1  ,Swap       ,2001-05-22 00:00:00,2001-10-01 00:00:00,2001-12-31 00:00:00,1750 Barrels/day    ,               ,NXAVCPROMPT ,        ,US 28.1800,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,CL    ,VB4147.1  ,OPT/Call   ,2001-05-22 00:00:00,2002-01-01 00:00:00,2002-03-31 00:00:00,1000 Barrels/day    ,               ,NXAVCPROMPT ,0,US 29.3400,, , 
WISEROILCOM    ,ENA            ,WISEROILCOM    ,Enron North America Corp.,Wiser Oil Company  The,F,CL    ,VB4147.2  ,OPT/Put    ,2001-05-22 00:00:00,2002-01-01 00:00:00,2002-03-31 00:00:00,1000 Barrels/day    ,               ,NXAVCPROMPT ,0,US 25.0000,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,NG    ,VR1761.1  ,Swap       ,2001-07-25 00:00:00,2002-01-01 00:00:00,2002-06-30 00:00:00,10000 MMBtu/day     ,               ,NX3         ,        ,US 4.01000,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,NG    ,VR1761.2  ,SWO/Call   ,2001-07-25 00:00:00,2002-07-01 00:00:00,2003-03-31 00:00:00,10000 MMBtu/day     ,               ,NX3         ,0,US 4.01000,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,CL    ,VZ4299.1  ,Swap       ,2001-08-28 00:00:00,2002-01-01 00:00:00,2002-03-31 00:00:00,2000 Barrels/day    ,               ,NXAVCPROMPT ,        ,US 27.0000,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,CL    ,VZ4299.2  ,SWO/Call   ,2001-08-28 00:00:00,2002-04-01 00:00:00,2002-06-30 00:00:00,2000 Barrels/day    ,               ,NXAVCPROMPT ,0,US 27.0000,, , 
WISEROILCOM    ,ENA            ,WISEROILCOM    ,Enron North America Corp.,Wiser Oil Company  The,F,NG    ,Y33851.1  ,OPT/Put    ,2001-09-17 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00,5000 MMBtu/day      ,               ,NXB2        ,0,US 3.00000,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,NG    ,Y33851.2  ,OPT/Call   ,2001-09-17 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00,5000 MMBtu/day      ,               ,NXB2        ,0,US 3.62000,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,NG    ,Y41323.1  ,Swap       ,2001-09-19 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,5000 MMBtu/day      ,               ,NX1         ,        ,US 3.32000,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,NG    ,Y41323.2  ,SWO/Call   ,2001-09-19 00:00:00,2002-10-01 00:00:00,2002-12-31 00:00:00,5000 MMBtu/day      ,               ,NXB4        ,0,US 3.32000,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,CL    ,Y46814.1  ,Swap       ,2001-09-20 00:00:00,2002-04-01 00:00:00,2002-06-30 00:00:00,1000 Barrels/day    ,               ,NXAVCPROMPT ,        ,US 26.7500,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,CL    ,Y46814.2  ,SWO/Call   ,2001-09-20 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,1000 Barrels/day    ,               ,NXAVCPROMPT ,0,US 26.7500,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,NG    ,Y55622.1  ,Swap       ,2001-09-25 00:00:00,2002-01-01 00:00:00,2002-06-30 00:00:00,5000 MMBtu/day      ,               ,NX1         ,        ,US 3.15000,, , 
ENA            ,WISEROILCOM    ,WISEROILCOM    ,Wiser Oil Company  The,Enron North America Corp.,F,NG    ,Y55622.2  ,SWO/Call   ,2001-09-25 00:00:00,2002-07-01 00:00:00,2002-12-31 00:00:00,5000 MMBtu/day      ,               ,NXB2        ,0,US 3.15000,, , 
