,Cleburne Plant Outages,
,,
,,
,Date:,Reason:
,2001-06-26 00:00:00,"Plant shut down for inspection.  Brazos took all 45,000 for these days."
,2001-06-27 00:00:00,
,2001-09-14 00:00:00,"Plant shut down.  Transition crack in Turbine.   45,000 was sold off to markets during.  Tufco, waha, some transported "
,2001-09-26 00:00:00,on Lonestar for these days.  Plant will be up for rest of year.
,2001-09-30 00:00:00,Scheduled outage cancelled because the plant came down last week.
,,
,2001-11-13 00:00:00,Turbine breaks down at 1:30 am.  No gas burning until at least 11/16.  All gas needs to be sold to avoid adding length to 
,,Lonestar pipeline.
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Other Info,
,,
,,
,Date:,Event:
,2001-07-01 00:00:00,Plant ran at full capactiy producing 263 megawatts per day.  Brazos did not pull any gas during this time.  Upon invesigation
,2001-09-15 00:00:00,"it turns out that several plants in the area are out, causing Cleburne to pick up the slack."
,2001-10-01 00:00:00,"Plant now only burning about 30,000 per day to make power.  Weather cool, but not so cold where power is needed for heat."
