,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Koch Purchases for power delivered,,,,,2018-08-30 00:00:00,,,,,
,,,,,,,,,,,
,On-Peak,,,,,,,,,,
,,,Koch's,,,,,,,,
,,MW,AVG,,Credit,EPMI,Total,,Existing Positions,,Net Profit
,,Postion,Price,,Fee,COST,Dollars,,Net Cost/Gain,,Dollars
,Entergy,100,16.25,26000.0,1,15.25,24400,,-41648,26.03,-17248
,TVA,0,,0.0,1,1,0,,0,31.0,0
,Cinergy,-700,18.3,-204960.0,1,19.3,-216160,,346752,30.96,130592
,Comed,-100,19,-30400.0,1,20,-32000,,55600,34.75,23600
,,,,,,,-223760,,360704,,136944
,,,,,,,,,,,
,,,,,,,,,,,
,Off-Peak,,,,,,,,,,
,,,Koch's,,,,,,,,
,,MW,AVG,,Credit,,Total,,Existing Positions,,Net Profit
,,Postion,Price,,Fee,,Dollars,,Net Cost/Gain,,Dollars
,Entergy,0,,0.0,1,,0,,0,,0
,TVA,0,,0.0,1,,0,,0,,0
,Cinergy,-50,13.25,-5300.0,1,14.25,-5700,,7300,18.25,1600
,Comed,0,,0.0,1,,0,,0,,0
,,,,,,,-5700,,7300,,1600
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Grand,,WIRE AMOUNT,,,,
,,,,,Total,>>>>>>,-229460,,368004,,138544
,,,,,,,2018-08-29 00:00:00,,Existing,,2018-08-29 00:00:00
