,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Bear Creek Storage,Bear Creek Storage,Bear Creek Storage,Bear Creek Storage,Bear Creek Storage,,Entex Portland Storage,Entex Portland Storage,Entex Portland Storage,Entex Portland Storage
,,,,,Inventory asof,,,Total dths,,,Inventory asof,,Total dths
,,,,,2001-12-31 00:00:00,,,411529,,,2001-12-31 00:00:00,,471078
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Prior Year,,,,Beginning,Amount,Amount,Ending,,,Beginning,Amount,Ending
,Delivery,,,,Balance,Withdrawn,Withdrawn,Balance,,,Balance,Withdrawn,Balance
,(dth/day),,,,,(dth/day),(dth/mo),,,,,,
2002-01-01,14085.161290322581,436640.0,,2002-01-01 00:00:00,411529,7042.580645161291,218320,193209,,2002-01-01 00:00:00,471078,218320,252758
2002-02-01,10187.714285714286,285256.0,,2002-02-01 00:00:00,193209,5093.857142857143,142628,50581,,2002-02-01 00:00:00,252758,142628,110130
2002-03-01,9177.322580645161,284497.0,,2002-03-01 00:00:00,50581,4588.6612903225805,142248.5,-91667.5,,2002-03-01 00:00:00,110130,142248.5,-32118.5
2002-04-01,5401.866666666667,162056.0,,2002-04-01 00:00:00,-91667.5,2700.9333333333334,81028,-172695.5,,2002-04-01 00:00:00,-32118.5,81028,-113146.5
2002-05-01,4676.193548387097,144962.0,,2002-05-01 00:00:00,-172695.5,2338.0967741935483,72481,-245176.5,,2002-05-01 00:00:00,-113146.5,72481,-185627.5
2002-06-01,3607.4333333333334,108223.0,,2002-06-01 00:00:00,-245176.5,1803.7166666666667,54111.5,-299288,,2002-06-01 00:00:00,-185627.5,54111.5,-239739
2002-07-01,4294.225806451613,133121.0,,2002-07-01 00:00:00,-299288,2147.1129032258063,66560.5,-365848.5,,2002-07-01 00:00:00,-239739,66560.5,-306299.5
2002-08-01,4582.419354838709,142055.0,,2002-08-01 00:00:00,-365848.5,2291.2096774193546,71027.5,-436876,,2002-08-01 00:00:00,-306299.5,71027.5,-377327
2002-09-01,4743.366666666667,142301.0,,2002-09-01 00:00:00,-436876,2371.6833333333334,71150.5,-508026.5,,2002-09-01 00:00:00,-377327,71150.5,-448477.5
2002-10-01,6118.967741935484,189688.0,,2002-10-01 00:00:00,-508026.5,3059.483870967742,94844,-602870.5,,2002-10-01 00:00:00,-448477.5,94844,-543321.5
