August  '01 STORAGE ACTIVITY,,,,,,
,,,,,,
,ENA,ENA,,,,
Contract,96034600,96034600,,,,
Max Injection,85850,85850,,,,
Max Withdrawal,150000,150000,,,,
Max Stg Quantity,2500000,2500000,,,,
,K term: 2/28/10,K term: 2/28/10,,,,
Day,Injection,Withdrawal,,,,
2001-08-01 00:00:00,,-11390,,,,
2001-08-02 00:00:00,,-100711,,,,
2001-08-03 00:00:00,,-101196,,,,
2001-08-04 00:00:00,,-145000,,,,
2001-08-05 00:00:00,,-146846,,,,
2001-08-06 00:00:00,,-150000,,,,
2001-08-07 00:00:00,,-121704,,,,
2001-08-08 00:00:00,,-119069,,,,
2001-08-09 00:00:00,,-117757,,,,
2001-08-10 00:00:00,,-88851,,,,
2001-08-11 00:00:00,,-126316,,,,
2001-08-12 00:00:00,,-126316,,,,
2001-08-13 00:00:00,,-126316,,,,
2001-08-14 00:00:00,,-57696,,,,
2001-08-15 00:00:00,8630,-44849,,,,
2001-08-16 00:00:00,,-43101,,,,
2001-08-17 00:00:00,,-55088,,,,
2001-08-18 00:00:00,,-55796,,,,
2001-08-19 00:00:00,,-55799,,,,
2001-08-20 00:00:00,,-60799,,,,
2001-08-21 00:00:00,,-78944,,,,
2001-08-22 00:00:00,,-62605,,,,
2001-08-23 00:00:00,,-110042,,,,
2001-08-24 00:00:00,,-62614,,,,
2001-08-25 00:00:00,,-41840,,,,
2001-08-26 00:00:00,,-48639,,,,
2001-08-27 00:00:00,,-72707,,,,
2001-08-28 00:00:00,,-64239,,,,
2001-08-29 00:00:00,,-17164,,,,
2001-08-30 00:00:00,,-68413,,,,
2001-08-31 00:00:00,,-11910,,,,
Current Month,8630,-2493717,,,,
Fuel 1%,-86,,,,,
Current Month Activity,-2485173,-2485173,,,,
Previous Month Bal,2503429,2503429,,,,
Cumulative Bal,18256,18256,,,,-86.0
Available Capacity,2481744,2481744,,,,
