Counterparty,Global CP,NAME,Sign-Up Date,Status,Country,# Non-EOL Deal
5143,1264,El Paso Electric Company,1999-12-09 00:00:00,Execute ID Mailed,USA,2294
5197,2532,The Peoples Gas Light & Coke Company,1999-11-15 00:00:00,Execute ID Mailed,USA,1888
5205,2648,Public Service Electric and Gas Company,2000-01-18 00:00:00,Execute ID Mailed,USA,1263
5015,69,Columbia Energy Services Corporation,1999-12-01 00:00:00,Execute ID Mailed,USA,838
8344,81385,The New Power Company,2000-09-28 00:00:00,Execute ID Mailed,USA,647
5855,57700,NGTS LLC,2000-01-19 00:00:00,Execute ID Mailed,USA,619
5400,26428,"Southern Company Services, Inc.",2000-08-11 00:00:00,Execute ID Mailed,USA,611
5289,5607,Peco Energy Company,2000-08-03 00:00:00,Execute ID Mailed,USA,604
6018,63727,Equiva Trading Company,2000-01-10 00:00:00,Execute ID Mailed,USA,570
7091,26597,"City of Tacoma, Department of Public Utilities (dba Tacoma Power)",2000-03-27 00:00:00,Execute ID Mailed,USA,511
5194,2425,"ONEOK Energy Marketing and Trading Company, II",1999-11-30 00:00:00,Execute ID Mailed,USA,505
6662,45488,Los Angeles Dept. of Water & Power,1999-12-12 00:00:00,Execute ID Mailed,USA,501
6966,1709,Highland Energy Company,2000-02-25 00:00:00,Execute ID Mailed,USA,477
6487,26305,"Valley Electric Association, Inc.",1999-11-26 00:00:00,Execute ID Mailed,USA,425
7011,51116,"Woodward Marketing, L.L.C.",2000-03-22 00:00:00,Execute ID Mailed,USA,417
5565,50593,"Keyspan Energy Services, Inc.",2000-02-25 00:00:00,Execute ID Mailed,USA,409
5538,49262,Questar Energy Trading Company,2000-02-07 00:00:00,Execute ID Mailed,USA,374
7237,34647,Tosco Refining Company,2000-04-19 00:00:00,Execute ID Mailed,USA,369
5148,1424,Florida Power Corporation,2000-03-09 00:00:00,Execute ID Mailed,USA,367
6779,49006,"ProLiance Energy, LLC",2000-01-06 00:00:00,Execute ID Mailed,USA,351
5217,2907,Southwest Gas Corporation,2000-02-08 00:00:00,Execute ID Mailed,USA,332
5294,5697,Tennessee Valley Authority,2000-08-03 00:00:00,Execute ID Mailed,USA,332
5134,1163,Delmarva Power & Light Company,1999-11-10 00:00:00,Execute ID Mailed,USA,320
5522,47902,Calpine Power Services Company,1999-12-03 00:00:00,Execute ID Mailed,USA,315
6670,11187,Tristar Gas Marketing Company,1999-12-12 00:00:00,Execute ID Mailed,USA,310
6887,11294,City of Tallahassee,2000-02-08 00:00:00,Execute ID Mailed,USA,310
6876,56053,"Texas Energy Transfer Company, Ltd.",2000-02-03 00:00:00,Execute ID Mailed,USA,307
5441,31387,Indianapolis Power & Light Company,2000-08-03 00:00:00,Execute ID Mailed,USA,299
6880,33482,Public Utility Dist. No. 2 of Grant Cty,2000-02-03 00:00:00,Execute ID Mailed,USA,297
6978,26473,"Associated Electric Cooperative, Inc.",2000-05-11 00:00:00,Execute ID Mailed,USA,285
5187,2336,New York State Electric & Gas Corporation,2000-05-16 00:00:00,Execute ID Mailed,USA,269
5424,27457,Carolina Power & Light Company,2000-03-16 00:00:00,Execute ID Mailed,USA,263
7450,75355,"Duke Power, a division of Duke Energy Corporation",2000-05-31 00:00:00,Execute ID Mailed,USA,250
7465,26303,Colorado River Commission,2000-06-15 00:00:00,Execute ID Mailed,USA,247
6179,70733,TXU Fuel Company,2000-06-29 00:00:00,Execute ID Mailed,USA,242
7001,32612,"National Fuel Marketing Company, LLC",2000-03-13 00:00:00,Execute ID Mailed,USA,241
5171,2052,Lower Colorado River Authority,2000-09-11 00:00:00,Execute ID Mailed,USA,241
5835,57266,Otter Tail Power Company,2000-03-02 00:00:00,Execute ID Mailed,USA,236
8191,73864,Spinnaker Exploration Co. L.L.C.,2000-08-10 00:00:00,Execute ID Mailed,USA,231
7000,2257,Municipal Gas Authority of Georgia,2000-03-14 00:00:00,Execute ID Mailed,USA,229
8761,74362,"Continental Gas, Inc.",2001-02-01 00:00:00,Execute ID Mailed,USA,227
5112,881,Central Illinois Light Company,2000-08-10 00:00:00,Execute ID Mailed,USA,226
5086,339,Atlantic Richfield Company,2000-01-12 00:00:00,Execute ID Mailed,USA,221
6622,193,"SG Interests I, Ltd.",2000-12-22 00:00:00,Execute ID Mailed,USA,210
7076,11213,"Onyx Gas Marketing Company, L.C.",2000-03-22 00:00:00,Execute ID Mailed,USA,205
6652,33666,City Of Riverside,1999-12-12 00:00:00,Execute ID Mailed,USA,199
7281,54986,Shoreham Energy Services Company,2000-04-26 00:00:00,Execute ID Mailed,USA,197
5323,10658,"NGL Supply, Inc.",2000-05-26 00:00:00,Execute ID Mailed,USA,185
7008,56968,"Pioneer Energy Marketing Company, Inc.",2000-03-14 00:00:00,Execute ID Mailed,USA,178
5474,36518,"HS Resources, Inc.",2000-01-26 00:00:00,Execute ID Mailed,USA,174
8302,1840,"Interstate Gas Supply, Inc.",2000-09-07 00:00:00,Execute ID Mailed,USA,174
6720,61327,"Encina Gas Marketing Company, L.L.C.",1999-12-22 00:00:00,Execute ID Mailed,USA,158
7389,60093,"Enline Energy Solutions, L.L.C.",2000-05-18 00:00:00,Execute ID Mailed,USA,152
6650,35578,The City of Azusa,1999-12-13 00:00:00,Execute ID Mailed,USA,148
5170,2048,Louisville Gas And Electric Company,2000-09-11 00:00:00,Execute ID Mailed,USA,144
6723,62620,"HESCO Gathering Company, L.L.C.",1999-12-22 00:00:00,Execute ID Mailed,USA,138
5169,2038,Louis Dreyfus Natural Gas Corp.,2000-07-19 00:00:00,Execute ID Mailed,USA,133
7122,35003,Vintage Gas Inc.,2000-03-29 00:00:00,Execute ID Mailed,USA,129
7078,45734,PUD No. 1 of Grays Harbor County,2000-03-23 00:00:00,Execute ID Mailed,USA,123
5359,23848,Cabot Oil & Gas Marketing Corporation,2000-04-05 00:00:00,Execute ID Mailed,USA,121
5821,56904,"Equistar Chemicals, LP",2001-01-04 00:00:00,Execute ID Mailed,USA,120
7089,504,Alabama Gas Corporation,2000-04-05 00:00:00,Execute ID Mailed,USA,119
7461,2289,National Fuel Gas Distribution Corporation,2000-06-07 00:00:00,Execute ID Mailed,USA,119
5159,1794,ICC Energy Corporation,2000-04-13 00:00:00,Execute ID Mailed,USA,118
5099,668,BP Exploration & Oil Inc.,2000-12-19 00:00:00,Execute ID Mailed,USA,118
8265,2881,South Carolina Pipeline Corporation,2000-08-21 00:00:00,Execute ID Mailed,USA,117
5531,48724,Cibola Energy Services Corporation,1999-11-30 00:00:00,Execute ID Mailed,USA,112
7141,45513,Red Willow Production Company,2000-04-03 00:00:00,Execute ID Mailed,USA,112
5132,1072,"Consolidated Edison Company Of New York, Inc.",2000-06-06 00:00:00,Execute ID Mailed,USA,112
7121,3169,Unimark LLC,2000-03-30 00:00:00,Execute ID Mailed,USA,110
5660,52174,"Genesis Crude Oil, L.P.",2000-02-11 00:00:00,Execute ID Mailed,USA,108
6484,49695,"Cima Energy, LLC",1999-11-19 00:00:00,Execute ID Mailed,USA,107
5804,56148,"The Energy Authority, Inc.",2001-02-15 00:00:00,Execute ID Mailed,USA,107
5231,3357,Wisconsin Electric Power Company,2000-03-27 00:00:00,Execute ID Mailed,USA,106
