DEAL ID,START,STOP,METER,PIPE,FIXED PRICE,VOLUME,GROUP PRICE,DEAL TYPE
KJM-0111-P-046-02,2001-11-10 00:00:00,2001-11-12 00:00:00,DAWN,UNION,2.8,9000 Dth,2.800000,DAILY FIRM
KJM-0111-P-046-01,2001-11-10 00:00:00,2001-11-12 00:00:00,DAWN,UNION,2.855,20000 Dth,2.855000,DAILY FIRM
KJM-0111-S-009-01,2001-11-01 00:00:00,2001-11-01 00:00:00,DAWN,UNION,3.335,10000 Dth,3.335000,DAILY FIRM
KJM-0111-S-007-02,2001-11-01 00:00:00,2001-11-30 00:00:00,DAWN,UNION,3.32,5000 Dth,3.320000,FIRM
KJM-0111-S-007-01,2001-11-01 00:00:00,2001-11-30 00:00:00,DAWN,UNION,3.315,5000 Dth,3.315000,FIRM
KJM-0111-S-011-01,2001-11-01 00:00:00,2001-11-30 00:00:00,DAWN,UNION,3.23,10000 Dth,3.230000,FIRM
KJM-0111-S-006-01,2001-11-01 00:00:00,2001-11-30 00:00:00,DAWN,UNION,0,10000 Dth,NYMEX @ Henry Hub NYMEX Final Settlement Price Plus $0.20,FIRM
KJM-0111-S-016-02,2001-11-02 00:00:00,2001-11-02 00:00:00,DAWN,UNION,3.15,5071 Dth,3.150000,DAILY FIRM
KJM-0111-S-016-04,2001-11-02 00:00:00,2001-11-02 00:00:00,DAWN,UNION,3.145,10000 Dth,3.145000,DAILY FIRM
KJM-0111-S-016-03,2001-11-02 00:00:00,2001-11-02 00:00:00,DAWN,UNION,3.16,5000n Dth,3.160000,DAILY FIRM
KJM-0111-S-022-01,2001-11-03 00:00:00,2001-11-05 00:00:00,DAWN,UNION,3.16,1896 Dth,3.160000,DAILY FIRM
KJM-0111-S-021-01,2001-11-03 00:00:00,2001-11-05 00:00:00,DAWN,UNION,3.09,5700 Dth,3.090000,DAILY FIRM
KJM-0111-S-024-02,2001-11-06 00:00:00,2001-11-06 00:00:00,DAWN,UNION,3,2843 Dth,3.000000,DAILY FIRM
KJM-0111-S-024-01,2001-11-06 00:00:00,2001-11-06 00:00:00,DAWN,UNION,3.01,30000 Dth,3.010000,DAILY FIRM
KJM-0111-S-031-01,2001-11-07 00:00:00,2001-11-07 00:00:00,DAWN,UNION,2.895,4739 Dth,2.895000,DAILY FIRM
KJM-0111-S-031-03,2001-11-07 00:00:00,2001-11-07 00:00:00,DAWN,UNION,2.9,20000 Dth,2.900000,DAILY FIRM
KJM-0111-S-031-02,2001-11-07 00:00:00,2001-11-07 00:00:00,DAWN,UNION,2.92,10000 Dth,2.920000,DAILY FIRM
