Basis Prices,Basis Prices,SoCal,SoCal,PG&E Ctygate,PG&E Ctygate,Malin,Malin,San Juan,San Juan,Rockies,Rockies,CIG,CIG,Questar,Questar
Basis Prices,Basis Prices,SoCal,SoCal,PG&E Ctygate,PG&E Ctygate,Malin,Malin,San Juan,San Juan,Rockies,Rockies,CIG,CIG,Questar,Questar
Basis Prices,Basis Prices,,,,,,,,,,,,,,
Basis Prices,Basis Prices,,,,,,,,,,,,,,
Start,End,Bid,Offer,Bid,Offer,Bid,Offer,Bid,Offer,Bid,Offer,Bid,Offer,Bid,Offer
,,,,,,,,,,,,,,,
2002-01-01 00:00:00,2002-01-01 00:00:00,0,0.03,0.26,0.33,0.15,0.21,-0.28,-0.265,-0.29,-0.27,-0.35,-0.31,-0.41,-0.35
2002-02-01 00:00:00,2002-02-01 00:00:00,-0.03,-0.01,0.23,0.29,0.12,0.17,-0.3,-0.28,-0.33,-0.3,-0.39,-0.34,-0.45,-0.38
2002-03-01 00:00:00,2002-03-01 00:00:00,-0.05,-0.03,0.21,0.27,0.1,0.15,-0.32,-0.3,-0.38,-0.35,-0.44,-0.39,-0.5,-0.43
2002-04-01 00:00:00,2002-06-01 00:00:00,-0.07,-0.05,0.1,0.07,-0.19,-0.13,-0.36,-0.34,-0.53,-0.5,-0.65,-0.6,-0.73,-0.66
2002-07-01 00:00:00,2002-09-01 00:00:00,0.13,0.15,0.25,0.32,0.01,0.07,-0.34,-0.32,-0.57,-0.54,-0.69,-0.64,-0.77,-0.7
2002-10-01 00:00:00,2002-10-01 00:00:00,0.03,0.06,0.2,0.18,-0.09,-0.02,-0.38,-0.35,-0.62,-0.57,-0.74,-0.67,-0.82,-0.73
2002-11-01 00:00:00,2003-03-01 00:00:00,0.05,0.08,0.29,0.34,0.11,0.18,-0.24,-0.22,-0.295,-0.28,-0.355,-0.32,-0.415,-0.35
2003-04-01 00:00:00,2003-10-01 00:00:00,0.17,0.195,0.43,0.455,0.05,0.115,-0.28,-0.26,-0.45,-0.42,-0.57,-0.52,-0.65,-0.58
2003-11-01 00:00:00,2004-03-01 00:00:00,0.2,0.22,0.44,0.48,0.26,0.32,-0.2,-0.17,-0.27,-0.25,-0.33,-0.29,-0.39,-0.32
2004-04-01 00:00:00,2004-10-01 00:00:00,0.24,0.25,0.44,0.49,0.09,0.14,-0.25,-0.22,-0.46,-0.42,-0.58,-0.52,-0.66,-0.58
2004-11-01 00:00:00,2005-03-01 00:00:00,0.22,0.25,0.46,0.51,0.28,0.35,-0.18,-0.16,-0.24,-0.22,-0.3,-0.26,-0.36,-0.29
2005-04-01 00:00:00,2005-10-01 00:00:00,0.24,0.27,0.44,0.51,0.11,0.14,-0.25,-0.22,-0.42,-0.4,-0.54,-0.5,-0.62,-0.56
2005-11-01 00:00:00,2006-03-01 00:00:00,0.22,0.25,0.46,0.51,0.28,0.35,-0.18,-0.16,-0.24,-0.22,-0.3,-0.26,-0.36,-0.29
2006-04-01 00:00:00,2006-10-01 00:00:00,0.24,0.27,0.44,0.51,0.11,0.14,-0.25,-0.22,-0.43,-0.4,-0.55,-0.5,-0.63,-0.56
2006-11-01 00:00:00,2007-03-01 00:00:00,0.22,0.25,0.46,0.51,0.28,0.35,,,-0.26,-0.23,-0.32,-0.27,-0.38,-0.3
2007-04-01 00:00:00,2007-10-01 00:00:00,0.24,0.27,0.44,0.51,0.11,0.14,,,-0.45,-0.42,-0.57,-0.52,-0.65,-0.58
2007-11-01 00:00:00,2008-03-01 00:00:00,0.21,0.26,0.45,0.52,0.27,0.36,,,-0.28,-0.23,-0.34,-0.27,-0.4,-0.3
2008-04-01 00:00:00,2008-10-01 00:00:00,0.23,0.28,0.43,0.52,0.12,0.13,,,-0.46,-0.42,-0.58,-0.52,-0.66,-0.58
2008-11-01 00:00:00,2009-03-01 00:00:00,0.2,0.26,0.44,0.52,0.26,0.36,,,-0.3,-0.25,-0.36,-0.29,-0.42,-0.32
2009-04-01 00:00:00,2009-10-01 00:00:00,0.22,0.28,0.42,0.52,0.12,0.12,,,-0.5,-0.42,-0.62,-0.52,-0.7,-0.58
2010-11-01 00:00:00,2010-03-01 00:00:00,0.2,0.26,0.44,0.52,0.26,0.36,,,-0.3,-0.25,-0.36,-0.29,-0.42,-0.32
2010-04-01 00:00:00,2010-10-01 00:00:00,0.22,0.28,0.42,0.52,0.12,0.12,,,-0.5,-0.42,-0.62,-0.52,-0.7,-0.58
2010-11-01 00:00:00,2011-03-01 00:00:00,0.2,0.26,,,,,,,-0.3,-0.25,,,,
2011-04-01 00:00:00,2011-10-01 00:00:00,0.18,0.26,,,,,,,-0.5,-0.42,,,,
