ILEC:  Verizon,,,,,,,,
,"Agreement Name / 
Agreement Type",Contract Term,Current Status / Accomplishments,Next Steps,Expected Date for PUC Submission,Expected PUC Approval Date,Collo Application Timeframe,Operational Date
NY,Level 3 (Opt-in with a Supplemental Agreement for pricing and specific UNEs),Expires 9-30-02 (Negotiated),"Received all pricing for loop and transport up to OC-12 capacity (including dark fiber loop and transport).  Revised cross-connect pricing is being filed by Verizon in all 7 states at this time in accordance with the new FCC Collo Order.  Still negotiating loop and transport provisioning intervals for quantities that Verizon lists as ""negotiated.""  Verizon rejected our performance incentive plan and refuses to negotiate collocation intervals.  Reviewed red-lined terms and conditions of Level 3 agreement with Verizon (9/21), then with in-house and again with Verizon (10/1).  Reviewed pricing and technical issues (e.g., multiplexing, cross-connects, and collo) with Verizon (9/24).  Reviewed supplemental agreement with Verizon (10/1).  New arbitration windows currently apply in every state, varying in expiration from 10/30 to 11/13 (depending on the specific state).","Final discussion regarding Level 3 terms and conditions with Verizon SMEs and Enron in-house (tax, credit, legal, accounting, and insurance) will be next week (10/10).  Per Verizon, anticipate receipt of final documents (e.g., Level 3 agreement and supplemental agreement) the week of 10/22; of course, Enron will need to review and sign-off on Verizon's proposed final documents.  Will discuss red-lined terms and conditions of Sprint-GTE agreement for California (10/5). Follow-up with in-house regarding California agreement thereafter.  NOTE:  The same supplemental agreement will apply to the CA agreement (except for applicable pricing).",Early November 2001,2002-02-01 00:00:00,Approximately 76 days,"Verizon treats signature date as effective date; if collo not ready, January 2002."
NJ,Level 3 (Opt-in with a Supplemental Agreement for pricing and specific UNEs),Expires 9-30-02 (Negotiated),Same as above.,Same as above.,Same as above.,2002-02-01 00:00:00,Approximately 120 days,"Verizon treats signature date as effective date; if collo not ready, March 2002."
PA,Level 3 (Opt-in with a Supplemental Agreement for pricing and specific UNEs),Expires 9-30-02 (Negotiated),Same as above.,Same as above.,Same as above.,2002-01-01 00:00:00,Approximately 120 days,"Verizon treats signature date as effective date; if collo not ready, March 2002."
DC,Level 3 (Opt-in with a Supplemental Agreement for pricing and specific UNEs),Expires 9-30-02 (Negotiated),Same as above.,Same as above.,Same as above.,2002-02-01 00:00:00,Approximately 120 days,"Verizon treats signature date as effective date; if collo not ready, March 2002."
VA,Level 3 (Opt-in with a Supplemental Agreement for pricing and specific UNEs),Expires 9-30-02 (Negotiated),Same as above.,Same as above.,Same as above.,2002-03-01 00:00:00,Approximately 120 days,"Verizon treats signature date as effective date; if collo not ready, March 2002."
MA,Level 3 (Opt-in with a Supplemental Agreement for pricing and specific UNEs),Expires 9-30-02 (Negotiated),Same as above.,Same as above.,Same as above.,2002-02-01 00:00:00,Approximately 76 days,"Verizon treats signature date as effective date; if collo not ready, January 2002."
CA (Los Angeles),SPRINT-GTE (Opt-in or Negotiated with a Supplemental Agreement for pricing and specific UNEs,Expires 4-14-04 (Arbitrated),Same as above.,Same as above.,Same as above.,2002-01-01 00:00:00,TBD,"Verizon treats signature date as effective date; however, collo timeframe is still TBD."
,,,,,,,,
,,,,,,,,
ILEC:  Qwest,,,,,,,,
State,"Agreement Name / 
Agreement Type",Contract Term,Current Status / Accomplishments,Next Steps,Expected Date for PUC Submission,Expected PUC Approval Date,Collo Application Time Frame,Operational Date
OR,Electric Lightwave Inc. / opt-in agreement,3 years ending 6/03,"all pricing information received; Qwest has provided opt-in language and agreed to amend Dispute Resolution,optical pricing, and colocation sections of ELI agreement. Agreements have been circulated for internal review.  Have received feedback from tax, legal, credit and accounting.  Met with outside counsel to discuss incorporation of internal comments into amendments to ELI agreements.",EBS to draft three amendments once opt-in language is received.  Meet with Qwest to discuss internal comments.,"October, 2001",commission approval immediate,approx. 120 days,"January, 2002"
WA,Electric Lightwave Inc. / opt-in agreement,3 years ending 6/03,"all pricing information received; Qwest has provided opt-in language and agreed to amend Dispute Resolution,optical pricing, and colocation sections of ELI agreement. Agreements have been circulated for internal review.  Have received feedback from tax, legal, credit and accounting.  Met with outside counsel to discuss incorporation of internal comments into amendments to ELI agreements.",EBS to draft three amendments once opt-in language is received.  Meet with Qwest to discuss internal comments.,"October, 2001","November, 2001; commission approval 15 days",approx. 120 days,"January, 2002"
UT,Electric Lightwave Inc. / opt-in agreement,3 years ending 6/03,"all pricing information received; Qwest has provided opt-in language and agreed to amend Dispute Resolution,optical pricing, and colocation sections of ELI agreement. Agreements have been circulated for internal review.  Have received feedback from tax, legal, credit and accounting.  ",EBS to draft three amendments once opt-in language is received.  Discuss revisions with local counsel. Meet with Qwest to discuss internal comments.,"October, 2001","December, 2001; commission approval 30-60 days",approx. 120 days,"January, 2002"
CO,Modified SGAT / modeled after ELI agreement,2 years ending approx. 1/03,all pricing information received; EBS to suggest amendments to CO SGAT ,"CO agreement will follow OR, WA, and UT opt-ins, EBS will try to adopt ELI conditions into SGAT.","November, 2001","December, 2001; commission approval 30-60 days","approx. 120 days, although timeframe may be reduced pending new SGAT.","February, 2002"
,,,,,,,,
,,,,,,,,
,,,,,,,,
ILEC:  SBC,,,,,,,,
State,"Agreement Name / 
Agreement Type",Contract Term,Current Status / Accomplishments,Next Steps,Expected Date for PUC Submission,Expected PUC Approval Date,Collo Application Time Frame,Operational Date
TX,Multi-State Agreement / Negotiated,1 year plus 90 days,"Call w/ SBC on Monday, 9/24.  We had previously received cross-connection pricing up through OC48 loop for IL; OC-12 loop for TX and CA.  On CA OC-12 loop pricing, which was double the pricing for any other state, we've asked them to review it.  They proposed a compromise of one-half the difference between IL and CA.  We told them we would consider.  They are still considering our provisioning proposal, although they initially indicated they would not.  They have provided a firm schedule for provisioning OC-n loop on a 35-day period, with 5 of those days for a facilities check.  We have a 30-day provisioning period for transport for TX and IL, however all transport intervals in CA are ICB.  We will discuss this on our next call.  They also indicated a willingness to accept a parent guarantee in lieu of deposit requirements.  They would not accept a change in the choice of law or forum.  Other issues, i.e. confidentiality, escrow, etc. asked us to provide language and they would consider it.  Multiplexing is an option for transport only-not loop.  We expect to have a red-line agreement available (PacBell and Multi-State) by 10/8.  Expect to conclude negotiations by 10/31.  Have received a 2-month extension of the arbitration window.",We have received feedback from internal groups.  We have discussed these issues conceptually w/ SBC.  We expect to have a red-line available by 10/8.  Follow-up meeting 10/10.,"October, 2001","January, 2002",Approximately 120 day process.,"March, 2002"
IL ,Multi-State Agreement / Negotiated,1 year plus 90 days,same as above.,same as above,"October, 2001","January, 2002",Approximately 120 day process.,"March, 2002"
CA,AT&T/Pacific Bell /Amendment for pricing and provisioning.,"6/27/03, arbitrated",SBC has agreed to fill in some of the gaps in the AT&T pricing with the Multi-State.,same as above,"October, 2001","November, 2001",Approximately 120 day process.,"March, 2002"
,,,,,,,,
,,,,,,,,
,,,,,,,,
ILEC:  BellSouth,,,,,,,,
State,"Agreement Name / 
Agreement Type",Contract Term,Current Status / Accomplishments,Next Steps,Expected Date for PUC Submission,Expected PUC Approval Date,Collo Application Time Frame,Operational Date
GA,BellSouth Standard Agreement/Negotiated,2 years,Reviewed and redlined latest draft of standard agreement; we have incorporated internal comments; will submit to BellSouth by 10/8.  Have submitted provisioning proposal week of 8/6.  Have requested and received an extension to the arbitration window until 12/1/01.,Send redline version to BellSouth week of 10/8.  ,End October 2001,November 30-December 15,Approximately 130 days.,"SBC would treat signature date as effective date; if collocation is not ready, March 2002"
